id,kind_id,speed,extra_damage_pierce_factor,extra_damage_slash_factor,extra_damage_blunt_factor,max_range,angle,anim_r1_id,anim_l1_id,pose_id,enchanted_dps1000,slot_type_id,anim_r2_id,anim_l2_id,anim_r3_id,anim_l3_id,anim_r1_ratio,anim_l1_ratio,anim_r2_ratio,anim_l2_ratio,name,code,damage_scale,sound_material_id,formula_dps,formula_mdps,formula_armor,min_range,comments,sheathe_priority,durability_ratio,renew_category,item_proc_id,stat_multiplier
0,0,1500,0,0,0,3,60,1,1,1,0,17,2,2,,,50,50,50,50,fist,fst_n_n,5,21,0,0,0,0,맨손,6,0.0,0,0,100
1,0,2000,0,100,0,4,60,3,4,2,7000,17,87,88,3,6,50,50,50,50,한손검,normal_slashing_sod,10,16,(item_level * 2 + 8) * item_grade,0,0,0,보통 베기 한손검 (long sword),6,1.0,2,28,100
2,0,1400,100,0,0,4,60,5,6,2,7000,17,89,90,,,50,50,50,50,단검,fast_piercing_sod,10,25,(item_level * 2 + 8) * item_grade,0,0,0,빠른 찌르기 단검 (stylet),6,1.0,1,27,100
3,0,2100,0,100,0,4,90,7,,3,9000,16,95,,,,50,50,50,50,양손검,2h_slashing_sod,10,16,((item_level * 2 + 8) * 1.25) * item_grade,0,0,0,느린 베기 양손검 (bastard sword),9,1.15,3,29,150
4,0,1400,0,100,0,4,60,3,4,2,7000,17,87,88,90,90,50,50,50,50,단검,fast_slashing_sod,10,16,(item_level * 2 + 8) * item_grade,0,0,0,빠른 베기 단검 (knife),6,1.0,1,27,100
5,0,1600,0,100,0,4,60,3,4,2,7000,17,87,88,3,93,50,50,50,50,한손검,slow_slashing_sod,10,16,(item_level * 2 + 8) * item_grade,0,0,0,느린 베기 한손검 (broadsword),6,1.0,2,28,100
6,0,1600,100,0,0,4,60,87,87,2,7000,17,3,4,87,87,50,50,50,50,한손검,normal_piercing_sod,10,16,(item_level * 2 + 8) * item_grade,0,0,0,보통 찌르기 한손검 (estoc),4,1.0,2,28,100
7,0,1500,0,100,0,4,60,3,4,2,7000,17,87,88,91,93,50,50,50,50,한손도,nor_slashing_blade,10,16,(item_level * 2 + 8) * item_grade,0,0,0,보통 베기 한손도 (sabre),6,1.0,4,30,100
8,0,2000,0,100,0,4,90,7,,3,9000,16,95,,,,50,100,50,0,양손도,2h_slashing_blade,10,16,((item_level * 2 + 8) * 1.25) * item_grade,0,0,0,느린 베기 양손도 (katana),9,1.15,5,31,150
9,0,1500,0,100,0,4,60,3,4,2,7000,17,87,88,,,50,50,50,50,한손도,fast_slashing_blade,10,16,(item_level * 2 + 8) * item_grade,0,0,0,빠른 베기 한손도 (scimitar),6,1.0,4,30,100
10,0,1700,0,100,0,4,60,3,4,2,7000,17,87,88,,,50,50,50,50,한손도끼,slow_slashing_axe,20,17,(item_level * 2 + 8) * item_grade,0,0,0,느린 베기 한손도끼 (francisca),6,1.0,6,32,100
11,0,2200,0,100,0,4,90,7,,3,9000,16,95,,,,50,100,50,0,양손도끼,2h_slashing_axe,20,17,((item_level * 2 + 8) * 1.25) * item_grade,0,0,0,느린 베기 양손도끼 (battle axe),9,1.15,7,33,150
12,0,1700,0,0,100,4,60,91,93,2,7000,17,92,94,87,88,50,50,50,50,한손둔기,nor_blunt_mace,30,18,(item_level * 2 + 8) * item_grade,0,0,0,보통 때리기 한손둔기 (mace),6,1.0,8,34,100
13,0,2200,0,0,100,4,90,7,,3,9000,16,95,,,,50,100,50,0,양손둔기,2h_blunt_mace,30,18,((item_level * 2 + 8) * 1.25) * item_grade,0,0,0,느린 때리기 양손둔기 (war hammer),9,1.15,9,35,150
14,0,1800,0,0,100,4,60,91,,2,7000,14,92,,92,,50,100,50,0,한손지팡이,slow_blunt_staff,10,23,((item_level * 2 + 8) * 0.9) * item_grade,((item_level * 2 + 8) * 0.8) * item_grade,0,0,느린 때리기 한손지팡이 (wand),6,1.0,10,39,100
15,0,2000,100,0,0,4,60,5,,2,7000,14,89,,,,50,100,50,0,한손창,slow_piercing_spear,15,22,(item_level * 2 + 8) * item_grade,0,0,0,느린 찌르기 한손창 (spear),6,1.0,12,36,100
16,0,2500,100,0,0,4,90,139,,3,9000,16,95,,,,100,100,0,0,양손창,2h_piercing_spear,25,22,((item_level * 2 + 8) * 1.25) * item_grade,0,0,0,느린 찌르기 양손창 (lance),9,1.15,13,37,150
