id,name,housing_group_id,comments
2,w_marianople_1,1,mari_housing8
3,w_marianople_1,1,mari_housing3
4,w_marianople_1,1,mari_housing1
5,w_marianople_1,1,mari_housing6
6,w_marianople_1,1,mari_housing7
7,w_marianople_1,1,mari_housing4
8,w_marianople_1,1,mari_housing2
9,w_marianople_1,1,mari_housing5
10,w_marianople_1,1,mari_housing9
11,e_lokas_checkers_1,1,LevelDesignShape_138_moang_8
12,e_lokas_checkers_1,1,LevelDesignShape_138_moang_12
13,e_lokas_checkers_1,1,LevelDesignShape_138_moang_2
14,e_lokas_checkers_1,1,LevelDesignShape_138_moang_4
15,e_lokas_checkers_1,1,LevelDesignShape_138_moang_9
16,e_lokas_checkers_1,1,LevelDesignShape_138_moang_7
17,e_lokas_checkers_1,1,LevelDesignShape_138_moang_10
18,e_lokas_checkers_1,1,LevelDesignShape_138_moang_3
19,e_lokas_checkers_1,1,LevelDesignShape_138_moang_5
20,e_lokas_checkers_1,1,LevelDesignShape_138_moang_11
21,e_lokas_checkers_1,1,LevelDesignShape_138_moang_1
22,e_lokas_checkers_1,1,LevelDesignShape_138_moang_6
23,e_ynystere_1,1,LevelDesignShape_139_pidesa_60
24,e_ynystere_1,5,LevelDesignShape_139_pidesa_70
25,e_ynystere_1,1,LevelDesignShape_139_pidesa_11
26,e_ynystere_1,5,LevelDesignShape_139_pidesa_67
27,e_ynystere_1,1,LevelDesignShape_139_pidesa_62
28,e_ynystere_1,3,LevelDesignShape_139_jsw2u_1
29,e_ynystere_1,5,LevelDesignShape_139_pidesa_68
30,e_ynystere_1,1,LevelDesignShape_139_moang_2
31,e_ynystere_1,1,LevelDesignShape_139_pidesa_61
32,e_ynystere_1,1,LevelDesignShape_139_pidesa_63
33,e_ynystere_1,1,LevelDesignShape_139_pidesa_64
34,e_ynystere_1,5,LevelDesignShape_139_pidesa_69
35,e_ynystere_1,1,LevelDesignShape_139_moang_1
36,w_garangdol_plains_1,1,LevelDesignShape1
37,w_garangdol_plains_1,1,Shape123
38,w_garangdol_plains_1,1,LevelDesignShape_140_bebekim_8
39,w_garangdol_plains_1,1,LevelDesignShape_140_wish_4
40,w_garangdol_plains_1,1,Shape126(지움)
41,e_sunrise_peninsula_1,1,sunrise_housing_2
42,e_sunrise_peninsula_1,10,LevelDesignShape_141_ruhasin_4
43,e_sunrise_peninsula_1,10,LevelDesignShape_141_ruhasin_6
44,e_sunrise_peninsula_1,10,LevelDesignShape_141_ruhasin_2
45,e_sunrise_peninsula_1,5,LevelDesignShape_141_ruhasin_1
46,e_sunrise_peninsula_1,1,LevelDesignShape_141_clay02_26
47,e_sunrise_peninsula_1,1,LevelDesignShape_141_clay_1
48,e_sunrise_peninsula_1,1,LevelDesignShape_141_clay02_27
49,e_sunrise_peninsula_1,1,LevelDesignShape_141_clay02_2
50,w_solzreed_1,9,solz_housing_01
51,w_solzreed_1,9,solz_housing_04
52,w_solzreed_1,1,Shape126
53,w_solzreed_1,9,solz_housing_02
54,w_solzreed_1,9,solz_housing_03
55,w_white_forest_1,5,LevelDesignShape_143_clay_1
56,w_white_forest_1,5,LevelDesignShape_143_clay_2
57,w_white_forest_1,5,LevelDesignShape_143_clay_6
58,w_white_forest_1,1,LevelDesignShape_143_anne_2
59,w_white_forest_1,5,LevelDesignShape_143_clay_12
60,w_white_forest_1,5,LevelDesignShape_143_clay02_3
61,w_white_forest_1,5,LevelDesignShape_143_clay02_2
62,w_white_forest_1,5,LevelDesignShape_143_clay_4
63,w_white_forest_1,5,LevelDesignShape_143_clay_13
64,w_white_forest_1,5,LevelDesignShape_143_clay_11
65,w_white_forest_1,5,LevelDesignShape_143_clay_3
66,w_white_forest_1,1,LevelDesignShape_143_anne_1
67,w_white_forest_1,5,LevelDesignShape_143_clay_5
68,w_white_forest_1,1,LevelDesignShape_143_anne_3
69,w_white_forest_1,5,LevelDesignShape_143_clay02_1
70,w_white_forest_1,5,LevelDesignShape_143_clay_7
71,w_white_forest_1,1,LevelDesignShape_143_pidesa_6
72,w_white_forest_1,5,LevelDesignShape_143_clay_9
73,w_white_forest_1,1,LevelDesignShape_143_pidesa_13
74,w_white_forest_1,1,LevelDesignShape_143_anne_4
75,w_white_forest_1,5,LevelDesignShape_143_clay_10
76,w_white_forest_1,5,LevelDesignShape_143_clay_8
77,w_lilyut_meadow_1,1,LevelDesignShape_144_moang_5
78,w_lilyut_meadow_1,1,LevelDesignShape_144_moang_6
79,w_lilyut_meadow_1,1,LevelDesignShape_144_moang_7
80,w_lilyut_meadow_1,1,LevelDesignShape_144_moang_16
81,w_lilyut_meadow_1,1,Shape126(삭제)
82,w_lilyut_meadow_1,1,LevelDesignShape_144_moang_19
83,w_lilyut_meadow_1,1,LevelDesignShape_144_moang_8
84,w_cross_plains_1,1,Shape198
85,w_cross_plains_1,3,LevelDesignShape_148_jsw2u_77
86,w_cross_plains_1,5,LevelDesignShape_148_clay02_13
87,w_cross_plains_1,5,LevelDesignShape_148_clay_2
88,w_cross_plains_1,5,LevelDesignShape_148_clay02_9
89,w_cross_plains_1,5,LevelDesignShape_148_clay02_8
90,w_cross_plains_1,1,Shape199
91,w_cross_plains_1,1,LevelDesignShape_148_clay02_1
92,w_cross_plains_1,5,LevelDesignShape_148_clay_3
93,w_cross_plains_1,5,LevelDesignShape_148_clay02_10
94,w_cross_plains_1,5,LevelDesignShape_148_clay02_11
95,w_two_crowns_1,1,LevelDesignShape_149_bebekim_21
96,w_two_crowns_1,3,LevelDesignShape_149_jsw2u_1
97,w_two_crowns_1,1,LevelDesignShape_149_ruhasin_3
98,w_cradle_of_genesis,1,Shape53
99,w_cradle_of_genesis,1,Shape55
100,w_golden_plains_1,5,LevelDesignShape_151_clay_3
101,w_golden_plains_1,5,LevelDesignShape_151_clay_4
102,w_golden_plains_1,5,LevelDesignShape_151_clay_1
103,w_golden_plains_1,5,LevelDesignShape_151_clay_5
104,w_bronze_rock_1,1,LevelDesignShape_154_pidesa_28
105,e_hasla_1,1,LevelDesignShape_155_wish1_1
