id,owner_id,owner_type,attach_point_id,doodad_id
5,41,Housing,1,559
6,42,Housing,1,561
7,43,Housing,1,558
11,90,Housing,1,557
12,149,Housing,57,2305
13,150,Housing,57,2305
15,109,Housing,57,2305
26,110,Housing,57,2392
27,111,Housing,57,2392
28,112,Housing,57,2392
29,113,Housing,57,2392
30,114,Housing,57,2392
31,115,Housing,57,2392
32,116,Housing,57,2392
33,117,Housing,57,2392
34,118,Housing,57,2392
35,140,Housing,57,2392
36,141,Housing,57,2392
37,142,Housing,57,2392
38,143,Housing,57,2392
39,144,Housing,57,2392
40,145,Housing,57,2392
41,146,Housing,57,2392
42,147,Housing,57,2392
43,148,Housing,57,2392
44,136,Housing,57,2392
45,137,Housing,57,2392
46,138,Housing,57,2392
47,43,Housing,57,2392
48,41,Housing,57,2392
49,42,Housing,57,2392
50,90,Housing,57,2392
57,135,Housing,1,3400
58,135,Housing,57,3400
86,157,Housing,57,3541
94,172,Housing,36,4278
95,173,Housing,36,4561
96,174,Housing,36,4566
97,175,Housing,36,4561
98,176,Housing,36,4278
99,177,Housing,36,4566
100,178,Housing,36,4566
101,179,Housing,36,4278
102,180,Housing,36,4561
103,173,Housing,37,4565
104,174,Housing,37,4568
105,176,Housing,37,4322
106,178,Housing,37,4568
107,179,Housing,37,4322
109,172,Housing,37,4322
110,173,Housing,38,4565
111,174,Housing,38,4568
112,175,Housing,37,4565
113,176,Housing,38,4322
114,177,Housing,37,4568
115,178,Housing,38,4568
116,179,Housing,38,4322
117,180,Housing,37,4565
118,170,Housing,57,2392
119,171,Housing,57,2392
120,172,Housing,57,2392
121,173,Housing,57,2392
122,174,Housing,57,2392
123,175,Housing,57,2392
124,176,Housing,57,2392
125,177,Housing,57,2392
126,178,Housing,57,2392
127,179,Housing,57,2392
128,180,Housing,57,2392
130,172,Housing,38,4322
133,175,Housing,38,4565
135,177,Housing,38,4568
147,180,Housing,38,4565
154,181,Housing,57,4570
155,182,Housing,57,4570
156,183,Housing,57,4570
157,181,Housing,36,4337
158,182,Housing,36,4337
159,183,Housing,36,4337
160,181,Housing,37,4339
161,181,Housing,38,4339
162,182,Housing,37,4339
163,182,Housing,38,4339
164,183,Housing,37,4339
165,183,Housing,38,4339
168,183,Housing,39,4339
169,183,Housing,40,4339
170,183,Housing,41,4337
171,183,Housing,42,4338
173,136,Housing,36,4424
174,136,Housing,37,4425
175,136,Housing,38,4426
176,136,Housing,39,4426
177,136,Housing,40,4426
178,136,Housing,41,4426
181,137,Housing,36,4424
182,137,Housing,37,4425
183,137,Housing,38,4426
184,137,Housing,39,4426
185,137,Housing,40,4426
186,137,Housing,41,4426
189,138,Housing,36,4424
190,138,Housing,37,4425
191,138,Housing,38,4426
192,138,Housing,39,4426
193,138,Housing,40,4426
194,138,Housing,41,4426
197,155,Housing,1,4922
198,155,Housing,57,2392
199,183,Housing,43,4339
200,183,Housing,44,4339
201,193,Housing,57,2392
202,193,Housing,36,4278
203,193,Housing,37,4322
204,193,Housing,38,4322
205,194,Housing,57,2392
206,194,Housing,36,4561
207,194,Housing,37,4565
208,194,Housing,38,4565
209,195,Housing,57,2392
210,195,Housing,36,4566
211,195,Housing,37,4568
212,195,Housing,38,4568
213,196,Housing,57,2392
214,196,Housing,36,4561
215,196,Housing,37,4565
216,196,Housing,38,4565
217,197,Housing,57,2392
218,197,Housing,36,4566
219,197,Housing,37,4568
220,197,Housing,38,4568
221,198,Housing,57,2392
222,199,Housing,57,2392
223,200,Housing,57,2392
224,198,Housing,36,4278
225,198,Housing,37,4322
226,198,Housing,38,4322
227,199,Housing,36,4566
228,199,Housing,37,4568
229,199,Housing,38,4568
230,200,Housing,36,4278
231,200,Housing,37,4322
232,200,Housing,38,4322
233,201,Housing,57,2392
234,201,Housing,36,4561
235,201,Housing,37,4565
236,201,Housing,38,4565
237,202,Housing,57,2392
238,202,Housing,36,4278
239,202,Housing,37,4322
240,202,Housing,38,4322
241,202,Housing,41,4278
242,202,Housing,42,4321
243,203,Housing,57,2392
244,203,Housing,36,4561
245,203,Housing,37,4565
246,203,Housing,38,4565
247,203,Housing,41,4561
248,203,Housing,42,4321
