id,name,allow_on_floor,allow_on_wall,allow_on_ceiling,doodad_id,allow_on_garden,actability_group_id,actability_up,deco_actability_group_id
1,장식 화병,1,0,0,5450,t,,0,0
2,토끼풀 장식 철쭉 화병,1,0,0,5451,t,,0,0
3,흑단나무 분재 화분,1,0,0,5452,t,,0,0
4,대나무 분재 사각 화분,1,0,0,5453,t,,0,0
5,소나무 분재 화분,1,0,0,5454,t,,0,0
6,대나무 분재 팔각 화분,1,0,0,5455,t,,0,0
7,수선화 화단,1,0,0,5456,t,,0,0
8,양귀비 화분,1,0,0,5458,t,,0,0
9,철쭉 화병,1,0,0,5459,t,,0,0
10,향기나는 화분,1,0,0,5461,t,,0,0
11,벚나무 나뭇가지 화병,1,0,0,5460,t,,0,0
12,상인의 대형 탁자,1,0,0,5462,f,,0,0
13,군주의 장식 탁자,1,0,0,5463,f,,0,0
14,나무 식탁,1,0,0,5464,f,,0,0
15,상인의 수공예 탁자,1,0,0,5466,f,,0,0
16,군주의 예식용 탁자,1,0,0,5467,f,,0,0
17,학자의 회의 탁자,1,0,0,5468,f,,0,0
18,군주의 세공 원목 의자,1,0,0,5483,t,,0,
19,군주의 흑자수 간이 의자,1,0,0,5484,t,,0,
20,상인의 푸른 장식 의자,1,0,0,5485,t,,0,
21,상인의 붉은 장식 의자,1,0,0,5486,t,,0,
22,귀족의 안락 의자,1,0,0,5487,t,,0,
23,군주의 예식용 의자,1,0,0,5488,t,,0,
24,긴 나무 의자,1,0,0,5489,f,,0,0
25,귀족의 수공예 소파,t,f,0,5490,f,,0,0
26,군주의 침소 소파,t,f,0,5491,f,,0,0
27,상인의 붉은 수공예 의자,t,f,0,5492,f,,0,0
28,수습공의 소형 보관함,t,f,0,2610,f,,0,0
29,숙련공의 중형 보관함,1,0,0,2621,f,,0,0
30,갈색 원목 침대,t,f,f,974,f,,0,0
31,앤틱 서재,t,f,f,975,f,0,0,0
32,화려한 카펫,t,f,f,976,t,0,0,0
33,나무 의자,t,f,f,977,t,0,0,0
34,나무 진열장,t,f,f,978,f,0,0,0
35,나무 서랍장,t,f,f,979,f,0,0,0
36,풍경이 있는 액자,f,t,f,980,f,0,0,0
37,원탁 테이블,t,f,f,981,t,0,0,0
38,누이아 벽걸이 촛대,f,t,f,982,f,0,0,0
39,솔즈리드 벽걸이 촛대,f,t,f,983,f,0,0,0
40,그위오니드 벽걸이 촛대,f,t,f,984,f,0,0,0
41,촛대 샹들리에,f,f,t,985,f,0,0,0
42,테이블 램프,t,f,f,986,t,0,0,0
43,휴대용 램프,t,f,f,987,t,0,0,0
44,왕실의 피아노,t,f,f,1236,f,0,0,0
45,왕실의 붉은 의자,t,f,f,1239,t,,0,
46,왕실의 붉은 원목 소파,t,f,f,1240,f,,0,0
47,검은 장식 항아리,t,f,f,1241,f,,0,0
48,푸른 풍경화 항아리,t,f,f,1242,f,,0,0
49,푸른 날개 항아리,t,f,f,1243,f,,0,0
50,금장식 주전자,t,f,f,1244,f,,0,0
51,해와 달 항아리,t,f,f,1245,f,,0,0
52,바다빛 항아리,t,f,f,1246,f,,0,0
53,화사한 꽃무늬 항아리,t,f,f,1247,f,,0,0
54,별의 무기 장식대,t,f,f,1248,f,0,0,0
55,왕실의 대형 책장,t,f,f,1249,f,0,0,0
56,별의 갑옷 장식,t,f,f,1250,f,0,0,0
57,귀족의 원형 탁자,t,f,f,1251,f,0,0,0
58,귀족의 세공 칸막이,t,f,f,1252,f,0,0,0
59,금받침 촛대,t,f,f,1253,f,0,0,0
60,귀족의 책상,t,f,f,1254,f,0,0,0
61,별의 독수리 장식대,t,f,f,1255,f,0,0,0
62,별의 황금잔,t,f,f,1256,f,0,0,0
63,귀족의 세공 천 의자,t,f,f,1257,t,,0,
64,휘어진 촛대,t,f,f,1258,f,0,0,0
65,귀족의 화려한 책장,t,f,f,1259,f,0,0,0
66,평범한 나무 술장,t,f,f,1260,f,0,0,0
67,평범한 마블링 주전자,t,f,f,1261,t,0,0,0
68,평범한 마블링 호리병,t,f,f,1262,t,0,0,0
69,길다란 마블링 호리병,t,f,f,1263,t,0,0,0
