id,name,category_id,main_model_id,door_model_id,stair_model_id,auto_z,gate_exists,hp,repair_cost,garden_radius,family,taxation_id,guard_tower_setting_id,cinema_id,cinema_radius,auto_z_offset_x,auto_z_offset_y,auto_z_offset_z,alley,extra_height_above,extra_height_below,deco_limit,comments,absolute_deco_limit,housing_deco_limit_id,is_sellable
1,house_design_1,1,49,0,0,t,f,1000,100,0.0,,1,,,30.0,0.0,0.0,0.0,0.0,0.0,10.0,40,,60,0,f
2,house_design_2,1,52,0,0,t,f,1000,100,0.0,,1,,,30.0,0.0,0.0,0.0,0.0,0.0,10.0,40,,60,0,f
3,house_design_3,1,55,0,0,f,f,1000,100,0.0,,1,,,30.0,0.0,0.0,0.0,0.0,0.0,10.0,40,,60,0,f
4,tower 1,2,56,57,0,f,f,1000,100,0.0,,1,,,30.0,0.0,0.0,0.0,0.0,0.0,0.0,40,,60,0,f
5,tower 2,2,58,59,0,f,f,1000,100,0.0,,1,,,30.0,0.0,0.0,0.0,0.0,0.0,0.0,40,,60,0,f
6,tower 3,2,60,61,0,f,f,1000,100,0.0,,1,,,30.0,0.0,0.0,0.0,0.0,0.0,0.0,40,,60,0,f
7,tower 4,2,62,63,,f,f,1000,100,0.0,,1,0,,30.0,0.0,0.0,0.0,0.5,10.0,0.0,40,,60,0,f
8,tower 5,2,64,65,0,f,f,1000,100,0.0,,1,,,30.0,0.0,0.0,0.0,0.0,0.0,0.0,40,,60,0,f
9,wall,3,66,,,f,f,1000,100,0.0,wall,1,,,30.0,0.0,0.0,0.0,0.0,0.0,0.0,40,,60,0,f
10,wall_slope_1,3,67,0,0,f,f,1000,100,0.0,wall_slope_1,1,,,30.0,0.0,0.0,0.0,0.0,0.0,0.0,40,,60,0,f
11,wall_slope_1_m,3,68,0,0,f,f,1000,100,0.0,wall_slope_1_m,1,,,30.0,0.0,0.0,0.0,0.0,0.0,0.0,40,,60,0,f
12,wall_slope_2,3,69,0,0,f,f,1000,100,0.0,wall_slope_2,1,,,30.0,0.0,0.0,0.0,0.0,0.0,0.0,40,,60,0,f
13,wall_slope_2_m,3,70,0,0,f,f,1000,100,0.0,wall_slope_2_m,1,,,30.0,0.0,0.0,0.0,0.0,0.0,0.0,40,,60,0,f
14,wall_slope_3,3,71,0,0,f,f,1000,100,0.0,wall_slope_3,1,,,30.0,0.0,0.0,0.0,0.0,0.0,0.0,40,,60,0,f
15,wall_slope_3_m,3,72,0,0,f,f,1000,100,0.0,wall_slope_3_m,1,,,30.0,0.0,0.0,0.0,0.0,0.0,0.0,40,,60,0,f
16,wall_m,3,73,0,0,f,f,1000,100,0.0,wall_m,1,,,30.0,0.0,0.0,0.0,0.0,0.0,0.0,40,,60,0,f
