id,wi_id,doodad_id
1,0,0
2,1,0
3,2,0
4,3,0
5,4,0
6,1,
8,31,248
10,31,262
11,31,249
12,31,449
13,31,250
14,31,258
15,31,257
16,18,0
17,31,888
18,31,251
19,9,0
20,8,0
21,31,8
22,31,252
23,26,0
25,31,253
26,31,261
28,31,254
29,15,0
30,5,0
31,6,0
32,7,0
33,11,0
34,12,0
35,13,0
36,19,0
37,27,0
38,28,0
39,30,0
42,36,0
43,34,0
53,22,0
54,22,0
74,67,0
75,72,
76,1,
78,71,0
79,72,0
80,73,
81,73,
82,72,
84,72,
86,20,
87,80,0
88,20,
89,72,
97,90,0
103,92,
104,19,0
105,19,0
106,19,0
107,19,
109,31,371
110,19,0
111,19,
112,19,
114,93,
115,19,0
118,97,
119,19,
120,19,
121,19,937
122,94,
123,19,
131,19,
132,19,
133,19,
134,19,
135,19,
136,19,
137,19,
138,19,
139,19,
140,19,
141,19,
143,19,
144,19,
145,19,
146,19,0
147,19,
148,19,
149,19,
150,19,
151,19,
152,19,
153,19,
154,19,
155,19,
156,19,
159,19,
162,19,
163,19,
164,19,
165,19,
168,19,
169,19,
170,19,
171,31,1061
172,19,
174,19,
176,19,
177,19,
178,19,
180,31,888
182,19,
183,19,
184,19,
186,19,
187,19,
188,19,
189,31,1231
191,19,
192,19,
193,19,
194,19,
195,19,
196,19,
197,19,
198,19,
201,19,
202,19,
206,19,
207,19,
210,19,
211,19,
213,0,888
215,19,
216,19,
218,19,
221,31,1471
222,19,
225,19,
226,19,
227,19,
229,19,
232,19,
234,19,
235,19,
239,31,1408
240,19,
243,99,
244,100,
245,101,
246,19,
248,19,
249,19,
250,19,
251,19,
253,19,
254,19,
255,19,
257,19,
263,19,
268,31,1407
269,19,0
273,31,1586
277,31,1610
278,31,1411
279,19,
282,19,
285,19,
288,19,
290,31,1420
298,19,
301,19,
303,31,1657
304,97,
305,31,1638
309,31,1639
313,19,0
319,31,413
323,31,1705
325,51,
328,31,1031
329,19,
330,31,1411
338,31,1457
339,19,
341,19,
343,19,
345,19,
346,19,
355,19,0
356,19,0
357,19,0
358,19,0
359,19,0
361,19,
364,19,
365,31,1743
366,19,
367,19,
368,19,
372,19,
373,19,
374,19,
375,19,
376,19,
377,19,
380,19,
381,19,
384,31,1819
386,19,
387,19,
388,31,1469
389,19,0
390,31,1819
392,19,
393,19,
394,19,
395,19,
396,19,
397,31,1733
398,19,
401,19,
403,19,
404,31,700
407,19,
412,19,
413,19,
415,19,
416,19,
420,19,
421,19,
422,19,
424,31,1031
428,19,
429,19,
430,31,888
432,19,0
434,19,
435,19,
436,19,
437,19,
439,31,2135
440,19,
441,19,
442,19,
444,97,
445,19,
446,19,
448,19,
449,19,0
453,31,1699
454,19,
455,19,
456,19,828
457,19,
458,19,
459,19,
461,19,
462,19,
463,19,
464,19,
465,19,
466,31,2187
468,19,0
469,19,
470,19,
482,19,
483,19,
484,19,
485,19,
486,19,
487,19,
488,78,
489,20,
490,20,
491,20,
492,80,
496,19,
497,19,
498,19,
499,19,
500,19,
501,19,
502,19,
503,19,
505,19,
506,19,
507,19,
508,19,
509,19,
512,19,
513,19,
514,19,
515,19,0
516,19,0
517,19,0
518,19,0
519,19,0
521,19,0
522,19,0
523,19,0
524,19,0
525,19,0
526,19,0
527,19,0
528,19,0
529,19,
530,19,0
531,19,0
532,19,0
533,19,
534,19,0
535,19,0
536,19,
538,19,0
539,19,0
540,19,
541,19,
542,19,
543,19,
544,19,
545,19,
546,19,
547,19,
548,19,
549,19,
550,19,
551,19,
552,19,0
553,19,
554,19,0
556,19,0
557,19,0
558,19,0
560,19,0
561,19,0
562,19,
563,19,0
565,19,0
566,19,
567,19,
568,19,
569,19,
571,19,
572,19,0
575,31,2233
576,19,
578,19,
579,31,1707
580,31,2233
581,19,
582,19,
583,19,
585,19,
586,19,0
588,19,0
589,19,0
590,19,0
591,19,0
592,19,0
593,19,0
594,19,0
595,19,0
596,19,
597,19,0
598,19,0
599,19,0
601,31,713
602,19,
603,19,
604,31,
605,19,
606,19,0
607,19,
608,31,2301
609,19,0
610,19,0
611,19,
612,19,
613,19,0
614,19,0
615,19,0
616,19,0
617,19,
618,19,
619,19,
620,19,0
621,19,0
623,19,
624,19,
625,19,
626,19,
627,78,
628,19,
629,19,
630,19,
631,19,
632,19,
633,19,
634,19,
635,19,0
637,19,
638,19,
642,19,0
644,19,
646,19,
648,19,
649,19,0
650,19,0
651,19,0
652,19,0
653,19,0
654,19,0
655,19,0
656,19,0
657,19,0
658,19,0
659,19,0
662,19,
663,19,0
664,19,
665,19,0
666,19,0
667,19,0
668,19,0
669,19,
670,19,
671,19,
672,19,0
673,19,0
676,19,0
677,19,2388
679,19,
681,31,1060
684,19,
685,19,
686,31,1064
690,19,
693,19,
694,19,
700,19,
701,19,0
702,31,1465
703,19,
704,31,2436
705,19,
706,31,2443
707,19,
708,19,
714,19,
715,19,
716,19,0
717,19,0
718,31,1435
719,19,
720,19,
723,19,0
726,19,
727,19,
728,19,
729,19,
730,19,
731,19,
732,19,0
733,19,0
734,19,
735,19,0
736,19,0
737,31,2474
738,31,2491
739,19,0
740,19,
741,31,2502
742,31,2503
743,19,0
745,31,2504
746,19,
747,19,
748,31,2506
750,19,
752,19,
755,19,0
759,19,
760,19,
761,19,
762,31,1017
767,19,
770,19,
771,19,
773,19,2547
776,19,0
777,19,0
778,19,0
779,19,
780,19,0
781,19,
782,19,
783,19,0
785,19,0
786,19,
787,19,
788,19,0
789,31,1935
790,31,1510
791,31,
793,19,
794,19,0
795,19,0
796,31,2233
798,31,2516
799,19,0
800,19,0
