id,item_id,slot_type_id,type_id,mod_set_id,eiset_id,or_unit_reqs,repairable,durability_multiplier,recharge_buff_id,charge_lifetime,charge_count
1,2962,2,5,,,f,t,100,,0,0
2,2963,2,5,,,f,t,100,,0,0
3,2964,2,5,,,f,t,100,,0,0
4,2965,2,5,,,f,t,100,,0,0
5,2966,2,5,,,f,t,100,,0,0
6,2967,2,5,,,f,t,100,,0,0
7,2968,2,5,,,f,t,100,,0,0
8,2969,2,5,,,f,t,100,,0,0
9,2970,11,5,,,f,t,100,,0,0
10,2971,11,5,,,f,t,100,,0,0
11,2972,11,5,,,f,t,100,,0,0
12,2973,11,5,,,f,t,100,,0,0
13,2974,11,5,,,f,t,100,,0,0
14,2975,11,5,,,f,t,100,,0,0
15,2976,11,5,,,f,t,100,,0,0
16,2977,11,5,,,f,t,100,,0,0
17,2978,10,5,,,f,t,100,,0,0
18,2979,10,5,,,f,t,100,,0,0
19,2980,10,5,,,f,t,100,,0,0
20,2981,10,5,,,f,t,100,,0,0
21,2982,10,5,,,f,t,100,,0,0
22,2983,10,5,,,f,t,100,,0,0
23,2984,10,5,,,f,t,100,,0,0
24,2985,10,5,,,f,t,100,,0,0
25,2986,2,5,73,,f,t,100,,0,0
26,2987,2,5,71,,f,t,100,,0,0
27,2988,2,5,75,,f,t,100,,0,0
28,2991,2,5,73,,f,t,100,,0,0
29,2993,2,5,71,,f,t,100,,0,0
30,2995,2,5,75,,f,t,100,,0,0
31,2996,10,5,73,,f,t,100,,0,0
32,2997,10,5,72,,f,t,100,,0,0
33,2998,10,5,71,,f,t,100,,0,0
34,2999,10,5,73,,f,t,100,,0,0
35,3000,10,5,72,,f,t,100,,0,0
36,3001,10,5,71,,f,t,100,,0,0
37,3002,11,5,73,,f,t,100,,0,0
38,3003,11,5,71,,f,t,100,,0,0
39,3004,11,5,74,,f,t,100,,0,0
40,3005,11,5,73,,f,t,100,,0,0
41,7701,11,5,71,,f,t,100,,0,0
42,7702,11,5,,,f,t,100,,0,0
43,7703,2,5,73,,f,t,100,,0,0
44,7704,2,5,72,,f,t,100,,0,0
45,7705,2,5,74,,f,t,100,,0,0
46,7706,2,5,71,,f,t,100,,0,0
47,7707,2,5,75,,f,t,100,,0,0
48,7708,11,5,,,f,t,100,,0,0
49,7709,11,5,,,f,t,100,,0,0
50,7710,2,5,73,,f,t,100,,0,0
51,7711,2,5,72,,f,t,100,,0,0
52,7712,2,5,74,,f,t,100,,0,0
53,7713,2,5,71,,f,t,100,,0,0
54,7714,11,5,74,,f,t,100,,0,0
55,7715,11,5,73,,f,t,100,,0,0
56,7716,2,5,,,f,t,100,,0,0
57,7717,11,5,71,,f,t,100,,0,0
58,7718,11,5,,,f,t,100,,0,0
59,7719,11,5,74,,f,t,100,,0,0
60,7720,11,5,72,,f,t,100,,0,0
61,7721,11,5,75,,f,t,100,,0,0
62,7722,11,5,73,,f,t,100,,0,0
63,7723,11,5,71,,f,t,100,,0,0
64,7724,11,5,74,,f,t,100,,0,0
65,7725,11,5,72,,f,t,100,,0,0
66,7726,11,5,75,,f,t,100,,0,0
67,7727,11,5,73,,f,t,100,,0,0
68,7728,11,5,71,,f,t,100,,0,0
69,7729,2,5,75,,f,t,100,,0,0
70,7730,2,5,,,f,t,100,,0,0
71,7731,2,5,73,,f,t,100,,0,0
72,7732,2,5,72,,f,t,100,,0,0
73,8460,11,5,,,f,t,100,,0,0
74,8461,2,5,,,f,t,100,,0,0
75,8471,2,5,,,f,t,100,,0,0
76,8472,11,5,,,f,t,100,,0,0
77,8459,2,5,,,f,t,100,,0,0
78,14336,2,5,,,t,t,100,,0,0
79,14655,11,5,,,f,t,100,,0,0
80,14656,2,5,,,f,t,100,,0,0
81,14667,11,5,,,f,t,100,,0,0
82,14668,2,5,,,f,t,100,,0,0
83,15894,11,5,,,f,t,100,,0,0
84,15895,11,5,,,f,t,100,,0,0
85,15896,11,5,,,f,t,100,,0,0
87,17797,11,5,74,,f,t,100,,0,0
88,17798,2,5,74,,f,t,100,,0,0
89,17885,11,5,72,,f,t,100,,0,0
90,17886,11,5,75,,f,t,100,,0,0
91,17887,2,5,71,,f,t,100,,0,0
92,17888,2,5,75,,f,t,100,,0,0
93,18438,11,5,,,f,t,100,,0,0
94,18808,10,5,73,,f,t,100,,0,0
95,18809,10,5,72,,f,t,100,,0,0
96,18810,10,5,71,,f,t,100,,0,0
97,18811,10,5,74,,f,t,100,,0,0
98,18812,10,5,75,,f,t,100,,0,0
99,18813,10,5,73,,f,t,100,,0,0
100,18814,10,5,72,,f,t,100,,0,0
101,18815,10,5,71,,f,t,100,,0,0
102,18816,10,5,74,,f,t,100,,0,0
103,18817,10,5,75,,f,t,100,,0,0
104,18818,10,5,73,,f,t,100,,0,0
105,18819,10,5,72,,f,t,100,,0,0
106,18820,10,5,71,,f,t,100,,0,0
107,18821,10,5,74,,f,t,100,,0,0
108,18822,10,5,75,,f,t,100,,0,0
109,19358,2,5,,,t,t,100,,0,0
110,19362,11,5,,,f,t,100,,0,0
111,21678,11,5,25,,f,t,100,,0,0
112,21679,11,5,1,,f,t,100,,0,0
113,21680,11,5,5,,f,t,100,,0,0
114,21681,11,5,24,,f,t,100,,0,0
115,21739,10,5,36,,f,t,100,,0,0
116,21740,10,5,1,,f,t,100,,0,0
117,21741,10,5,33,,f,t,100,,0,0
118,21742,10,5,25,,f,t,100,,0,0
119,21784,2,5,31,,f,t,100,,0,0
120,21785,2,5,59,,f,t,100,,0,0
121,21786,2,5,33,,f,t,100,,0,0
122,21787,2,5,13,,f,t,100,,0,0
123,21841,11,5,6,,f,t,100,,0,0
124,21842,11,5,24,,f,t,100,,0,0
125,21843,11,5,29,,f,t,100,,0,0
126,21844,11,5,9,,f,t,100,,0,0
127,22847,10,5,11,,f,t,100,,0,0
128,22848,10,5,26,,f,t,100,,0,0
129,22849,10,5,7,,f,t,100,,0,0
130,22850,10,5,33,,f,t,100,,0,0
131,22875,2,5,26,,f,t,100,,0,0
132,22876,2,5,19,,f,t,100,,0,0
133,22877,2,5,23,,f,t,100,,0,0
134,22878,2,5,3,,f,t,100,,0,0
135,22915,11,5,38,,f,t,100,,0,0
136,22916,11,5,12,,f,t,100,,0,0
137,22917,11,5,20,,f,t,100,,0,0
138,22918,11,5,19,,f,t,100,,0,0
139,22937,10,5,31,,f,t,100,,0,0
140,22938,10,5,59,,f,t,100,,0,0
141,22939,10,5,22,,f,t,100,,0,0
142,22940,10,5,44,,f,t,100,,0,0
143,22969,2,5,10,,f,t,100,,0,0
144,22970,2,5,44,,f,t,100,,0,0
145,22971,2,5,37,,f,t,100,,0,0
146,22972,2,5,25,,f,t,100,,0,0
147,23041,11,5,8,,f,t,100,,0,0
148,23042,11,5,17,,f,t,100,,0,0
149,23043,11,5,4,,f,t,100,,0,0
150,23044,11,5,9,,f,t,100,,0,0
151,23045,10,5,18,,f,t,100,,0,0
152,23046,10,5,19,,f,t,100,,0,0
153,23047,10,5,17,,f,t,100,,0,0
154,23048,10,5,24,,f,t,100,,0,0
155,23164,2,5,39,,f,t,100,,0,0
156,23165,2,5,5,,f,t,100,,0,0
157,23166,2,5,37,,f,t,100,,0,0
158,23167,2,5,8,,f,t,100,,0,0
159,23186,11,5,,,f,t,100,,0,0
160,23187,11,5,,,f,t,100,,0,0
161,23200,10,5,,,f,t,100,,0,0
162,23201,10,5,,,f,t,100,,0,0
163,23232,2,5,,,f,t,100,,0,0
164,23251,11,5,,,f,t,100,,0,0
165,23267,10,5,,,f,t,100,,0,0
166,23284,2,5,,,f,t,100,,0,0
167,23290,11,5,,,f,t,100,,0,0
168,23298,10,5,,,f,t,100,,0,0
169,23321,2,5,,,f,t,100,,0,0
170,24100,11,5,65,118,f,t,100,,0,0
171,24101,10,5,16,118,f,t,100,,0,0
172,24102,2,5,31,118,f,t,100,,0,0
173,24104,2,5,31,139,f,t,100,,0,0
174,24105,10,5,16,139,f,t,100,,0,0
175,24106,11,5,65,139,f,t,100,,0,0
176,24107,2,5,31,131,f,t,100,,0,0
177,24108,10,5,16,131,f,t,100,,0,0
178,24109,11,5,65,131,f,t,100,,0,0
179,24212,11,5,,,f,t,100,,0,0
180,24449,2,5,31,123,f,t,100,,0,0
181,24450,10,5,16,123,f,t,100,,0,0
182,24451,11,5,65,123,f,t,100,,0,0
183,24485,2,5,31,147,f,t,100,,0,0
184,24486,10,5,16,147,f,t,100,,0,0
185,24487,11,5,65,147,f,t,100,,0,0
186,24517,2,5,31,158,f,t,100,,0,0
187,24518,10,5,16,158,f,t,100,,0,0
188,24519,11,5,65,158,f,t,100,,0,0
189,24785,10,5,,,f,t,100,,0,0
190,25529,10,5,,,f,t,100,,0,0
191,25530,10,5,,,f,t,100,,0,0
192,25531,2,5,,,f,t,100,,0,0
193,25532,2,5,,,f,t,100,,0,0
194,25533,2,5,,,f,t,100,,0,0
195,25534,11,5,,,f,t,100,,0,0
196,25535,11,5,,,f,t,100,,0,0
197,26677,2,5,64,,f,t,100,,0,0
198,26678,10,5,54,,f,t,100,,0,0
199,26679,11,5,46,,f,t,100,,0,0
200,26976,2,5,74,,f,t,100,,0,0
201,27041,2,5,73,,f,t,100,,0,0
202,27042,2,5,72,,f,t,100,,0,0
203,27043,2,5,74,,f,t,100,,0,0
204,27044,2,5,71,,f,t,100,,0,0
205,27045,2,5,75,,f,t,100,,0,0
206,27046,11,5,73,,f,t,100,,0,0
207,27047,11,5,71,,f,t,100,,0,0
208,27048,11,5,74,,f,t,100,,0,0
209,27049,11,5,72,,f,t,100,,0,0
210,27050,11,5,75,,f,t,100,,0,0
211,27051,10,5,73,,f,t,100,,0,0
212,27052,10,5,72,,f,t,100,,0,0
213,27053,10,5,71,,f,t,100,,0,0
214,27054,10,5,74,,f,t,100,,0,0
215,27055,10,5,75,,f,t,100,,0,0
216,27137,10,5,75,,f,t,100,,0,0
217,27138,10,5,75,,f,t,100,,0,0
218,27782,10,5,,,f,t,100,,0,0
