id,armor_asset_id,asset_id
1887,227,438
1888,228,440
2515,229,443
2518,229,619
3847,564,527
3848,564,614
3849,564,630
3850,564,649
3851,566,530
3852,566,617
3853,566,631
3854,566,650
3855,568,529
3856,568,615
3857,568,632
3858,568,651
3859,569,531
3860,569,616
3861,569,633
3862,569,652
3923,591,415
3924,591,532
3926,591,608
3927,592,414
3928,592,535
3929,592,547
3930,592,609
3931,594,417
3932,594,533
3933,594,555
3934,594,612
3935,596,418
3936,596,534
3937,596,553
3938,596,610
3939,597,416
3940,597,536
3941,597,554
3942,597,611
4230,188,707
4231,229,706
4232,229,708
4443,805,740
4444,805,736
4455,804,738
4456,804,734
4461,806,469
4462,807,470
4463,808,471
4464,809,468
4495,811,739
4496,811,735
4506,591,756
4507,592,757
4508,594,758
4509,596,759
4510,597,760
4512,564,762
4513,568,764
4514,569,765
4524,566,763
4525,813,717
4526,814,716
4527,812,715
4554,592,816
4556,594,817
4557,596,818
4558,597,819
4561,564,811
4562,566,812
4563,568,813
4564,569,814
4638,804,865
4639,811,866
4640,805,867
4687,804,880
4688,805,882
4689,811,881
4720,804,916
4721,804,920
4722,805,918
4723,805,922
4724,811,917
4725,811,921
4801,591,932
4815,844,938
4816,845,940
4817,846,939
4818,227,974
4819,227,975
4820,227,976
4821,227,977
4822,227,978
4823,227,979
4824,224,980
4825,224,981
4826,224,982
4827,224,983
4828,224,984
4829,224,985
4830,228,986
4831,228,987
4832,228,988
4833,228,989
4834,228,990
4835,228,991
4863,229,1043
4864,188,1045
4865,229,1044
4878,646,1122
4879,646,1097
4880,646,1055
4881,646,1079
4882,522,1123
4885,522,1080
4886,524,1124
4887,524,1099
4888,524,1056
4889,524,1081
4890,525,1125
4891,525,1100
4892,525,1057
4893,525,1082
4894,526,1126
4895,526,1101
4896,526,1058
4897,526,1083
4983,804,1161
4985,805,1163
4986,811,1162
5072,646,1396
5073,522,1398
5074,524,1399
5075,525,1400
5076,526,1401
5133,957,1245
5134,957,1394
5201,188,718
5203,229,719
5204,188,720
5205,229,721
5210,957,1520
5211,957,1485
5218,522,1098
5219,522,1050
5636,1099,1542
5641,570,512
5642,570,657
5643,571,508
5644,571,658
5645,573,510
5646,573,659
5647,575,509
5648,575,660
5649,576,511
5650,576,661
5655,957,1672
5656,957,1725
5676,522,1655
5677,524,1656
5678,525,1657
5679,526,1658
5680,646,1654
6218,1102,1952
6219,1100,1950
6220,1103,1951
6221,1104,1954
6222,1107,1958
6223,1105,1957
6224,1108,1959
6225,1109,1960
6604,1185,2316
6609,1187,2614
6610,1188,2613
6875,1257,2524
6876,1257,2491
6877,1257,2595
6878,1257,2605
6881,1258,2523
6882,1258,2497
6883,1258,2596
6884,1258,2604
7311,1295,2614
7312,1296,2613
7326,1302,3418
7327,1302,3433
7332,1305,3421
7333,1305,3436
7334,1306,3422
7335,1306,3437
7338,1308,3425
7339,1308,3440
7340,1310,3424
7341,1310,3439
7344,1312,3427
7345,1312,3442
7346,1313,3428
7347,1313,3443
7348,1314,3429
7349,1314,3445
7350,1315,3430
7351,1315,3444
7352,1316,3431
7353,1316,3446
7354,1317,3412
7355,1318,3413
7356,1319,3414
7357,1321,3415
7383,1382,3476
7384,1382,3491
7385,1382,3506
7386,1382,3521
7387,1382,3458
7412,1387,3466
7413,1387,3481
7414,1387,3496
7415,1387,3511
7416,1387,3526
7417,1387,3539
7418,1388,3468
7419,1388,3483
7420,1388,3498
7421,1388,3513
7422,1388,3528
7423,1388,3541
7442,1392,3471
7443,1392,3486
7444,1392,3501
7445,1392,3516
7446,1392,3531
7447,1392,3544
7448,1393,3473
7449,1393,3488
7450,1393,3503
7451,1393,3518
7452,1393,3533
7453,1393,3546
7574,982,3808
7575,982,3813
7576,982,3818
7577,982,3823
7578,982,3828
7579,982,3833
7580,983,3809
7581,983,3814
7582,983,3819
7583,983,3824
7584,983,3829
7585,983,3834
7586,984,3810
7587,984,3815
7588,984,3820
7589,984,3825
7590,984,3830
7591,984,3835
7598,986,3812
7599,986,3817
7600,986,3822
7601,986,3827
7602,986,3832
7603,986,3837
7616,937,3771
7617,937,3776
7618,937,3781
7619,937,3786
7620,937,3791
7621,937,3796
7628,939,3773
7629,939,3778
7630,939,3783
7631,939,3788
7632,939,3793
7633,939,3797
7640,1382,3700
7641,1382,3725
7676,982,3798
7677,982,3803
7678,983,3799
7679,983,3804
7680,984,3800
7681,984,3805
7684,986,3802
7685,986,3807
7688,1406,3911
7701,937,3918
7702,937,3923
7705,939,3920
7706,939,3925
7715,1392,3711
7716,1392,3736
7717,1393,3713
7718,1393,3738
7725,1387,3706
7726,1387,3731
7727,1388,3708
7728,1388,3733
7848,1194,3939
7849,1194,3949
7850,1194,3968
7851,1194,3983
7852,1194,3998
7853,1194,4013
7854,1194,4034
7855,1194,4053
7856,1195,3940
7857,1195,3950
7858,1195,3969
7859,1195,3984
7860,1195,3999
7861,1195,4014
7862,1195,4035
7863,1195,4054
7864,1196,3942
7865,1196,3951
7866,1196,3971
7867,1196,3986
7868,1196,4001
7869,1196,4016
7870,1196,4037
7871,1196,4056
7872,1197,3941
7873,1197,3970
7874,1197,3985
7875,1197,4000
