id,item_id,slot_type_id,type_id,base_enchantable,asset_id,mod_set_id,eiset_id,or_unit_reqs,repairable,durability_multiplier,base_equipment,recharge_buff_id,charge_lifetime,charge_count,useAsStat,skin_kind_id
188,1177,12,5,t,188,,,f,t,100,f,,0,0,t,3
229,1846,13,5,t,229,,,f,t,100,f,,0,0,t,3
483,2688,1,3,t,1255,,,f,t,100,t,,0,0,t,3
484,2689,5,3,t,1257,,,f,t,100,t,,0,0,t,3
485,2690,7,3,t,1259,,,f,t,100,t,,0,0,t,3
486,2691,3,3,t,1721,,,f,t,100,t,,0,0,t,3
487,2692,7,3,t,986,,,f,t,100,t,,0,0,t,3
488,2693,1,1,t,1336,,,f,t,100,t,,0,0,t,3
489,2694,3,1,t,1725,,,f,t,100,t,,0,0,t,3
490,2695,5,1,t,1338,,,f,t,100,t,,0,0,t,3
491,2696,6,1,t,1339,,,f,t,100,t,,0,0,t,3
492,2697,7,1,t,1340,,,f,t,100,t,,0,0,t,3
493,2698,1,3,t,1731,,,f,t,100,t,,0,0,t,3
494,2699,3,3,t,1732,,,f,t,100,t,,0,0,t,3
495,2700,5,3,t,1733,,,f,t,100,t,,0,0,t,3
496,2701,6,3,t,1734,,,f,t,100,t,,0,0,t,3
497,2702,7,3,t,1735,,,f,t,100,t,,0,0,t,3
499,2704,5,3,t,1722,,,f,t,100,t,,0,0,t,3
500,2705,6,3,t,984,,,f,t,100,t,,0,0,t,3
501,2706,1,3,t,1720,,,f,t,100,t,,0,0,t,3
502,2707,3,1,t,1380,,,f,t,100,t,,0,0,t,3
503,2708,5,1,t,1381,,,f,t,100,t,,0,0,t,3
504,2709,6,2,t,1382,,,f,t,100,t,,0,0,t,3
505,2710,7,1,t,1383,,,f,t,100,t,,0,0,t,3
506,2711,1,2,t,1235,,,f,t,100,t,,0,0,t,3
507,2712,3,2,t,1236,,,f,t,100,t,,0,0,t,3
508,2713,5,1,t,1237,,,f,t,100,t,,0,0,t,3
509,2714,6,2,t,1238,,,f,t,100,t,,0,0,t,3
510,2715,7,2,t,1239,,,f,t,100,t,,0,0,t,3
511,2716,3,1,t,1190,,,f,t,100,t,,0,0,t,3
512,2717,6,1,t,1192,,,f,t,100,t,,0,0,t,3
513,2718,7,1,t,1193,,,f,t,100,t,,0,0,t,3
514,2719,1,2,t,1037,,,f,t,100,t,,0,0,t,3
515,2720,5,2,t,1039,,,f,t,100,t,,0,0,t,3
516,2721,1,1,t,674,,,f,t,100,t,,0,0,t,3
517,2722,3,1,t,675,,,f,t,100,t,,0,0,t,3
518,2723,6,1,t,677,,,f,t,100,t,,0,0,t,3
520,3896,5,5,t,1776,,,f,t,100,f,,0,0,t,3
521,3897,7,5,t,1778,,,f,t,100,f,,0,0,t,3
566,3006,6,4,t,566,,,f,t,100,f,,0,0,t,1
567,3007,4,4,t,0,,,f,t,100,f,,0,0,t,1
568,3008,5,4,t,568,,,f,t,100,f,,0,0,t,1
569,3009,7,4,t,569,,,f,t,100,f,,0,0,t,1
570,3010,1,1,t,570,,,f,t,100,t,,0,0,t,3
571,3011,3,1,t,571,,,f,t,100,t,,0,0,t,3
572,3012,8,1,t,0,,,f,t,100,t,,0,0,t,1
573,3013,6,1,t,573,,,f,t,100,t,,0,0,t,3
574,3014,4,1,t,0,,,f,t,100,t,,0,0,t,1
575,3015,5,1,t,575,,,f,t,100,t,,0,0,t,3
576,3016,7,1,t,576,,,f,t,100,t,,0,0,t,3
577,3017,1,2,t,577,,,f,t,100,t,,0,0,t,3
578,3018,3,2,t,578,,,f,t,100,t,,0,0,t,3
579,3019,8,2,t,0,,,f,t,100,t,,0,0,t,1
580,3020,6,2,t,580,,,f,t,100,t,,0,0,t,3
581,3021,4,2,t,0,,,f,t,100,t,,0,0,t,1
582,3022,5,2,t,582,,,f,t,100,t,,0,0,t,3
583,3023,7,2,t,583,,,f,t,100,t,,0,0,t,3
584,3024,1,3,t,975,,,f,t,100,t,,0,0,t,3
585,3025,3,3,t,976,,,f,t,100,t,,0,0,t,3
586,3026,8,3,t,0,,,f,t,100,t,,0,0,t,1
587,3027,6,3,t,978,,,f,t,100,t,,0,0,t,3
588,3028,4,3,t,0,,,f,t,100,t,,0,0,t,1
589,3029,5,3,t,980,,,f,t,100,t,,0,0,t,3
590,3030,7,3,t,981,,,f,t,100,t,,0,0,t,3
591,3031,1,4,t,591,,,f,t,100,f,,0,0,t,1
592,3032,3,4,t,592,,,f,t,100,f,,0,0,t,1
593,3033,8,4,t,0,,,f,t,100,f,,0,0,t,1
594,3034,6,4,t,594,,,f,t,100,f,,0,0,t,1
595,3035,4,4,t,0,,,f,t,100,f,,0,0,t,1
596,3036,5,4,t,596,,,f,t,100,f,,0,0,t,1
597,3037,7,4,t,597,,,f,t,100,f,,0,0,t,1
598,3038,3,1,t,522,,,f,t,100,t,,0,0,t,3
599,3039,8,1,t,0,,,f,t,100,t,,0,0,t,1
600,3040,6,1,t,524,,,f,t,100,t,,0,0,t,3
601,3041,5,1,t,525,,,f,t,100,t,,0,0,t,3
602,3042,7,1,t,526,,,f,t,100,t,,0,0,t,3
603,3043,3,2,t,527,,,f,t,100,t,,0,0,t,3
604,3044,8,2,t,0,,,f,t,100,t,,0,0,t,1
605,3045,6,2,t,529,,,f,t,100,t,,0,0,t,3
606,3046,5,2,t,530,,,f,t,100,t,,0,0,t,3
607,3047,7,2,t,531,,,f,t,100,t,,0,0,t,3
608,3048,3,3,t,976,,,f,t,100,t,,0,0,t,3
609,3049,8,3,t,0,,,f,t,100,t,,0,0,t,1
610,3050,6,3,t,978,,,f,t,100,t,,0,0,t,3
611,3051,5,3,t,980,,,f,t,100,t,,0,0,t,3
612,3052,7,3,t,981,,,f,t,100,t,,0,0,t,3
613,3053,3,4,t,976,,,f,t,100,f,,0,0,t,1
614,3054,8,4,t,0,,,f,t,100,f,,0,0,t,1
615,3055,6,4,t,978,,,f,t,100,f,,0,0,t,1
616,3056,5,4,t,980,,,f,t,100,f,,0,0,t,1
617,3057,7,4,t,981,,,f,t,100,f,,0,0,t,1
618,3058,1,1,t,646,,,f,t,100,t,,0,0,t,3
619,3059,3,1,t,522,,,f,t,100,t,,0,0,t,3
620,3060,8,1,t,0,,,f,t,100,t,,0,0,t,1
621,3061,6,1,t,524,,,f,t,100,t,,0,0,t,3
622,3062,4,1,t,0,,,f,t,100,t,,0,0,t,1
623,3063,5,1,t,525,,,f,t,100,t,,0,0,t,3
624,3064,7,1,t,526,,,f,t,100,t,,0,0,t,3
625,3065,1,2,t,794,,,f,t,100,t,,0,0,t,3
626,3066,3,2,t,527,,,f,t,100,t,,0,0,t,3
627,3067,8,2,t,0,,,f,t,100,t,,0,0,t,1
628,3068,6,2,t,529,,,f,t,100,t,,0,0,t,3
629,3069,4,2,t,0,,,f,t,100,t,,0,0,t,1
630,3070,5,2,t,530,,,f,t,100,t,,0,0,t,3
631,3071,7,2,t,531,,,f,t,100,t,,0,0,t,3
632,3072,1,3,t,975,,,f,t,100,t,,0,0,t,3
633,3073,3,3,t,976,,,f,t,100,t,,0,0,t,3
634,3074,8,3,t,0,,,f,t,100,t,,0,0,t,1
635,3075,6,3,t,978,,,f,t,100,t,,0,0,t,3
636,3076,4,3,t,0,,,f,t,100,t,,0,0,t,1
637,3077,5,3,t,980,,,f,t,100,t,,0,0,t,3
638,3078,7,3,t,981,,,f,t,100,t,,0,0,t,3
639,3079,1,4,t,975,,,f,t,100,f,,0,0,t,1
640,3080,3,4,t,976,,,f,t,100,f,,0,0,t,1
641,3081,8,4,t,0,,,f,t,100,f,,0,0,t,1
642,3082,6,4,t,978,,,f,t,100,f,,0,0,t,1
643,3083,4,4,t,0,,,f,t,100,f,,0,0,t,1
644,3084,5,4,t,980,,,f,t,100,f,,0,0,t,1
645,3085,7,4,t,981,,,f,t,100,f,,0,0,t,1
646,3086,1,1,t,646,,,f,t,100,t,,0,0,t,3
647,3087,3,1,t,522,,,f,t,100,t,,0,0,t,3
648,3088,8,1,t,0,,,f,t,100,t,,0,0,t,1
649,3089,6,1,t,524,,,f,t,100,t,,0,0,t,3
650,3090,4,1,t,0,,,f,t,100,t,,0,0,t,1
651,3091,5,1,t,525,,,f,t,100,t,,0,0,t,3
652,3092,7,1,t,526,,,f,t,100,t,,0,0,t,3
653,3093,1,2,t,794,,,f,t,100,t,,0,0,t,3
654,3094,3,2,t,527,,,f,t,100,t,,0,0,t,3
655,3095,8,2,t,0,,,f,t,100,t,,0,0,t,1
656,3096,6,2,t,529,,,f,t,100,t,,0,0,t,3
657,3097,4,2,t,0,,,f,t,100,t,,0,0,t,1
658,3098,5,2,t,530,,,f,t,100,t,,0,0,t,3
659,3099,7,2,t,531,,,f,t,100,t,,0,0,t,3
660,3100,1,3,t,975,,,f,t,100,t,,0,0,t,3
661,3101,3,3,t,976,,,f,t,100,t,,0,0,t,3
662,3102,8,3,t,0,,,f,t,100,t,,0,0,t,1
663,3103,6,3,t,978,,,f,t,100,t,,0,0,t,3
664,3104,4,3,t,0,,,f,t,100,t,,0,0,t,1
665,3105,5,3,t,980,,,f,t,100,t,,0,0,t,3
666,3106,7,3,t,981,,,f,t,100,t,,0,0,t,3
667,3107,1,4,t,975,,,f,t,100,f,,0,0,t,1
668,3108,3,4,t,976,,,f,t,100,f,,0,0,t,1
669,3109,8,4,t,0,,,f,t,100,f,,0,0,t,1
670,3110,6,4,t,978,,,f,t,100,f,,0,0,t,1
671,3111,4,4,t,0,,,f,t,100,f,,0,0,t,1
672,3112,5,4,t,980,,,f,t,100,f,,0,0,t,1
673,3113,7,4,t,981,,,f,t,100,f,,0,0,t,1
674,3114,1,1,t,674,,,f,t,100,t,,0,0,t,3
675,3115,3,1,t,675,,,f,t,100,t,,0,0,t,3
676,3116,8,1,t,0,,,f,t,100,t,,0,0,t,1
677,3117,6,1,t,677,,,f,t,100,t,,0,0,t,3
678,3118,4,1,t,0,,,f,t,100,t,,0,0,t,1
679,3119,5,1,t,679,,,f,t,100,t,,0,0,t,3
680,3120,7,1,t,680,,,f,t,100,t,,0,0,t,3
681,3121,1,2,t,681,,,f,t,100,t,,0,0,t,3
