id,item_id,asset_id,backpack_type_id,declare_siege_zone_group_id,heavy,asset2_id
1,16493,4374,1,0,t,0
2,17683,10501,3,0,t,0
3,17684,4697,3,0,t,0
4,17685,4698,3,0,t,0
5,17686,4696,3,0,t,0
6,17692,4496,3,0,f,0
7,17823,5001,3,0,t,0
8,18029,4374,1,0,t,0
9,14677,6492,2,0,0,14287
13,15873,18802,2,0,0,11989
18,16385,6492,2,0,0,0
19,16392,6492,2,0,0,0
22,17802,4696,3,0,t,0
23,17810,4699,3,0,t,0
24,18152,5001,3,0,t,0
25,18172,6811,4,34,t,0
26,18173,16971,2,0,0,16972
27,18174,10767,2,0,0,10768
28,18175,11772,2,0,0,11773
29,18440,6736,3,0,t,0
30,18465,6751,3,0,t,0
31,18466,6752,3,0,t,0
32,18467,6755,3,0,t,0
33,18468,6754,3,0,t,0
34,18469,6753,3,0,t,0
35,18473,6751,3,0,t,0
36,18476,6811,4,33,t,0
37,18482,6736,3,0,f,0
38,18488,7450,3,0,t,0
39,18492,6810,3,0,t,0
40,18495,6810,3,0,t,0
41,18633,7096,3,0,f,0
42,18638,4697,3,0,t,0
43,18696,6811,4,44,t,0
44,18697,6811,4,43,t,0
45,18704,5001,3,0,t,0
46,18712,10501,3,0,t,0
47,18727,8393,3,0,t,0
48,18754,5001,3,0,f,0
49,19113,5001,3,0,t,0
50,19382,8215,3,0,t,0
51,19466,8444,3,0,f,0
52,19596,4699,3,0,t,0
53,19597,4698,3,0,t,0
54,19872,5001,3,0,t,0
55,19880,5001,3,0,t,0
56,19971,10501,3,0,t,0
57,20047,5001,3,0,t,0
58,20048,5001,3,0,t,0
59,20090,10143,3,0,t,0
60,20091,10139,3,0,t,0
61,20092,10136,3,0,t,0
62,20093,10150,3,0,t,0
63,20094,10149,3,0,t,0
64,20095,10135,3,0,t,0
65,20096,10136,3,0,t,0
66,20097,10151,3,0,t,0
67,20098,10148,3,0,t,0
68,20099,10144,3,0,t,0
69,20100,10155,3,0,t,0
70,20101,10133,3,0,t,0
71,20102,10153,3,0,t,0
72,20103,10134,3,0,t,0
73,20104,10156,3,0,t,0
74,20105,10141,3,0,t,0
75,20106,10145,3,0,t,0
76,20107,10137,3,0,t,0
77,20108,10151,3,0,t,0
78,20109,10141,3,0,t,0
79,20110,10133,3,0,t,0
80,20111,10140,3,0,t,0
81,20112,10152,3,0,t,0
82,20113,10151,3,0,t,0
83,20114,10152,3,0,t,0
84,20115,10146,3,0,t,0
85,20116,10133,3,0,t,0
86,21253,4696,3,0,t,0
87,21328,4696,3,0,t,0
88,21332,9933,3,0,t,0
90,21499,8215,3,0,f,0
91,21506,5001,3,0,t,0
92,21508,5001,3,0,t,0
93,21603,5001,3,0,t,0
94,21848,10142,3,0,t,0
95,21849,10154,3,0,t,0
96,23380,11991,3,0,t,0
97,23381,9785,2,0,f,14291
98,23382,9784,2,0,f,14290
99,23383,9783,2,0,f,14289
100,23589,5001,3,0,t,0
101,23605,11994,3,0,t,0
102,23606,11989,3,0,t,0
103,23607,11992,3,0,t,0
104,23608,11990,3,0,t,0
105,23612,10160,2,0,f,4699
106,23613,14539,2,0,f,14538
107,23836,8444,3,0,f,0
