id,item_id,slot_type_id,model_id,asset_id,asset_1_id,asset_2_id,asset_3_id,asset_4_id,face_mask,hair_base,npc_only,beautyshop_only
28,392,29,14,180,0,0,181,0,,,t,f
29,401,23,14,191,0,0,0,0,,,f,f
30,402,24,14,190,0,0,0,0,,,t,f
31,403,23,15,125,0,0,0,0,,,f,f
32,404,24,15,122,0,0,0,0,,,t,f
33,405,24,15,122,0,0,0,0,,,f,f
34,407,24,15,122,0,0,0,0,,,f,f
35,408,23,21,121,0,0,0,0,objects\Characters\ferre\female\face\fe_f_face_mask.dds,,f,f
36,409,24,21,120,12791,12791,12791,120,,,f,f
37,410,23,19,192,0,0,0,0,objects\Characters\hariharan\female\face\ha_f_face_mask.dds,,f,f
38,411,24,19,193,6543,6543,6543,0,,,t,f
39,412,23,11,118,0,0,0,0,objects\Characters\nuian\female\face\nu_f_face_mask.dds,,f,f
40,413,24,11,677,685,685,685,0,,objects\Characters\nuian\female\hair\hair_base\nu_f_hair_base002.dds,t,f
42,419,23,10,110,0,0,0,0,objects\Characters\nuian\male\face\nu_m_face_mask_new.dds,,f,f
49,502,24,22,200,0,0,0,0,,,f,f
50,503,23,22,199,0,0,0,0,,,f,f
51,536,28,10,201,0,0,0,0,,,f,f
54,539,28,11,204,0,0,0,0,,,f,f
57,542,28,14,207,0,0,0,0,,,f,f
60,545,28,15,210,0,0,0,0,,,f,f
63,548,28,18,213,0,0,0,0,,,f,f
66,551,23,18,216,0,0,0,0,objects\Characters\hariharan\male\face\ha_m_face_mask.dds,,f,f
67,552,24,18,6476,6544,6544,6544,0,,,t,f
68,553,28,19,218,0,0,0,0,,,f,f
71,556,28,22,221,0,0,0,0,,,f,f
74,559,28,20,224,0,0,0,0,,,f,f
77,562,27,20,227,0,0,0,0,,,f,f
78,563,23,20,228,0,0,0,0,objects\Characters\ferre\male\face\fe_m_face_mask.dds,,f,f
79,564,29,20,229,0,0,0,0,,,f,f
80,565,28,21,230,0,0,0,0,,,f,f
83,568,27,21,233,0,0,0,0,,,f,f
84,569,28,37,234,0,0,0,0,,,f,f
85,570,23,37,236,0,0,0,0,,,f,f
86,571,24,37,235,0,0,0,0,,,f,f
89,574,23,39,241,0,0,0,0,,,f,f
90,575,24,39,240,0,0,0,0,,,f,f
93,578,28,39,239,0,0,0,0,,,f,f
94,579,23,40,247,0,0,0,0,,,f,f
95,580,24,40,245,0,0,0,0,,,f,f
98,583,28,40,244,0,0,0,0,,,f,f
99,584,29,40,246,0,0,0,0,,,f,f
100,585,23,38,258,0,0,0,0,,,f,f
103,588,28,38,257,0,0,0,0,,,f,f
104,592,24,22,279,0,0,0,0,,,f,f
105,658,28,24,307,0,0,0,0,,,f,f
106,659,23,24,308,0,0,0,0,,,f,f
110,1126,24,23,115,0,0,0,0,,,f,f
111,1127,23,23,116,0,0,0,0,,,f,f
112,1128,28,17,378,0,0,0,0,,,f,f
114,1130,23,17,382,0,0,0,0,objects\Characters\elf\female\face\el_f_face_mask.dds,,f,f
116,1133,24,17,1942,1926,1926,1926,0,,objects\Characters\nuian\female\hair\hair_base\nu_f_hair_base002.dds,t,f
117,1142,28,16,392,0,0,0,0,,,f,f
118,1143,23,16,393,0,0,0,0,objects\Characters\elf\male\face\el_m_face_mask.dds,,f,f
119,1144,24,16,394,558,558,558,558,,,t,f
122,1182,28,13,405,0,0,0,0,,,f,f
123,1183,23,13,406,0,0,0,0,,,f,f
128,2536,24,10,420,1928,1928,1928,0,,,t,f
130,4081,23,11,667,0,0,0,0,objects\Characters\nuian\female\face\nu_f_face_mask.dds,,f,f
131,4082,24,11,678,680,680,680,0,,objects\characters\nuian\female\hair\hair_base\nu_f_hair_base002.dds,t,f
132,4083,23,10,671,0,0,0,0,objects\Characters\nuian\male\face\nu_m_face_mask.dds,,f,f
133,4084,24,10,676,681,681,681,0,,,t,f
134,4085,24,10,675,3080,3080,3080,0,,,t,f
135,4086,23,17,679,0,0,0,0,objects\Characters\elf\female\face\el_f_face_mask.dds,,f,f
136,4087,23,16,673,0,0,0,0,objects\Characters\elf\male\face\el_m_face_mask.dds,,f,f
137,4088,24,16,674,1919,1919,1919,1919,,,t,f
138,4932,24,17,686,1939,1939,1939,0,,,t,f
141,4984,24,20,704,12880,12880,12880,704,,,f,f
142,5066,28,355,710,0,0,0,0,,,f,f
145,5071,24,355,712,0,0,0,0,,,t,f
146,5072,23,355,711,0,0,0,0,,,f,f
147,5268,23,11,766,0,0,0,0,objects\Characters\nuian\female\face\nu_f_face_mask.dds,,f,f
148,8100,23,10,829,0,0,0,0,,,f,f
149,8101,23,11,830,0,0,0,0,,,f,f
152,8104,23,10,831,0,0,0,0,objects\Characters\nuian\male\face\nu_m_face_mask.dds,,t,f
153,8138,23,11,855,0,0,0,0,objects\Characters\nuian\female\face\nu_f_face_mask.dds,,t,f
155,8141,23,20,860,0,0,0,0,objects\Characters\nuian\male\face\nu_m_face_mask.dds,,f,f
157,8152,24,20,861,12965,12965,12966,12967,,,f,f
159,8154,23,16,862,0,0,0,0,objects\Characters\elf\male\face\el_m_face_mask.dds,,f,f
161,8157,23,21,863,0,0,0,0,objects\Characters\nuian\male\face\nu_m_face_mask.dds,,f,f
163,8175,23,17,869,0,0,0,0,objects\Characters\elf\female\face\el_f_face_mask.dds,,f,f
164,8181,24,11,870,2964,2964,2964,0,,,t,f
165,8475,24,16,892,1941,1941,1941,1941,,,t,f
167,8554,24,17,930,1940,1940,1940,0,,,t,f
168,8555,24,17,931,6474,6474,6474,0,,,t,f
169,8571,23,448,933,0,0,0,0,,,f,f
170,8572,24,448,934,0,0,0,0,,,f,f
171,8573,28,448,935,0,0,0,0,,,f,f
172,13736,27,448,936,0,0,0,0,,,f,f
