id,name,chance_rate
1,disenchant.weapon.uncommon.20-29.product,10000
2,disenchant.weapon.uncommon.30-39.product,10000
3,disenchant.weapon.uncommon.40-49.product,10000
4,disenchant.weapon.uncommon.50-50.product,10000
5,disenchant.weapon.rare.20-29.product,10000
6,disenchant.weapon.rare.30-39.product,10000
7,disenchant.weapon.rare.40-49.product,10000
8,disenchant.weapon.rare.50-50.product,10000
9,disenchant.weapon.ancient.20-29.product,10000
10,disenchant.weapon.ancient.30-39.product,10000
11,disenchant.weapon.ancient.40-49.product,10000
12,disenchant.weapon.ancient.50-50.product,10000
13,disenchant.weapon.heroic.20-29.product,10000
14,disenchant.weapon.heroic.30-39.product,10000
15,disenchant.weapon.heroic.40-49.product,10000
16,disenchant.weapon.heroic.50-50.product,10000
17,disenchant.weapon.unique.20-29.product,10000
18,disenchant.weapon.unique.30-39.product,10000
19,disenchant.weapon.unique.40-49.product,10000
20,disenchant.weapon.unique.50-50.product,10000
21,disenchant.armor.uncommon.20-29.product,10000
22,disenchant.armor.uncommon.30-39.product,10000
23,disenchant.armor.uncommon.40-49.product,10000
24,disenchant.armor.uncommon.50-50.product,10000
25,disenchant.armor.rare.20-29.product,10000
26,disenchant.armor.rare.30-39.product,10000
27,disenchant.armor.rare.40-49.product,10000
28,disenchant.armor.rare.50-50.product,10000
29,disenchant.armor.ancient.20-29.product,10000
30,disenchant.armor.ancient.30-39.product,10000
31,disenchant.armor.ancient.40-49.product,10000
32,disenchant.armor.ancient.50-50.product,10000
33,disenchant.armor.heroic.20-29.product,10000
34,disenchant.armor.heroic.30-39.product,10000
35,disenchant.armor.heroic.40-49.product,10000
36,disenchant.armor.heroic.50-50.product,10000
37,disenchant.armor.unique.20-29.product,10000
38,disenchant.armor.unique.30-39.product,10000
39,disenchant.armor.unique.40-49.product,10000
40,disenchant.armor.unique.50-50.product,10000
41,disenchant.accessory.uncommon.20-29.product,10000
42,disenchant.accessory.uncommon.30-39.product,10000
43,disenchant.accessory.uncommon.40-49.product,10000
44,disenchant.accessory.uncommon.50-50.product,10000
45,disenchant.accessory.rare.20-29.product,10000
46,disenchant.accessory.rare.30-39.product,10000
47,disenchant.accessory.rare.40-49.product,10000
48,disenchant.accessory.rare.50-50.product,10000
49,disenchant.accessory.ancient.20-29.product,10000
50,disenchant.accessory.ancient.30-39.product,10000
51,disenchant.accessory.ancient.40-49.product,10000
52,disenchant.accessory.ancient.50-50.product,10000
53,disenchant.accessory.heroic.20-29.product,10000
54,disenchant.accessory.heroic.30-39.product,10000
55,disenchant.accessory.heroic.40-49.product,10000
56,disenchant.accessory.heroic.50-50.product,10000
57,disenchant.accessory.unique.20-29.product,10000
58,disenchant.accessory.unique.30-39.product,10000
59,disenchant.accessory.unique.40-49.product,10000
60,disenchant.accessory.unique.50-50.product,10000
61,disenchant.enchanting_gem.common.10-14.product,10000
62,disenchant.enchanting_gem.common.15-19.product,10000
63,disenchant.enchanting_gem.uncommon.20-24.product,10000
64,disenchant.enchanting_gem.uncommon.25-29.product,10000
65,disenchant.enchanting_gem.rare.30-34.product,10000
66,disenchant.enchanting_gem.rare.35-39.product,10000
67,disenchant.enchanting_gem.ancient.40-44.product,10000
68,disenchant.enchanting_gem.ancient.45-49.product,10000
69,disenchant.enchanting_gem.heroic.50-50.product,10000
70,disenchant.weapon.uncommon.01-19.product,10000
71,disenchant.weapon.rare.01-19.product,10000
72,disenchant.weapon.ancient.01-19.product,10000
73,disenchant.weapon.heroic.01-19.product,10000
74,disenchant.weapon.unique.01-19.product,10000
75,disenchant.armor.uncommon.01-19.product,10000
76,disenchant.armor.rare.01-19.product,10000
77,disenchant.armor.ancient.01-19.product,10000
78,disenchant.armor.heroic.01-19.product,10000
79,disenchant.armor.unique.01-19.product,10000
80,disenchant.accessory.uncommon.01-19.product,10000
81,disenchant.accessory.rare.01-19.product,10000
82,disenchant.accessory.ancient.01-19.product,10000
83,disenchant.accessory.heroic.01-19.product,10000
84,disenchant.accessory.unique.01-19.product,10000
86,disenchant.1handed_weapon.illustrious.product,10000
87,disenchant.1handed_weapon.magnificent.product,10000
88,disenchant.1handed_weapon.epherium.product,10000
89,disenchant.1handed_weapon.delphinad.product,10000
90,disenchant.armor.illustrious.product,10000
91,disenchant.armor.magnificent.product,10000
92,disenchant.armor.epherium.product,10000
93,disenchant.armor.delphinad.product,10000
94,disenchant.2handed_weapon.illustrious.product,10000
95,disenchant.2handed_weapon.epherium.product,10000
96,disenchant.2handed_weapon.delphinad.product,10000
