id,item_conv_id,item_conv_rpack_id
4,1,1
5,2,2
6,3,3
7,4,4
8,5,5
9,6,6
10,7,7
11,8,8
12,9,9
13,10,10
14,11,11
15,12,12
16,13,13
17,14,14
18,15,15
19,16,16
20,17,17
21,18,18
22,19,19
23,20,20
24,21,21
25,22,22
26,23,23
27,24,24
28,25,25
29,26,26
30,27,27
31,28,28
32,29,29
33,30,30
34,31,31
35,32,32
36,33,33
37,34,34
38,35,35
39,36,36
40,37,37
41,38,38
42,39,39
43,40,40
44,41,41
45,42,42
46,43,43
47,44,44
48,45,45
49,46,46
50,47,47
51,48,48
52,49,49
53,50,50
54,51,51
55,52,52
56,53,53
57,54,54
58,55,55
59,56,56
60,57,57
61,58,58
62,59,59
63,60,60
64,61,61
65,62,62
66,63,63
67,64,64
68,65,65
69,66,66
70,67,67
71,68,68
72,69,69
73,70,70
74,71,71
75,72,72
76,73,73
77,74,74
78,75,75
79,76,76
80,77,77
81,78,78
82,79,79
83,80,80
84,81,81
85,82,82
86,83,83
87,84,84
