id,item_id,equip_slot_group_id,gem_visual_effect_id,equip_level,item_grade_id
2,3958,,,,
3,3959,,,,
4,3960,,,,
5,3961,,,,
6,3962,,,,
7,3963,,,,
8,3964,,,,
9,3965,,,,
10,3966,,,,
11,3967,,,,
12,3968,,,,
13,3969,,,,
14,3970,,,,
15,3971,,,,
16,3972,,,,
17,3973,,,,
18,3974,,,,
19,3975,,,,
20,3976,,,,
21,3977,,,,
22,3978,,,,
23,3979,,,,
24,3980,,,,
25,3981,,,,
26,3982,,,,
27,3983,,,,
28,3984,,,,
29,3985,,,,
30,3986,,,,
31,3987,,,,
32,3988,,,,
33,14694,,,,
34,14695,,,,
35,14696,,,,
36,14697,,,,
37,14698,,,,
38,14699,,,,
39,14700,,,,
40,14715,,,,
41,14716,,,,
42,14717,,,,
43,14718,,,,
44,14720,,,,
45,14721,,,,
46,14722,,,,
47,14723,,,,
48,14724,,,,
49,14725,,,,
50,14726,,,,
51,14727,,,,
52,14728,,,,
53,14729,,,,
54,14730,,,,
55,14731,,,,
56,14732,,,,
57,14733,,,,
58,14754,,,,
59,14755,,,,
60,14757,,,,
61,14758,,,,
62,14759,,,,
63,14760,,,,
64,14761,,,,
65,14762,,,,
66,14763,,,,
67,14764,,,,
68,14766,,,,
69,14767,,,,
70,14768,,,,
71,14769,,,,
72,14770,,,,
73,14771,,,,
74,14772,,,,
75,14773,,,,
76,14774,,,,
77,14775,,,,
79,24611,,,,
80,24612,,,,
81,24613,,,,
82,24614,,,,
83,24615,,,,
84,24616,,,,
85,24617,,,,
86,24618,,,,
87,24619,,,,
88,24620,,,,
89,24621,,,,
90,24622,,,,
91,24623,,,,
92,24624,,,,
93,24625,,,,
94,24626,,,,
95,24627,,,,
96,24628,,,,
97,24629,,,,
98,24630,,,,
99,24631,,,,
100,24632,,,,
101,24633,,,,
102,24634,,,,
103,24635,,,,
104,24636,,,,
105,24637,,,,
106,24638,,,,
107,24639,,,,
108,24640,,,,
109,24641,,,,
110,24642,,,,
111,24643,,,,
112,24644,,,,
113,24645,,,,
114,24646,,,,
115,24647,,,,
116,24648,,,,
117,24649,,,,
118,24650,,,,
119,24651,,,,
120,24652,,,,
121,24653,,,,
122,24654,,,,
123,24655,,,,
124,24656,,,,
125,24657,,,,
126,24658,,,,
127,24659,,,,
128,24660,,,,
129,24661,,,,
130,24662,,,,
131,24663,,,,
132,24664,,,,
133,24665,,,,
134,24666,,,,
135,24667,,,,
136,24668,,,,
137,24669,,,,
138,24670,,,,
139,24671,,,,
140,24672,,,,
141,24673,,,,
142,24674,,,,
143,24675,,,,
144,24676,,,,
145,24677,,,,
146,24678,,,,
147,24679,,,,
148,24680,,,,
149,24681,,,,
150,24682,,,,
151,24683,,,,
152,24684,,,,
153,24685,,,,
154,24686,,,,
155,24687,,,,
156,24688,,,,
157,24689,,,,
158,24690,,,,
159,24691,5,,,
160,24692,5,,,
161,24693,5,,,
162,24694,5,,,
163,24695,5,,,
164,24696,5,,,
165,24697,6,,,
166,24698,6,,,
167,24699,6,,,
168,24700,6,,,
169,24701,6,,,
170,24702,6,,,
171,24703,7,,,
172,24704,7,,,
173,24705,7,,,
174,24706,7,,,
175,24707,7,,,
176,24708,7,,,
177,24709,7,,,
178,24710,7,,,
179,24711,7,,,
180,24712,8,,,
181,24713,8,,,
182,24714,8,,,
183,24715,8,,,
184,24716,8,,,
185,24717,8,,,
186,24718,8,,,
187,24719,8,,,
188,24720,1,,,
189,24721,1,7,,
190,24722,1,8,,
191,24723,1,24,,
192,24724,1,,,
193,24725,1,3,,
194,24726,1,4,,
195,24727,1,22,,
196,24728,1,,,
197,24729,1,,,
198,24730,1,,,
199,24731,2,,,
200,24732,2,9,,
201,24733,2,10,,
202,24734,2,25,,
203,24735,2,,,
204,24736,2,5,,
205,24737,2,6,,
206,24738,2,23,,
207,24739,3,,,
208,24740,3,11,,
209,24741,3,12,,
210,24742,3,26,,
211,24743,4,,,
212,24744,4,,,
213,24745,4,,,
214,24746,4,,,
215,24747,4,,,
216,24748,4,,,
217,24749,4,,,
218,24750,5,,,
219,24751,5,,,
220,24752,5,,,
221,24753,5,,,
222,24754,6,,,
223,24755,6,,,
224,24756,6,,,
225,24757,6,,,
226,24758,6,,,
227,24759,6,,,
228,24760,7,,,
229,24761,7,,,
230,24762,7,,,
231,24763,7,,,
232,24764,7,,,
233,24765,7,,,
234,24766,1,13,,
235,24767,1,14,,
236,24768,1,13,,
237,24769,1,14,,
238,24770,2,15,,
239,24771,2,16,,
240,24772,2,15,,
241,24773,2,16,,
242,24774,3,17,,
243,24775,3,18,,
244,26855,10,,,
245,26856,10,,,
246,26857,10,,,
247,26858,10,,,
248,26859,10,,,
249,28713,1,19,,
250,28714,2,20,,
251,28715,3,21,,
252,29643,5,,,
253,29644,5,,,
254,29645,6,,,
255,29646,6,,,
256,29647,1,,,
257,29648,7,,,
258,29649,7,,,
259,29650,7,,,
260,29651,1,19,,
261,29652,1,19,,
262,29653,2,20,,
263,29654,2,20,,
264,29655,3,21,,
265,29663,4,,50,
266,29664,4,,50,
267,29665,4,,50,
268,29666,4,,50,
