id,name,visible_ui,description
1,무기,t,"각종 무기와 지팡이, 방패, 악기 등의 장비 아이템"
2,방어구,t,"천, 가죽, 판금 갑옷 등의 장비 아이템"
3,장신구,t,"귀걸이, 목걸이, 반지 등의 장신구 아이템"
4,의상,t,특수 분류의 의상 아이템
5,소비품,t,"각종 물약, 음식, 보름돌, 제작법 등의 아이템"
6,재료,t,각종 제작을 위한 가공된 재료 아이템
7,퀘스트,t,퀘스트나 모험에 관한 아이템
8,탈것,t,"말, 타레, 엘크, 눈사자 및 선박, 차량 등의 아이템"
9,소환수 장비,t,소환수를 위한 장비 아이템
10,책,f,
11,상자,f,
12,건물,t,건물 도면 아이템
13,식물,t,모종과 씨앗 아이템
14,동물,t,가축 아이템
15,실내장식,t,각종 가구 아이템
16,실외장식,f,
17,잡동사니,t,"장난감, 유물 등의 아이템"
18,기타,t,특수한 아이템
19,Not Apply,f,
20,등짐,f,
21,특산품,f,
22,보석,t,보석 아이템
23,원료,t,"원목, 광석, 암석 등의 제작 재료 및 가공이 가능한 아이템"
24,기계,t,"차량, 날틀 등의 제작을 위한 아이템"
25,증거물,f,
26,아키움,t,아키움 아이템
27,주화,t,"델피나드의 별, 누이의 눈물 등 주화 아이템"
28,소환수,t,전투를 위한 소환수 아이템
29,낚시용품,t,낚시와 관련된 아이템
