id,item_id,book_page_id,book_id
1,19507,1,
3,19772,20,
4,19777,21,
5,19782,22,
6,19783,23,
7,19792,24,
8,19852,39,
9,19991,62,
10,20031,66,
11,20032,67,
12,20033,68,
13,20034,69,
14,20035,70,
15,20040,71,
16,20041,72,
17,20042,73,
18,20043,74,
19,20055,75,
20,20056,76,
21,20057,77,
22,20086,79,
23,20120,80,
24,21131,81,
25,21243,85,
26,21244,86,
27,21245,87,
28,21246,88,
29,21247,89,
30,21248,90,
31,21249,91,
32,21254,92,
33,21259,104,
34,21260,94,
35,21273,96,
36,21343,105,
37,21353,106,
38,21510,107,
39,21527,108,
40,21542,109,
41,21547,111,
42,21548,,
43,21555,110,
44,21559,113,
45,21563,103,
46,21565,214,
47,21568,93,
48,21569,95,
49,21570,97,
50,21571,98,
51,21599,114,
52,21600,115,
53,21601,116,
54,21602,117,
55,21845,118,
56,23216,119,
57,23217,120,
58,23218,121,
59,23611,122,
60,23699,,
61,23700,123,
62,23728,124,
63,24126,125,
64,24229,126,
65,24270,420,
66,24277,422,
67,24293,423,
68,24298,424,
69,24306,425,
70,24311,426,
71,24325,127,
72,24357,128,
73,24363,132,
74,24364,129,
75,24365,,
76,24366,131,
77,24367,133,
78,24368,134,
79,24369,135,
80,24370,136,
81,24371,136,
82,24377,137,
83,24378,138,
84,24379,139,
85,24380,140,
87,24383,141,
88,24384,142,
89,24385,143,
90,24386,145,
91,24387,144,
92,24391,146,
93,24392,147,
94,24399,148,
95,24400,149,
96,24401,152,
97,24402,151,
98,24403,150,
99,24404,153,
100,24405,154,
101,24406,155,
102,24407,156,
103,24409,157,
104,24410,159,
105,24411,158,
106,24412,160,
107,24414,161,
108,24421,165,
109,24422,167,
110,24423,166,
111,24429,174,
112,24430,173,
113,24432,172,
114,24433,171,
115,24434,170,
116,24435,169,
117,24436,168,
118,24527,175,
119,24528,176,
120,24529,177,
121,24530,178,
122,24531,179,
123,24543,180,
124,24548,193,
126,24550,191,
127,24551,190,
128,24552,189,
129,24553,188,
130,24554,187,
131,24555,186,
132,24556,181,
133,24557,182,
134,24558,183,
135,24559,184,
136,24560,185,
137,24577,192,
139,24587,196,
140,24592,197,
141,24593,198,
142,24595,201,
143,24596,200,
144,24597,199,
145,24599,202,
146,24600,203,
147,24601,204,
148,24602,205,
149,24603,206,
150,24604,207,
151,24606,208,
152,24607,209,
154,24609,210,
155,24610,211,
156,24776,212,
157,24777,213,
158,24778,215,
159,24779,216,
160,24780,217,
161,24786,218,
162,24787,219,
164,24805,213,
165,24967,221,
166,24994,222,
167,25004,223,
168,25005,223,
169,25023,223,
170,25071,225,
171,25076,226,
172,25138,227,
173,25151,111,
174,25224,228,
175,25226,229,
176,25245,230,
177,25295,232,
178,25442,233,
179,25443,234,
180,25444,235,
181,25445,236,
182,25446,237,
183,25447,238,
184,25448,239,
185,25449,240,
186,25450,241,
187,25451,242,
188,25452,243,
189,25453,244,
190,25454,245,
191,25455,246,
192,25456,247,
193,25457,248,
194,25458,249,
195,25459,250,
196,25460,251,
197,25461,252,
198,25462,253,
199,25463,254,
200,25464,255,
201,25465,256,
202,25466,257,
203,25467,258,
204,25468,259,
205,25469,260,
206,25470,261,
207,25471,262,
208,25472,263,
209,25474,265,
210,25475,266,
211,25476,267,
212,25477,268,
213,25478,269,
214,25479,270,
215,25480,271,
216,25481,272,
217,25482,273,
218,25483,274,
219,25484,276,
220,25485,277,
221,25486,278,
222,25487,279,
223,25488,280,
224,25489,281,
225,25490,282,
226,25491,283,
227,25492,284,
228,25493,285,
229,25494,286,
230,25495,287,
231,25496,288,
232,25497,289,
233,25498,290,
234,25499,291,
235,25500,292,
236,25501,293,
237,25502,294,
238,25503,295,
239,25504,296,
240,25505,297,
241,25506,298,
242,25507,299,
243,25508,300,
244,25509,301,
245,25510,302,
246,25511,303,
247,25512,304,
248,25513,305,
249,25514,306,
250,25515,307,
251,25516,308,
252,25517,309,
253,25518,310,
254,25519,311,
255,25520,312,
256,25521,313,
257,25522,314,
258,25523,315,
259,25524,316,
260,25525,317,
261,25526,318,
262,25527,319,
263,25528,320,
264,25538,321,
265,25539,321,
266,25540,322,
267,25541,322,
268,25542,323,
269,25543,323,
270,25544,324,
271,25545,324,
272,25567,325,
273,25568,326,
274,25569,327,
275,25570,328,
276,25571,329,
277,25572,330,
278,25573,331,
279,25574,332,
280,25575,333,
281,25576,334,
