id,name,description,skill_id,chance_kind_id,chance_rate,chance_param,cooldown_sec,finisher,item_level_based_chance_bonus
1,참치 비린내,참치 비린내가 납니다.,14041,2,10,0,0,f,0
2,광폭화,낮은 확률로 공격 속도와 공격력은 증가하지만 받는 피해량이 30% 증가합니다.,14153,9,5,0,30,f,0
3,보호막(1단계),낮은 확률로 보호막을 발동합니다. 보호막은 64의 피해를 흡수하면 사라집니다,14154,9,5,0,10,f,0
4,자유도,근접 공격 시 낮은 확률로 공격속도가 50% 빨라집니다,14169,2,5,0,30,f,0
5,보호막(2단계),낮은 확률로 보호막을 발동합니다. 보호막은 128의 피해를 흡수하면 사라집니다,14417,9,5,0,10,f,0
6,성인식용모자보호막,낮은 확률로 보호막을 발동합니다. 보호막은 64의 피해를 흡수하면 사라집니다,14674,9,5,0,0,f,0
7,"막대 사탕(미사용, 대체사용해주세요)",,14921,1,50,0,0,f,0
8,"별무늬 사탕(미사용, 대체사용해주세요)",,14922,1,50,0,0,f,0
9,"원형 사탕(미사용, 대체사용해주세요)",,14923,1,50,0,0,f,0
10,가죽 20레벨 7종 세트 : 치명타,피격 시 1% 확률로 15초간 치명타율 5% 증가,14945,9,1,0,0,f,0
11,가죽 20레벨 7종 세트 : 명중률,피격 시 1% 확률로 15초간 명중률 5% 증가,14947,9,1,0,0,f,0
12,가죽 20레벨 7종 세트 : 회피율,피격 시 1% 확률로 15초간 회피율 5% 증가,14946,9,1,0,0,f,0
13,천 20레벨 7종 세트 : 마법 공격력,피격 시 1% 확률로 15초간 마법 공격력 5% 증가 ,14950,9,1,0,0,f,0
14,천 20레벨 7종 세트 : 지속적인 활력 재생,피격 시 1% 확률로 15초간 지속적인 활력 재생 5 증가,14949,9,1,0,0,f,0
15,천 20레벨 7종 세트 : 시전 시간 감소,피격 시 1% 확률로 15초간 시전 시간 5% 감소,14948,9,1,0,0,f,0
16,판금 20레벨 7종 세트 : 지속적인 생명력 재생,피격 시 1% 확률로 15초간 지속적인 생명력 10 재생,14951,9,1,0,0,f,0
17,판금 20레벨 7종 세트 : 근접 공격력,피격 시 1% 확률로 15초간 근접 공격력 5% 증가,14952,9,1,0,0,f,0
18,판금 20레벨 7종 세트 : 무기막기,피격 시 1% 확률로 15초간 무기막기율 5% 증가,14953,9,1,0,0,f,0
19,뜨거운 맹세,적에게 피해을 입을 때 2% 확률로 자신의 생명력을 7초 동안 2000~2200만큼 지속적으로 회복시킵니다,15245,9,2,0,30,f,0
20,차가운 비탄,근접 공격 시 2% 확률로 7초 동안 근접 치명타율이 20% 증가됩니다.,15246,2,2,0,30,f,0
21,달콤한 슬픔,적에게 피해을 입을 때 2% 확률로 3초 동안 무기를 쥐고 빠른 속도로 돌며 주변의 적들에게 물리 피해를 입힙니다,15247,9,2,0,30,f,0
22,테스트_얼음칼,얼음칼,15271,1,100,0,0,f,0
23,테스트_불칼,불칼테스트,15273,1,100,0,0,f,0
25,proc 테스트,테스트테스트,16638,9,100,0,10,f,0
26,푸른 피 일족의 혈통,test,18286,4,100,0,1,f,0
27,범용단검공격속도증가,,18479,2,1,0,45,f,0
28,범용한손검무기막기1회,,18482,2,3,0,45,f,6
29,범용양손검무기막기1회,,18482,2,8,0,30,f,15
30,범용한손도치명타1회,,18490,2,2,0,45,f,4
31,범용양손도치명타1회,,18490,2,5,0,30,f,10
32,범용한손도끼출혈,,18492,2,1,0,45,f,0
33,범용양손도끼출혈,,18492,2,2,0,30,f,0
34,범용한손둔기기절,,18494,2,1,0,45,f,0
35,범용양손둔기기절,,18494,2,2,0,30,f,0
36,범용한손창방어도무시1회,,18499,2,6,0,15,f,12
37,범용양손창방어도무시1회,,18499,2,15,0,10,f,30
38,범용양손지팡이활력회복,,18501,4,10,0,180,f,0
39,범용한손지팡이생명력회복,,18502,4,10,0,180,f,0
40,범용활독,,18503,6,1,0,45,f,0
41,고요한 바람의 가호,근접 피해를 입으면 5% 확률로 바람의 보호막에 휩싸입니다. 이 효과는 발동 후 3분 동안 발동하지 않습니다.,18598,10,5,0,180,f,0
42,불꽃 가르기,"근접 치명타 피해를 입히면, 불꽃 가르기 기술을 사용할 수 있게 됩니다. 이 효과는 발동 후 3분 동안 발동하지 않습니다.",18732,3,100,0,180,f,0
43,공격(마법)시마법치명타율증가,,18844,4,3,0,60,f,0
44,치명타(원거리)시원거리공증가,,18846,7,10,0,60,f,0
45,피해(물리)시방어력증가,,18850,10,3,0,60,f,0
46,막타시치명타율증가,적을 죽일 때 마다 치명타율이 20초 동안 0.5% 증가되며 최대 10회 중첩됩니다.,18867,1,100,0,0,t,0
47,치명타피해시마저오라,마법 치명타 피해를 입을 경우 60초 동안 반경 10m 이내에 파티원의 마법 저항력을 500 증가시키는 오라가 생성됩니다. 이 효과는 발동 후 3분 동안 발동하지 않습니다.,18868,13,100,0,180,f,0
48,피해시위협수치증가,,18892,9,100,0,0,f,0
49,치명타(원거리)피해시주는피해량증가,,18894,7,10,0,60,f,0
50,순교자의 복수,마법 피해를 15회 입힐 때 마다 대상의 마법 저항력을 0으로 만듭니다. 해당 효과는 마법 피해 1회에만 적용,18895,4,100,0,0,f,0
51,이단심문관의 고문,원거리 피해를 15회 입힐 때 마다 대상의 물리 방어도를 0으로 만듭니다. 해당 효과는 물리 피해 1회에만 적용,18900,6,100,0,0,f,0
52,교단기사의 분노,근접 치명타 피해를 입힐 때 마다 20% 확률로 교단기사의 분노 효과가 발동되어 주변의 모든 대상을 도발합니다. 이 효과는 발동 후 3분 동안 발동하지 않습니다,18901,3,20,0,180,f,0
53,피해시받은회복량증가,피해를 입을 때 마다 5% 확률로 20초 동안 주문과 아이템으로 생명력이 회복되는 양이 20% 늘어납니다. 이 효과는 발동 후 2분 동안 발동하지 않습니다.,19051,9,5,0,120,f,0
54,집행자의 잔혹함,"근접 피해를 입힐 때마다, 5% 확률로 10초 동안 주는 피해량의 3%를 생명력으로 흡수하고 3회 중첩되면 10초간 자신의 치명타 피해를 9% 증가시킵니다.  강화효과가 중첩되도 생명력 흡수량은 증가하지 않습니다.",19059,2,5,0,0,f,0
55,타락한 파괴신1,주변 20m 범위에 있는 적대상을 자신의 주변으로 당기고 1초 마다 250~300의 마법 피해를 줍니다,19061,9,5,0,180,f,0
56,타락한 파괴신2,최대 5명의 적대상들의 뒤로 차례로 이동하여 300~350의 마법 피해를 주고 피해량 만큼 자신의 활력을 회복합니다,19062,4,5,0,180,f,0
57,강인한 수문장1,야차가 사용하는 거대 무기를 이용해 전방에 강한 찌르기를 하여 900의 물리 피해를 줍니다,19065,9,5,0,180,f,0
58,강인한 수문장2,야차가 사용하는 거대 무기를 이용해 크게 휘둘러 500의 물리 피해를 주고 전방을 강하게 내리쳐 800의 물리 피해를 줍니다,19066,2,5,0,180,f,0
59,무모한 돌격대장1 ,적대상을 공중에 띄운 후 손대포로 빠르게 공격하여 165의 원거리 피해를 최대 10회 줍니다,19069,9,5,0,180,f,0
60,무모한 돌격대장2,목표 지역에 손대포를 발사하여 반경 4m 이내의 대상에게 1200의 공성 피해를 줍니다,19070,1,10,0,180,f,0
61,사악한 고대의 의지,마법 치명타 피해를 입힐 때 5% 확률로 15초 동안 위협 수치를 발생시키지 않으며 마법 기술 피해량이 5% 증가합니다. 이 효과는 발동 후 2분 동안 발동하지 않습니다.,19076,5,5,0,120,f,0
62,sonic test,10초 동안 민첩이 300만큼 증가합니다. ,19564,2,100,0,20,f,0
63,바람돌이의 소원,적에게 피해를 입을 때마다 3% 확률로 작은 돌개바람이 소환됩니다. 이 효과는 발동 후 3분 동안 발동하지 않습니다.,19148,9,3,0,180,f,0
64,개구쟁이 불정령,적에게 피해를 입힐 때마다 10% 확률로 불의 정령의 힘을 빌어 적을 타격합니다. 이 효과는 발동 후 3분 동안 발동하지 않습니다.,19149,1,10,0,180,f,0
65,푸른 피의 혈통,"적에게 마법 피해를 입힐 때마다, 푸른 피의 혈통 효과를 부여합니다. 푸른 피의 혈통 효과가 30중첩되면 적 대상에게 푸른 피의 권능 기술을 사용할 수 있게 됩니다.",19150,4,100,0,1,f,0
66,파괴신의 위엄,"적대상에게 근접 치명타 피해를  입힐 때마다, 15초간 자신이 걸어간 자리를 불태웁니다. 이 효과는 발동 후 3분 동안 발동하지 않습니다.",19152,3,100,0,180,f,0
67,QA 테스트용 프록,QA 테스트용 프록,18732,1,100,0,0,f,0
68,QA 테스트용 프록2,,18732,1,100,0,0,f,0
69,범용방패원거리방패막기1회발동,,19829,14,5,0,0,f,10
70,만드라고라 때리기,만드라고라 잡기,20322,1,100,0,0,f,0
71,노아르타 일리르 망토 효과,,20636,9,10,0,180,f,0
72,불꽃의 달그림자,공격 시마다 힘이 4씩 증가하며 최대 5번까지 중첩됩니다. 최대 중첩시 공격력이 3만큼 증가합니다.,20969,1,100,0,2,f,0
73,바람의 달그림자,공격 시마다 민첩이 4씩 증가하며 최대 5번까지 중첩됩니다. 최대 중첩시 공격력이 3만큼 증가합니다.,20990,1,100,0,2,f,0
74,대지의 달그림자,피격 시 일정 확률로 체력이 회복됩니다. ,20993,9,10,0,30,f,0
75,물결의 달그림자,공격 시마다 지능이 4씩 증가하며 최대 5번까지 중첩됩니다. 최대 중첩시 공격력이 3만큼 증가합니다.,20992,1,100,0,2,f,0
76,생명의 달그림자,공격 시 일정 확률로 활력이 회복됩니다. ,20994,1,10,0,30,f,0
77,물러서기 초기화,피격 시 일정 확률로 물러서기 기술의 재사용 대기 시간이 초기화됩니다,21034,9,3,0,10,f,0
78,마법치명타공격시전시간감소,,21517,5,100,0,180,f,0
79,마법공격시벼락추가피해(강),,21518,4,3,0,90,f,0
80,피해시피해량감소,,21522,9,15,0,180,f,0
81,공격시민첩공속증가,,21523,1,5,0,180,f,0
82,폭염 방패,,21527,9,5,0,180,f,0
83,상처,,21546,2,10,0,120,f,0
84,마법공격시벼락추가피해(약),,21549,4,15,0,30,f,0
85,잔혹한 악몽2,|cFFFF9C272초|r 동안 적대상을 속박하여 지속적으로  |cFFFF9C27950|r의 공성 피해를 줍니다,21567,1,10,0,180,f,0
86,피격시일정확률로폭주밀방활방초기화,,22434,9,10,0,180,f,0
87,체력20%이하어둠의그림자,,22435,9,20,0,1,f,0
88,두개골절개,,22437,2,10,0,30,f,0
89,음습한 공허 인도자 비수,,22439,2,15,0,0,f,0
90,영혼 소름 쐐기,,22443,6,33,0,10,f,0
91,공격시일정확률로손놀림생본몸놀림초기화,,22471,1,10,0,180,f,0
93,숙련 모험가의 체력회복,,22707,1,10,0,60,f,0
94,숙련 모험가의 활력회복,,22708,1,10,0,60,f,0
95,숙련 모험가의 매서움,,22710,6,10,0,120,f,0
96,숙련 모험가의 방어막,,22709,9,10,0,30,f,0
97,숙련 모험가의 체력회복 (대),,22714,1,10,0,60,f,0
98,물결깃 머리테,,23095,1,100,0,2,f,0
99,폭풍우 부르는 모자,,23096,1,100,0,2,f,0
100,거친 풍랑 주시자 보안경,,23097,1,100,0,2,f,0
101,파멸한 왕녀의 꿈 반지,,23559,1,100,0,1,f,0
