id,item_id,slave_id,doodad_id,slave_equip_pack_id,slot_pack_id
1,28852,10,,4,1
2,28853,,5736,1,0
3,28854,10,,1,0
4,28855,,2611,1,0
5,29682,,4543,1,10
6,29683,,4533,1,10
7,29686,,4533,1,10
8,29687,,4471,1,10
9,29688,,4383,1,10
10,29689,,4374,1,10
11,29690,,1130,1,3
12,29691,,1131,1,0
13,29692,,1135,1,0
14,29693,,1136,1,0
15,29723,,1188,1,0
16,29724,,1191,1,0
17,29725,,2611,1,0
18,29726,,2374,4,0
19,29727,,3445,4,0
20,29728,,4906,4,0
21,29732,,4901,1,0
22,29736,,4726,4,0
23,29741,,4897,4,0
24,29742,,4896,4,0
25,29771,,5736,1,0
26,29772,,5734,4,0
27,29773,,6563,4,0
