id,item_id,npc_id
1,1249,3466
3,1475,115
4,1541,504
5,4177,3599
7,4941,4944
9,8158,5430
10,8159,5431
11,8160,5432
12,8161,5433
13,8162,5434
14,8163,5435
16,14410,5937
17,14878,7043
18,14879,7044
19,15061,7087
20,15560,7110
21,15561,7111
22,15793,7185
24,17644,8180
25,17995,8245
26,19361,8961
27,19516,9185
28,19517,9186
29,19604,9323
30,20023,10027
31,20024,10028
32,20025,10029
33,20134,10814
35,23632,10800
36,23661,10812
37,23662,10813
38,23695,10822
39,23696,10821
40,24524,11554
41,24588,11559
42,24589,11560
43,24590,11561
44,24591,11562
45,24594,11563
46,24598,11564
47,24791,11568
48,24792,11569
49,24794,11570
50,24995,11943
51,25026,11960
52,25027,11970
53,25028,11971
54,25029,11972
55,25030,11973
56,25031,11975
58,25033,11977
59,25034,11978
61,25036,11981
62,25037,11982
64,25040,11984
65,25043,11986
66,25044,11987
67,25045,11989
68,25046,11991
69,25047,11992
71,25082,12015
72,25083,12016
73,25084,12017
74,25085,12020
77,25089,12026
78,25090,12027
79,25091,12028
80,25092,12029
82,25120,12056
83,25217,12067
84,25218,12068
85,25219,12069
86,25222,12070
87,25969,12241
88,25970,12291
89,26052,12369
90,26427,12453
91,26629,12616
92,26630,12617
93,26631,12618
94,26739,12692
95,26740,12693
96,26741,12694
97,26742,12695
98,26803,12703
99,26804,12704
100,26805,12705
101,26807,12706
102,26808,12707
103,26809,12708
104,26810,12709
105,26811,12711
106,26812,12710
107,26813,12711
108,26814,12710
109,26815,12710
110,26816,12712
111,26817,12713
112,26818,12713
113,26819,12714
114,26820,12716
115,26830,12724
116,26831,12725
117,26833,12726
119,26910,12858
120,26911,12857
121,27149,13001
122,27150,12997
123,27160,13017
124,27264,13022
125,27882,13221
126,27952,13204
127,28087,13294
128,28138,13308
129,28420,13432
130,28434,13444
131,28437,13450
132,28512,13467
133,28555,13496
134,28638,13488
135,28736,13492
136,28752,13519
137,28753,13520
138,28754,13537
139,28755,13540
140,29112,13624
141,29131,13627
142,29132,13628
143,29133,13629
146,29488,13749
147,29491,13750
148,29494,13748
149,29675,13780
150,29676,13781
151,29677,13782
152,29770,13852
153,29789,13933
154,29873,14043
155,30041,14143
156,30042,14144
157,30043,14145
