id,item_id,slave_id
1,150,1
2,151,3
3,152,4
4,155,5
5,156,6
6,157,2
10,715,7
11,1115,9
12,1178,11
14,1197,13
15,1198,14
16,1199,15
17,1200,17
18,5223,21
19,13709,22
21,13711,24
24,13817,31
26,15816,14
27,15817,15
28,15819,35
29,15823,36
31,15976,44
32,15990,45
33,15992,40
34,15993,43
35,15994,39
36,15995,42
37,16039,46
39,16236,15
40,16261,50
41,16262,51
46,17617,46
48,17626,52
49,17771,55
50,17863,15
51,17906,15
52,17944,15
53,18601,59
54,18602,5
55,18660,60
56,18693,61
57,18947,5
58,19435,63
59,19457,1
60,20054,15
61,21588,15
62,23398,75
63,23618,76
64,25348,91
65,25739,92
66,26295,94
67,26411,102
68,26412,103
69,26873,105
70,26874,106
71,26909,46
72,27135,110
73,27145,14
74,27153,112
75,27266,14
76,27521,51
77,27701,113
78,27702,114
79,28071,115
80,28197,112
81,28204,116
82,28773,121
83,29261,122
84,29700,124
85,29869,127
86,29870,128
87,29871,126
88,29900,129
