id,item_id,asset_id,base_enchantable,holdable_id,mod_set_id,eiset_id,or_unit_reqs,repairable,durability_multiplier,base_equipment,drawn_scale,worn_scale,recharge_buff_id,charge_lifetime,charge_count,useAsStat,skin_kind_id,fixed_visual_effect_id
3,5,5001,t,1,,,f,t,100,t,1.0,1.0,,0,0,t,3,
4,7,1278,t,1,,,f,t,100,t,1.0,1.0,,0,0,t,3,
5,8,1313,t,3,,,f,t,100,t,1.0,1.0,,0,0,t,3,
6,9,1313,t,3,,,f,t,100,t,1.0,1.0,,0,0,t,3,
9,14,1276,t,1,,,f,t,100,t,1.0,1.0,,0,0,t,3,
10,15,1276,t,1,,,f,t,100,t,1.0,1.0,,0,0,t,3,
11,16,1311,t,3,,,f,t,100,t,1.0,1.0,,0,0,t,3,
12,25,1276,t,1,,,f,t,100,t,1.0,1.0,,0,0,t,3,
13,30,1276,t,1,,,f,t,100,t,1.0,1.0,,0,0,t,3,
14,32,1311,t,3,,,f,t,100,t,1.0,1.0,,0,0,t,3,
15,33,1264,t,2,,,f,t,100,t,1.0,1.0,,0,0,t,3,
16,35,1330,t,17,,,f,t,100,t,1.0,1.0,,0,0,t,3,
18,137,1264,t,2,,,f,t,100,t,1.0,1.0,,0,0,t,3,
19,138,1264,t,2,,28,f,t,100,t,1.0,1.0,,0,0,t,3,
20,139,1334,t,19,,,f,t,100,t,1.0,1.0,,0,0,t,3,
21,147,1276,t,1,,,f,t,100,t,1.0,1.0,,0,0,t,3,
22,148,1264,t,2,,,f,t,100,t,1.0,1.0,,0,0,t,3,
23,180,1276,t,1,,,f,t,100,t,1.0,1.0,,0,0,t,3,
24,183,1276,t,1,,,f,t,100,t,1.0,1.0,,0,0,t,3,
25,333,1276,t,1,,,f,t,100,t,1.0,1.0,,0,0,t,3,
26,334,1264,t,2,,,f,t,100,t,1.0,1.0,,0,0,t,3,
27,335,1345,t,21,,,f,t,100,t,1.0,1.0,,0,0,t,3,
29,344,1330,t,17,,,f,t,100,t,1.0,1.0,,0,0,t,3,
30,356,1268,t,2,,,f,t,100,t,1.0,1.0,,0,0,t,3,
31,357,1268,t,2,,,f,t,100,t,1.0,1.0,,0,0,t,3,
32,358,1338,t,19,,,f,t,100,t,1.0,1.0,,0,0,t,3,
33,373,1269,t,2,,,f,t,100,t,1.0,1.0,,0,0,t,3,
34,374,1267,t,2,,,f,t,100,t,1.0,1.0,,0,0,t,3,
35,382,3119,t,4,,,f,t,100,t,1.0,1.0,,0,0,t,3,
36,383,1268,t,2,,,f,t,100,t,0.94,0.8,,0,0,t,3,
37,393,1316,t,11,,,f,t,100,t,1.0,1.0,,0,0,t,3,
38,394,3254,t,2,,,f,t,100,t,0.97,0.82,,0,0,t,3,
39,415,3119,t,4,,,f,t,100,t,1.0,1.0,,0,0,t,3,
40,504,1330,t,17,,,f,t,100,t,1.0,1.0,,0,0,t,3,
41,505,3083,t,2,,,f,t,100,t,1.03,0.87,,0,0,t,3,
42,506,3119,t,4,,,f,t,100,t,1.0,1.0,,0,0,t,3,
43,507,3089,t,2,,,f,t,100,t,1.14,0.96,,0,0,t,3,
44,508,3119,t,4,,,f,t,100,t,1.0,1.0,,0,0,t,3,
45,509,3106,t,2,,,f,t,100,t,0.69,0.54,,0,0,t,3,
46,510,1330,t,17,,,f,t,100,t,1.0,1.0,,0,0,t,3,
47,511,1330,t,17,,,f,t,100,t,1.0,1.0,,0,0,t,3,
48,512,3119,t,4,,,f,t,100,t,1.0,1.0,,0,0,t,3,
49,13,1340,t,24,,,f,t,100,t,1.0,1.0,,0,0,t,3,
50,17,1340,t,24,,,f,t,100,t,1.0,1.0,,0,0,t,3,
51,31,1340,t,24,,,f,t,100,t,1.0,1.0,,0,0,t,3,
52,181,1340,t,24,,,f,t,100,t,1.0,1.0,,0,0,t,3,
53,182,1265,t,2,1,,f,t,100,t,0.89,0.7,,0,0,t,3,
54,391,3119,t,4,,,f,t,100,t,1.0,1.0,,0,0,t,3,
55,34,1340,t,24,,,f,t,100,t,1.0,1.0,,0,0,t,3,
56,354,1340,t,24,,,f,t,100,t,1.0,1.0,,0,0,t,3,
57,593,3102,t,2,,,f,t,100,t,1.01,0.8,,0,0,t,3,
58,601,1917,t,13,,,f,t,100,t,1.0,1.0,,0,0,t,3,
59,1102,3119,t,4,,,f,t,100,t,1.0,1.0,,0,0,t,3,
60,1103,1264,t,2,,,f,t,100,t,1.0,1.0,,0,0,t,3,
61,1104,3220,t,1,,,f,t,100,t,0.98,0.7,,0,0,t,3,
62,1112,3233,t,5,,,f,t,100,t,1.0,1.0,,0,0,t,3,
63,1113,1277,t,6,,,f,t,100,t,1.11,0.77,,0,0,t,3,
64,1114,1278,t,1,,,f,t,100,t,1.0,1.0,,0,0,t,3,
65,1134,3214,t,5,,,f,t,100,t,1.12,0.8,,0,0,t,3,
66,1156,1276,t,6,,,f,t,100,t,1.0,1.0,,0,0,t,3,
67,1157,4614,t,1,,,f,t,100,t,0.98,0.7,,0,0,t,3,
68,1168,1330,t,17,,,f,t,100,t,1.0,1.0,,0,0,t,3,
70,1171,1276,t,1,,,f,t,100,t,1.0,1.0,,0,0,t,3,
71,1172,1306,t,8,,,f,t,100,t,1.0,1.0,,0,0,t,3,
72,1173,1320,t,13,,,f,t,100,t,1.0,1.0,,0,0,t,3,
73,1174,1316,t,11,,,f,t,100,t,1.0,1.0,,0,0,t,3,
74,1175,1311,t,3,,,f,t,100,t,1.0,1.0,,0,0,t,3,
75,1176,1330,t,17,,,f,t,100,t,1.0,1.0,,0,0,t,3,
76,1186,3233,t,5,,,f,t,100,t,1.0,1.0,,0,0,t,3,
77,1187,3213,t,6,,,f,t,100,t,1.12,0.8,,0,0,t,3,
78,1214,1278,t,1,,,f,t,100,t,1.0,1.0,,0,0,t,3,
79,1215,1280,t,5,,,f,t,100,t,1.15,0.78,,0,0,t,3,
80,1223,1276,t,6,,,f,t,100,t,1.0,1.0,,0,0,t,3,
81,1224,3227,t,1,,,f,t,100,t,1.07,0.74,,0,0,t,3,
82,1225,3233,t,5,,,f,t,100,t,1.0,1.0,,0,0,t,3,
83,1242,1276,t,6,,,f,t,100,t,1.0,1.0,,0,0,t,3,
84,1243,1312,t,3,,,f,t,100,t,1.38,1.09,,0,0,t,3,
85,1244,1314,t,3,,,f,t,100,t,1.21,0.95,,0,0,t,3,
86,1245,3290,t,3,,,f,t,100,t,1.23,0.97,,0,0,t,3,
87,1246,3297,t,3,,,f,t,100,t,1.42,1.11,,0,0,t,3,
88,1247,3303,t,3,,,f,t,100,t,1.41,1.09,,0,0,t,3,
