id,npc_id,radius,give_exp,vanish
14,3812,25.0,f,t
42,656,25.0,f,t
43,824,25.0,f,t
44,832,25.0,f,t
57,2104,25.0,f,t
66,2075,25.0,f,t
70,2443,25.0,f,t
72,2394,25.0,f,t
75,2445,25.0,f,t
78,4970,25.0,f,t
84,2016,0.0,f,t
85,2032,0.0,f,t
86,2033,0.0,f,t
88,2036,0.0,f,t
90,2103,25.0,f,t
91,2038,25.0,f,t
92,2038,0.0,f,t
93,2036,0.0,f,t
94,2037,0.0,f,t
98,2024,0.0,f,t
99,2025,0.0,f,t
100,2026,0.0,f,t
119,4959,0.0,f,t
120,3054,25.0,f,t
132,5277,0.0,f,t
137,5380,0.0,f,t
140,3483,0.0,f,t
146,4976,0.0,f,t
147,4951,0.0,f,t
148,4954,0.0,f,t
150,4978,0.0,f,t
151,4985,0.0,f,t
152,3071,25.0,f,t
153,2332,0.0,f,t
155,2444,0.0,f,t
156,4968,0.0,f,t
157,4974,25.0,f,t
160,3498,0.0,f,t
161,4609,0.0,f,t
163,4975,25.0,f,t
164,3957,0.0,f,t
165,3519,0.0,f,t
169,607,0.0,f,t
170,3980,0.0,f,t
174,5568,0.0,f,t
175,5160,0.0,f,t
176,5161,0.0,f,t
179,506,0.0,f,t
183,4598,0.0,f,t
184,4944,25.0,f,t
185,3495,0.0,f,t
186,4634,0.0,f,t
188,3352,25.0,f,t
190,3375,0.0,f,t
200,3364,0.0,f,t
204,4174,25.0,f,t
209,4227,0.0,f,t
211,6069,25.0,f,t
215,4174,25.0,f,t
217,3353,25.0,f,t
220,3364,5.0,f,t
221,3450,5.0,f,t
222,3266,0.0,f,t
223,3285,0.0,f,t
224,3266,0.0,f,t
227,3352,5.0,f,t
233,4186,0.0,f,t
235,3307,0.0,f,t
236,3308,0.0,f,t
237,3284,0.0,f,t
238,3309,0.0,f,t
240,5927,25.0,f,t
251,6535,25.0,f,t
253,3678,25.0,f,t
254,6059,0.0,f,t
255,4221,25.0,f,t
256,6512,25.0,f,t
257,5927,25.0,f,t
259,6058,0.0,f,t
260,6551,0.0,f,t
262,5846,0.0,f,t
264,6574,1.0,f,t
266,3449,0.0,f,t
268,3377,0.0,f,t
271,3510,0.0,f,t
272,2974,0.0,f,t
274,5852,25.0,f,t
277,6480,0.0,f,t
279,2960,0.0,f,t
282,5842,0.0,f,t
283,2960,0.0,f,t
287,2957,0.0,f,t
288,5167,25.0,f,t
291,2037,0.0,f,t
292,2014,0.0,f,t
295,832,25.0,f,t
296,2640,0.0,f,t
301,5853,0.0,f,t
302,721,25.0,f,t
303,5855,25.0,f,t
309,2997,0.0,f,t
310,5152,0.0,f,t
316,1897,0.0,f,t
320,6571,25.0,f,t
321,2028,0.0,f,t
322,1880,0.0,f,t
326,5213,0.0,f,t
327,5235,0.0,f,t
328,5234,0.0,f,t
330,3352,25.0,f,t
333,3055,0.0,f,t
334,3628,25.0,f,t
335,2076,15.0,f,t
336,2123,15.0,f,t
339,2648,0.0,f,t
340,3071,0.0,f,t
341,3065,0.0,f,t
342,3077,25.0,f,t
343,3072,0.0,f,t
344,3075,0.0,f,t
345,3074,0.0,f,t
346,3073,0.0,f,t
347,7136,1.0,f,t
348,6058,0.0,f,t
351,6608,0.0,f,t
352,3071,0.0,f,t
353,3096,0.0,f,t
355,2952,0.0,f,t
356,5230,0.0,f,t
357,2950,0.0,f,t
360,6443,25.0,f,t
361,6444,25.0,f,t
364,3318,0.0,f,t
365,3130,0.0,f,t
366,3295,0.0,f,t
367,3319,50.0,f,t
370,3312,0.0,f,t
376,3114,2.0,f,t
379,7150,25.0,f,t
396,5012,5.0,f,t
402,3321,25.0,f,t
403,3322,25.0,f,t
404,3323,25.0,f,t
405,4961,0.0,f,t
406,2424,0.0,f,t
407,2335,0.0,f,t
409,7152,25.0,f,t
411,3495,0.0,f,t
413,5028,25.0,f,t
414,5071,25.0,f,t
415,5055,25.0,f,t
418,7501,0.0,f,t
419,7501,0.0,f,t
420,545,0.0,f,t
422,5089,5.0,f,t
424,6444,0.0,f,t
425,6446,0.0,f,t
427,3306,0.0,f,t
428,3308,0.0,f,t
429,4732,1.0,f,t
431,3495,0.0,f,t
432,4843,0.0,f,t
433,7593,0.0,f,t
437,7711,5.0,t,t
438,3366,0.0,f,t
442,6441,1.0,f,t
444,6042,0.0,f,t
445,7738,25.0,f,t
449,7807,0.0,f,t
450,7031,5.0,f,t
454,6053,0.0,f,t
455,3364,0.0,f,t
457,2228,25.0,f,t
463,5664,5.0,f,t
471,519,25.0,f,t
472,8184,0.0,f,t
477,5717,5.0,f,t
481,7635,0.0,f,t
485,2013,1.0,f,t
486,2013,1.0,f,t
487,2013,0.0,f,t
488,2014,0.0,f,t
491,2069,0.0,f,t
494,7746,25.0,f,t
495,3162,0.0,f,t
499,7971,25.0,f,t
500,5258,0.0,f,t
501,7746,25.0,f,t
503,2173,0.0,f,t
504,2234,2.0,f,t
506,8110,0.0,f,t
507,8148,25.0,f,t
510,5019,5.0,f,t
516,4998,5.0,f,t
518,8231,0.0,f,t
519,8219,0.0,f,t
520,8220,0.0,f,t
521,8220,0.0,f,t
522,6581,0.0,f,t
523,6582,0.0,f,t
524,6584,0.0,f,t
525,6585,0.0,f,t
526,1622,0.0,f,t
527,1623,0.0,f,t
537,8241,0.0,f,t
540,3156,0.0,f,t
541,8113,25.0,f,t
542,8246,25.0,f,t
543,8246,25.0,f,t
544,2960,0.0,f,t
551,1628,25.0,f,t
552,1629,25.0,f,t
554,2172,0.0,f,t
556,8694,0.0,f,t
562,8043,0.0,f,t
565,1415,1.0,f,t
566,8023,1.0,f,t
571,8809,0.0,f,t
572,8810,0.0,f,t
573,8814,0.0,f,t
575,8777,0.0,f,t
577,8025,0.0,f,t
579,8777,0.0,f,t
581,8782,15.0,f,t
583,8951,0.0,f,t
585,8951,0.0,f,t
586,2864,1.0,f,t
587,8964,0.0,f,t
588,8965,0.0,f,t
589,8966,0.0,f,t
590,8967,0.0,f,t
591,8968,0.0,f,t
592,8969,0.0,f,t
596,8891,25.0,f,t
597,9327,25.0,f,t
598,9325,25.0,f,t
600,988,0.0,f,t
601,8943,0.0,f,t
602,9365,0.0,f,t
606,1335,0.0,f,t
612,9808,0.0,f,t
614,9808,0.0,f,t
617,9380,0.0,f,t
620,9303,0.0,f,t
622,9278,0.0,f,t
625,9812,0.0,f,t
626,9282,0.0,f,t
630,9451,1.0,f,f
631,9416,1.0,f,f
633,9419,0.0,f,t
634,9061,2.0,f,t
640,1267,0.0,f,t
642,9307,0.0,f,t
644,1292,0.0,f,t
645,9924,0.0,f,t
647,986,0.0,f,t
649,1336,0.0,f,t
657,9466,0.0,f,t
658,9467,0.0,f,t
662,10067,0.0,f,t
663,10068,0.0,f,t
665,10069,0.0,f,t
666,10065,0.0,f,t
670,10073,25.0,f,t
672,10067,0.0,f,t
673,10068,0.0,f,t
674,10081,25.0,f,t
677,9364,10.0,f,t
679,10076,0.0,f,t
680,10164,0.0,f,t
681,10152,25.0,f,t
682,10116,1.0,f,t
683,10117,1.0,f,t
684,5005,0.0,f,t
685,10070,0.0,f,t
687,10076,0.0,f,t
688,10164,0.0,f,t
689,10076,0.0,f,t
690,10164,0.0,f,t
691,10810,0.0,f,t
695,10165,0.0,f,t
696,10164,0.0,f,t
697,10166,0.0,f,t
698,10167,0.0,f,t
701,10116,1.0,f,t
702,10117,1.0,f,t
704,10076,0.0,f,t
705,10168,1.0,f,t
706,10169,1.0,f,t
707,10170,1.0,f,t
708,10171,1.0,f,t
709,10168,1.0,f,t
710,10169,1.0,f,t
711,10170,1.0,f,t
712,10171,1.0,f,t
713,7823,0.0,f,t
