id,total_exp,total_mate_exp,skill_points
1,0,0,1
2,400,50,1
3,1400,250,2
4,3200,700,2
5,6000,1500,4
6,10000,2750,4
7,15400,4550,4
8,22400,7000,5
9,31200,10200,5
10,42000,14250,7
11,55000,19250,7
12,70400,25300,7
13,88400,32500,8
14,109200,40950,8
15,133000,50750,9
16,160000,62000,9
17,190400,74800,9
18,224400,89250,10
19,262200,105450,10
20,304000,123500,11
21,350000,143500,11
22,400400,165550,11
23,455400,189750,12
24,515200,216200,12
25,580000,245000,13
26,650000,276250,13
27,725400,310050,13
28,806400,346500,14
29,893200,385700,14
30,986000,427750,15
31,1085000,472750,15
32,1190400,520800,15
33,1302400,572000,16
34,1421200,626450,16
35,1547000,684250,17
36,1680000,745500,17
37,1820400,810300,17
38,1968400,878750,18
39,2124200,950950,18
40,2288000,1027000,19
41,2460000,1107000,19
42,2640400,1191050,19
43,2829400,1279250,20
44,3027200,1371700,20
45,3234000,1468500,21
46,3450000,1569750,21
47,3675400,1675550,21
48,3910400,1786000,22
49,4155200,1901200,22
50,4410000,2021250,23
51,4675000,2146250,23
52,4950400,2276300,23
53,5236400,2411500,23
54,5533200,2551950,23
55,5841000,2697750,23
56,6160000,2849000,23
57,6490400,3005800,23
58,6832400,3168250,23
59,7186200,3336450,23
60,7552000,3510500,23
61,7930000,3690500,23
62,8320400,3876550,23
63,8723400,4068750,23
64,9139200,4267200,23
65,9568000,4472000,23
66,10010000,4683250,23
67,10465400,4901050,23
68,10934400,5125500,23
69,11417200,5356700,23
70,11914000,5594750,23
71,12425000,5839750,23
72,12950400,6091800,23
73,13490400,6351000,23
74,14045200,6617450,23
75,14615000,6891250,23
76,15200000,7172500,23
77,15800400,7461300,23
78,16416400,7757750,23
79,17048200,8061950,23
80,17696000,8374000,23
81,18360000,8694000,23
82,19040400,9022050,23
83,19737400,9358250,23
84,20451200,9702700,23
85,21182000,10055500,23
86,21930000,10416750,23
87,22695400,10786550,23
88,23478400,11165000,23
89,24279200,11552200,23
90,25098000,11948250,23
91,25935000,12353250,23
92,26790400,12767300,23
93,27664400,13190500,23
94,28557200,13622950,23
95,29469000,14064750,23
96,30400000,14516000,23
97,31350400,14976800,23
98,32320400,15447250,23
99,33310200,15927450,23
100,34320000,16417500,23
101,35350000,16917500,23
