id,start_value,end_value
1,-250,-600
3,-50,-90
5,-60,-30
6,-250,-600
7,-60,-80
11,-30,-60
12,-30,-90
14,-250,-500
15,0,-50
18,200,2000
22,10,2000
23,50,150
24,-90,-10
25,-500,-100
26,-500,-100
27,2000,100
28,200,400
32,0,-20
33,0,-100
34,0,-20
35,0,30
36,0,30
37,9,4
39,20,10
40,30,15
41,45,22
42,9,5
43,20,10
44,30,15
45,45,22
46,9,5
47,20,10
49,45,22
50,9,5
51,30,15
52,45,22
53,130,65
54,330,165
55,830,415
58,85,30
59,70,25
60,-150,-50
61,990,330
62,696,232
63,550,275
65,30,15
68,30,15
70,-30,-150
71,-30,-150
72,-3,-15
97,65,120
99,16,24
100,12,18
101,20,30
102,24,36
103,28,42
108,120,190
109,120,190
110,120,190
111,90,140
112,90,140
113,90,140
114,160,240
115,160,240
116,160,240
119,10,100
121,960,1440
122,960,1440
123,-10,-50
124,-100,-300
129,100,500
130,100,500
131,100,500
139,10,1500
140,-400,-150
141,-60,-30
142,-200,-50
143,-200,-50
144,-200,-50
145,9,4
146,20,10
147,30,15
148,45,22
149,9,5
150,20,10
151,30,15
152,45,22
153,9,5
154,20,10
155,45,22
156,9,5
157,20,10
158,20,10
159,30,15
160,45,22
162,0,-100
163,210,105
164,410,205
165,610,305
166,920,460
181,10,3000
182,-80,0
184,-20,0
185,-80,0
187,-50,-150
188,-50,-150
193,20,10
194,20,10
197,-90,-40
200,200,400
202,-50,-100
205,-50,-100
208,-250,-600
209,-250,-600
210,-250,-600
211,-250,-600
212,-50,-90
213,-250,-600
219,0,-100
221,-60,0
225,-300,-600
226,-300,-600
227,300,600
228,-20,-80
229,-300,-800
230,-300,-800
231,-50,-70
232,-99,-40
233,-250,-600
234,-250,-600
235,-50,-90
236,-250,-600
237,-600,0
238,-600,0
239,-600,0
240,-60,0
242,70,30
245,1600,2400
246,1600,2400
248,100,500
249,100,500
250,100,500
251,100,300
252,100,300
253,100,300
262,-20,-90
263,-200,-500
264,-200,-500
265,-200,-500
266,-200,-500
267,10,40
268,100,400
269,100,400
270,100,400
271,100,400
273,0,20
274,0,-30
275,-100,-300
276,-100,-300
277,-100,-300
278,-10,-50
279,-100,-500
280,-100,-500
281,-100,-500
282,-100,-500
283,-50,0
284,100,2000
285,100,2000
286,100,1000
287,100,1000
288,100,1000
289,100,1000
290,-600,0
291,-600,0
292,-600,0
293,-60,0
294,-50,0
295,-10,-60
296,-100,-600
297,-100,-600
298,-100,-600
299,-100,-600
300,-100,-600
301,-100,-700
302,-100,-700
303,-100,-700
304,-100,-700
305,-100,-700
306,-10,-70
307,-300,-800
308,-300,-800
309,-250,-600
310,-250,-600
311,-50,-90
312,-250,-600
314,-50,-90
315,-250,-600
316,-250,-600
317,-250,-600
318,-250,-600
319,-250,-600
320,-50,-150
321,-50,-150
322,-100,-300
323,-100,-300
324,-100,-300
325,-100,-300
326,-70,0
327,-10,-30
328,-60,0
329,-600,0
330,-600,0
331,-600,0
332,-250,-600
333,-250,-600
334,-50,-90
335,-250,-600
336,-600,0
337,-600,0
338,-600,0
339,-60,0
344,-50,0
345,100,200
346,-60,0
347,80,30
348,0,600
349,10,5000
352,-10,-80
353,-50,-90
354,-500,-900
355,-500,-900
356,-500,-900
357,-500,-900
358,-500,-900
359,60,28
360,60,28
361,60,28
362,60,28
363,60,28
364,60,28
365,60,28
366,60,28
367,-500,-100
368,-500,-100
