id,base_min,base_max,damage_ratio,level_md,level_va_start,level_va_end
1,0,0,0,2.5,1,15
3,0,0,0,2.0,0,0
5,90,90,0,0.0,0,0
6,0,0,0,2.5,8,8
9,0,0,0,2.0,10,10
10,0,0,10000,2.5,1,15
11,0,0,0,3.0,10,10
12,0,0,0,4.0,10,10
14,0,0,0,7.0,10,10
16,2000,2500,0,1.0,0,0
17,600,800,0,1.0,0,0
19,100,300,0,1.0,0,0
21,700,1000,0,1.0,0,0
22,0,0,0,1.5,1,15
23,1000,1500,0,1.0,0,0
25,100,200,0,1.0,0,0
26,0,0,500,1.0,0,0
27,100,200,0,1.0,0,0
32,800,1200,0,0.0,0,0
34,0,0,500,1.0,0,0
35,0,0,500,1.0,0,0
37,8000,10000,0,0.0,0,0
38,300,400,0,0.0,0,0
39,300,400,0,0.0,0,0
40,1000,1200,0,0.0,0,0
41,0,0,0,2.5,8,8
45,10000,12000,0,0.0,0,0
