id,npc_id,merchant_pack_id
1,1,1
2,216,2
3,217,3
4,347,4
5,371,5
6,415,6
7,422,7
8,443,8
9,626,9
10,628,10
11,657,11
12,660,12
13,759,13
14,854,14
15,856,15
16,881,16
17,911,17
18,912,18
19,925,19
20,926,20
21,927,21
22,928,22
23,929,23
24,930,24
25,931,25
26,932,26
27,933,27
28,934,28
29,935,29
30,936,30
31,937,31
32,938,32
33,939,33
34,940,34
35,941,35
36,942,36
37,944,37
38,945,38
39,959,39
40,2079,40
41,2096,41
42,3127,42
43,3548,43
44,3580,44
45,3584,45
46,3687,46
47,3794,47
48,3838,48
49,3839,49
50,3845,50
51,3846,51
52,3847,52
53,3848,53
54,3849,54
55,3850,55
56,3851,56
57,3852,57
58,3853,58
59,3854,59
60,3855,60
61,3856,61
62,3857,62
63,3858,63
64,3859,64
65,3860,65
66,3861,66
67,3862,67
68,3863,68
69,3864,69
70,3865,70
71,3866,71
72,3867,72
73,3868,73
74,3869,74
75,3870,75
76,3871,76
77,3872,77
78,3873,78
79,3874,79
80,3875,80
81,3876,81
82,3921,82
83,3922,83
84,3923,84
85,3924,85
86,3925,86
87,3926,87
88,3927,88
89,3928,89
90,3929,90
91,3930,91
92,3931,92
93,3932,93
94,3933,94
95,3934,95
96,3935,96
97,3936,97
98,3937,98
99,3938,99
100,3939,100
101,3940,101
102,3941,102
103,3942,103
104,3943,104
105,3944,105
106,3945,106
107,3946,107
108,3947,108
109,3948,109
110,3952,110
111,3953,111
112,3956,112
113,3966,113
114,3967,114
115,3991,115
116,3992,116
117,3998,117
120,2079,149
129,2163,140
139,5094,133
140,5104,133
141,5095,137
143,5097,140
145,5102,141
146,5099,145
147,2164,145
148,5100,149
150,5103,149
155,5332,119
156,5337,119
157,5342,119
158,5361,119
160,5347,140
161,5352,140
163,5360,140
173,5348,141
174,5353,141
175,5366,141
177,5341,135
178,5359,135
180,5336,131
181,5358,131
186,5335,149
187,5340,149
188,5345,149
191,5357,149
192,5368,149
193,5372,149
194,5334,145
196,5344,145
199,5356,145
200,5371,145
208,2593,133
209,2594,133
210,2596,137
211,2595,137
215,2600,140
217,2601,140
218,2602,141
219,2603,141
220,2604,145
221,2605,145
222,5374,153
223,2606,149
224,2607,149
225,2608,149
226,2610,149
227,2609,149
228,1176,119
229,1177,119
234,1182,131
235,1183,131
236,1184,135
238,1185,135
239,5108,153
242,1188,140
243,1189,140
244,1190,141
245,1191,145
252,3036,145
253,3037,133
254,3038,149
256,3042,141
257,3044,145
258,3046,149
259,3048,137
262,5384,133
263,1192,149
264,1193,149
265,5385,137
266,1194,149
268,5387,140
269,5388,141
270,5389,145
271,1195,149
272,5390,149
274,5394,153
275,1199,141
276,1197,141
278,694,132
279,741,136
281,857,141
282,858,145
283,859,149
284,761,149
285,866,136
287,864,132
295,1670,133
298,1653,141
299,1655,140
300,1652,145
301,5339,135
302,3583,131
304,5376,140
306,5377,141
307,5378,145
308,5379,149
310,5404,140
311,5405,141
312,5406,145
313,5407,149
321,5414,133
322,5415,134
323,5416,137
324,5417,138
326,5419,140
327,5420,141
333,5426,149
335,5428,149
336,5365,145
340,1811,133
341,1798,137
344,1801,141
345,1803,145
346,1810,149
347,1802,153
348,2616,149
349,881,154
352,2618,154
353,3548,154
354,3580,154
355,3584,154
356,759,154
357,890,154
359,891,154
360,892,154
361,1198,154
362,628,154
363,626,154
364,625,155
366,5427,149
367,5423,145
368,5424,145
369,5425,145
370,1802,158
372,2623,156
374,3021,156
375,3645,156
377,625,156
378,2624,156
381,3033,154
382,5367,134
383,5373,134
384,682,154
385,685,140
387,5610,137
388,5612,137
389,5611,133
390,5613,133
391,5601,159
392,5591,160
393,5592,161
394,5629,162
395,5630,163
399,4641,119
408,4749,141
409,4648,141
410,4743,119
411,4664,119
412,4736,119
416,4645,135
417,4667,135
418,4742,131
423,4644,149
424,4649,145
425,4591,131
426,4793,131
427,4630,154
429,1184,166
431,5115,141
432,5116,145
433,5135,167
435,5141,169
438,1887,149
439,1890,154
440,5759,140
441,5763,140
448,5760,141
449,5764,141
450,4235,154
451,4245,154
452,4250,154
453,4257,154
454,6019,119
455,6025,119
456,6031,119
457,6037,119
458,6012,135
459,6018,135
461,6030,135
462,6036,135
463,6016,131
464,6022,131
465,6028,131
466,6034,131
467,6040,131
473,4230,149
474,4233,149
475,4244,149
476,4249,149
477,4255,149
478,5766,149
479,5761,145
480,5765,145
481,6021,145
482,6033,145
483,6039,145
484,5881,170
485,5882,170
486,515,149
492,1921,145
499,2275,132
500,2292,132
501,2290,136
502,2282,136
504,2280,140
505,2279,141
506,6496,145
507,2285,149
508,2291,149
509,2281,154
510,3385,149
511,3416,149
512,3381,154
513,3405,154
514,3386,132
515,3411,132
522,3390,136
523,5728,136
525,5730,140
526,6515,154
527,6513,154
528,6514,154
530,3509,154
532,4990,154
533,4991,154
534,4289,154
546,6590,135
547,684,132
548,683,141
550,7073,136
551,7074,136
552,7075,154
553,7076,132
554,7077,145
555,7078,140
556,7080,149
558,1899,136
559,7082,132
560,7089,136
561,7090,154
562,7091,145
565,2191,154
566,1889,132
570,6572,136
572,484,154
575,5842,172
576,7088,173
577,630,154
579,1888,119
582,2277,119
583,2293,119
584,3387,119
585,3414,119
587,1671,120
588,1795,120
589,2587,120
590,2588,120
591,3039,120
592,3047,120
594,5091,120
595,5381,120
596,5408,120
597,5369,120
598,5409,120
640,2281,175
641,7121,136
642,7120,132
644,2185,154
647,7128,154
648,3389,149
650,5107,149
651,5110,137
652,4572,131
653,4734,154
654,4663,149
655,4752,145
656,4647,140
657,4650,145
658,7183,177
659,7183,178
660,4652,140
661,4662,179
662,4662,149
663,4741,154
664,3263,149
665,4735,145
666,4748,145
667,4750,154
668,4623,135
669,4739,135
670,4746,149
671,1500,145
672,1523,145
673,1533,145
676,1502,134
677,1503,134
678,1525,134
679,1534,134
680,1541,134
681,1545,134
682,1504,138
683,1526,138
684,1535,138
685,1543,138
686,1546,138
687,1505,154
688,1527,154
689,1530,154
690,1507,141
695,1510,140
698,1517,153
704,1521,130
709,4895,132
710,4896,149
711,4897,120
714,4900,136
716,4862,140
717,4863,141
718,4864,145
719,4865,154
720,4880,132
722,4881,149
723,4882,120
724,7358,154
725,7367,132
726,7369,149
727,7370,120
730,7376,149
731,7395,181
732,7395,180
733,3265,141
734,3267,149
735,3271,149
737,7147,133
740,7425,137
741,7146,149
742,7145,133
744,3268,149
745,3269,149
750,2737,154
751,2747,154
752,2746,134
753,2753,134
754,2742,138
755,2751,138
756,2738,149
757,2750,149
762,7494,129
764,7161,182
765,7157,183
766,7158,184
767,7163,185
768,7159,186
769,7160,149
770,7164,145
771,7156,154
772,7169,186
773,7168,185
774,7166,184
775,7175,183
776,7165,182
777,7172,140
778,7173,141
779,7174,145
780,7167,149
781,7176,153
782,7177,154
783,7179,159
784,7366,132
785,3320,154
787,7720,149
788,7721,135
789,7722,119
792,7725,135
793,7726,119
795,1173,149
796,7740,119
799,7742,131
800,7743,135
808,2240,154
810,2446,154
811,2470,154
812,5694,154
813,2242,119
814,2451,119
815,2463,119
816,2460,141
817,2461,141
818,5711,141
819,2238,135
821,2448,135
822,2459,135
823,2237,131
825,2449,131
826,2455,131
831,2241,149
832,2246,149
833,2447,149
834,2456,149
837,5716,149
838,2466,145
840,7946,131
841,2475,149
845,8101,149
846,8102,145
847,5114,154
848,2479,149
849,2179,149
852,8168,191
854,8169,141
856,7689,149
864,5452,129
865,5454,133
867,5455,137
870,5457,140
871,5459,141
872,5460,145
873,5453,149
874,5461,154
876,7126,154
877,7127,154
878,8206,120
883,1674,137
884,1675,154
886,1716,149
892,8232,149
893,8233,120
894,2250,133
895,2251,133
900,2453,140
901,8249,149
902,7021,149
903,8273,140
904,8274,140
906,8275,140
907,8276,140
911,8279,145
913,8281,145
914,8282,140
915,7092,149
916,1698,154
917,8531,190
919,8536,190
920,8532,171
921,8537,171
922,8533,141
923,8538,141
924,8535,140
925,632,145
927,4306,141
928,4305,171
929,6609,194
930,6609,140
931,6610,190
932,6612,171
933,8285,190
934,8286,190
935,8287,190
936,8288,141
937,8289,141
938,8290,141
939,8291,171
940,8292,171
941,8502,171
942,6614,140
943,6615,190
944,6616,171
945,8506,190
946,8507,190
947,8510,171
948,6618,153
949,8165,171
950,8167,171
951,8516,171
952,8517,190
953,6619,140
954,6620,190
955,6621,171
956,8542,190
957,8541,140
958,8543,171
959,8519,190
960,8518,171
961,4308,140
962,4313,140
963,4309,190
964,4314,190
965,4319,190
968,4310,141
969,4315,141
970,4320,141
971,4311,171
972,4316,171
973,4321,171
974,4318,149
975,4317,145
976,4322,145
977,4323,145
978,8215,153
979,8512,141
980,8513,141
981,8514,190
982,8515,190
983,1015,140
984,1016,140
985,1017,145
986,1018,145
990,878,149
991,1794,149
992,5462,149
993,7791,149
995,8520,145
997,3876,190
998,8558,137
999,8559,137
1000,5529,196
1002,1196,197
1003,7054,192
1004,8555,192
1005,8521,141
1006,8522,171
1007,8523,141
1008,8524,145
1009,7564,171
1010,1051,154
1011,7565,133
1012,7072,198
1013,7072,154
1016,8624,171
1017,8625,171
1018,5098,171
1019,5118,154
1020,4336,199
1021,4336,190
1022,8508,171
1023,8284,140
1024,8283,145
1025,1061,171
1026,1062,190
1028,4340,140
1029,4341,171
1030,4342,141
1031,4344,140
1032,4346,171
1033,4347,145
1034,4348,171
1035,4349,190
1036,5421,171
1037,5422,190
1039,8628,140
1040,8629,190
1041,8638,190
1042,8674,190
1043,8683,190
1044,8689,190
1050,8650,154
1051,8669,154
1052,8632,141
1053,8637,141
1054,8686,141
1055,8651,120
1056,8670,120
1057,8687,120
1058,8633,171
1059,8656,171
1060,8675,171
1061,8688,171
1062,8690,171
1063,8634,136
1064,8652,136
1065,8667,136
1066,8635,133
1067,8672,133
1070,8648,149
1071,8654,149
1072,8649,145
1073,8676,145
1075,8682,145
1076,2429,153
1077,8594,192
1078,8595,192
1081,8599,154
1082,8600,154
1083,8601,133
1084,8602,133
1085,8677,140
1086,8678,190
1087,1800,190
1088,1049,141
1089,1064,171
1090,1065,190
1092,498,154
1093,8711,145
1094,8698,140
1095,8699,190
1098,8702,154
1100,8703,141
1103,8706,153
1104,8707,171
1107,8710,149
1108,4345,190
1109,8679,149
1110,8657,149
1111,8640,149
1112,2826,154
1113,2828,149
1118,8709,183
1119,8758,134
1120,8277,140
1121,8278,140
1122,1508,190
1123,1511,171
1124,1515,145
1125,1532,130
1126,8641,145
1127,8642,138
1128,1529,134
1129,1536,154
1131,8045,140
1132,8046,141
1133,8047,171
1134,8048,190
1137,2836,138
1139,2838,134
1140,2839,145
1141,1524,149
1142,1544,154
1143,2840,140
1144,2841,190
1148,2845,141
1149,2846,171
1150,2847,145
1151,1547,149
1154,8645,140
1155,8646,140
1156,8647,190
1158,5395,190
1159,5396,141
1160,5398,141
1163,5399,171
1164,5400,171
1165,1000,140
1166,1077,140
1167,1084,140
1168,1092,140
1169,1109,140
1170,1001,190
1171,1078,190
1172,1086,190
1173,1093,190
1174,1110,190
1180,1112,141
1181,1104,141
1182,1088,141
1183,1080,141
1184,1073,141
1185,1074,171
1186,1081,171
1187,1089,171
1188,1105,171
1189,1113,171
1190,1114,145
1191,1107,145
1192,1090,145
1193,1082,145
1194,1075,145
1195,4351,140
1196,4352,141
1197,4353,171
1198,4355,190
1199,4363,154
1200,4368,190
1201,4370,140
1202,4371,171
1203,4372,141
1204,8527,190
1205,8528,190
1207,8659,171
1208,8661,140
1209,8662,190
1210,8663,141
1211,2876,140
1212,2881,140
1214,2886,140
1218,2878,141
1219,2883,141
1220,2888,141
1221,2879,171
1222,2884,171
1223,2889,171
1224,2880,145
1225,2885,145
1226,2890,145
1227,2891,190
1228,1129,190
1229,1130,190
1230,1134,145
1232,2142,190
1234,2156,141
1235,2187,171
1236,2198,145
1237,3671,140
1238,1501,149
1239,8050,149
1240,8708,138
1247,9068,145
1248,9085,145
1249,9091,145
1250,9069,149
1251,9086,149
1252,9095,149
1253,9070,185
1256,9065,182
1258,9066,184
1260,9067,183
1262,9071,186
