id,actor,prefab
1,bone_spine_driver,$driver
2,bone_spine_passenger,$passenger0
3,bone_spine_passenger1,$passenger1
4,bone_spine_passenger2,$passenger2
5,bone_spine_passenger3,$passenger3
6,bone_spine_passenger4,$passenger4
7,bone_spine_passenger5,$passenger5
8,bone_spine_passenger6,$passenger6
9,$cannon0,$cannon0
10,$cannon1,$cannon1
11,$cannon2,$cannon2
12,$cannon3,$cannon3
13,$cannon4,$cannon4
14,$cannon5,$cannon5
15,$cannon6,$cannon6
16,$cannon7,$cannon7
17,$cannon8,$cannon8
18,$hook,$hook
19,$mast0,$mast0
20,$mast1,$mast1
21,$sail0,$sail0
22,$sail1,$sail1
23,$anchor,$anchor
24,$ladder_left,$ladder_left
25,$ladder_right,$ladder_right
26,$plank_left,$plank_left
27,$plank_right,$plank_right
28,$lamp_front,$lamp_front
29,$lamp_rear,$lamp_rear
30,$trailed0,$trailed0
31,$trailed1,$trailed1
32,$trailed2,$trailed2
33,$trailed3,$trailed3
34,$trailed4,$trailed4
35,$helms,$helms
36,$heal_point0,$heal_point0
37,$heal_point1,$heal_point1
38,$heal_point2,$heal_point2
39,$heal_point3,$heal_point3
40,$heal_point4,$heal_point4
41,$heal_point5,$heal_point5
42,$heal_point6,$heal_point6
43,$heal_point7,$heal_point7
44,$heal_point8,$heal_point8
45,$heal_point9,$heal_point9
46,$cannon9,$cannon9
47,$cannon10,$cannon10
48,$cannon11,$cannon11
49,$cannon12,$cannon12
50,$cannon13,$cannon13
51,$cannon14,$cannon14
52,$cannon15,$cannon15
53,$cannon16,$cannon16
54,$cannon17,$cannon17
55,$cannon18,$cannon18
56,$cannon19,$cannon19
57,$name_plate01,$name_plate01
58,$ladder_rear_left,$ladder_rear_left
59,$ladder_rear_right,$ladder_rear_right
60,$box0,$box0
61,$box1,$box1
62,$box2,$box2
63,$box3,$box3
64,$box4,$box4
65,$box5,$box5
66,$box6,$box6
67,$box7,$box7
68,$box8,$box8
69,$box9,$box9
70,$box10,$box10
71,$box11,$box11
72,$box12,$box12
73,$box13,$box13
74,$box14,$box14
75,$box15,$box15
76,$box16,$box16
77,$box17,$box17
78,$box18,$box18
79,$box19,$box19
80,$telescope,$telescope
81,$bell,$bell
