id,comment,sub_id,sub_type,dying_time,sound_material_id,big,target_decal_size,use_target_decal,use_target_silhouette,use_target_highlight,name,camera_distance,show_name_tag,name_tag_offset,sound_pack_id,despawn_doodad_on_collision,play_mount_animation
1,catapult,1,VehicleModel,0.0,7,f,0.0,t,t,f,catapult,12.0,t,0.0,173,f,f
2,투석기,2,VehicleModel,3.0,7,t,0.0,f,f,f,trebuchet,60.0,t,0.0,174,t,f
3,palintonos,3,VehicleModel,0.0,7,f,0.0,t,t,f,palintonos,12.0,t,0.0,,f,f
4,ram,4,VehicleModel,0.0,7,f,0.0,t,t,f,ram,12.0,t,0.0,,f,f
5,siege tower,5,VehicleModel,3.0,7,t,0.0,f,f,f,siege_tower,50.0,t,19.0,174,t,f
6,ballista,6,VehicleModel,0.0,7,f,0.0,t,t,f,ballista,12.0,t,0.0,,f,f
7,trap,1,PrefabModel,2.0,7,f,0.0,t,t,f,trap,12.0,t,0.0,,f,f
8,relic,2,PrefabModel,2.0,7,f,0.0,t,t,f,relic,12.0,t,0.0,,f,f
9,castle siegeweapon spawner,3,PrefabModel,2.0,8,f,0.0,t,t,f,castle_siegeweapon_spawner,12.0,t,0.0,,f,f
10,nuian_male,1,ActorModel,0.0,10,f,0.8,t,t,f,nuian_male,12.0,t,0.6,41,f,f
11,nuian_female,2,ActorModel,0.0,10,f,0.8,t,t,f,nuian_female,12.0,t,0.6,42,f,f
12,fairy_male,3,ActorModel,0.0,10,f,0.0,t,t,f,fairy_male,12.0,t,0.6,,f,f
13,fairy_female,4,ActorModel,0.0,10,f,0.0,t,t,f,fairy_female,12.0,t,0.6,,f,f
14,dwarf_male,5,ActorModel,0.0,10,f,0.0,t,t,f,dwarf_male,12.0,t,0.6,428,f,f
15,dwarf_female,6,ActorModel,0.0,10,f,0.0,t,t,f,dwarf_female,12.0,t,0.6,429,f,f
16,elf_male,7,ActorModel,0.0,10,f,0.85,t,t,f,elf_male,12.0,t,0.6,43,f,f
17,elf_female,8,ActorModel,0.0,10,f,0.8,t,t,f,elf_female,12.0,t,0.6,44,f,f
18,hariharan_male,9,ActorModel,0.0,10,f,0.0,t,t,f,hariharan_male,12.0,t,0.6,45,f,f
19,hariharan_female,10,ActorModel,0.0,10,f,0.0,t,t,f,hariharan_female,12.0,t,0.6,46,f,f
20,ferre_male,11,ActorModel,0.0,10,f,0.8,t,t,f,ferre_male,12.0,t,0.6,47,f,f
21,ferre_female,12,ActorModel,0.0,10,f,0.8,t,t,f,ferre_female,12.0,t,0.6,48,f,f
22,returned_male,13,ActorModel,0.0,10,f,0.0,t,t,f,returned_male,12.0,t,0.6,,f,f
