id,bubble,ai_event_id
1,안녕하신가..!,1
3,누이안의 글자는 너무 어려워.,2
4,이번에는 어디로 가는 거야?,3
5,당신은 무엇을 탐구하고 있습니까?,4
6,진리는 언제나 가까운 곳에 있는 법입니다.,5
7,삶 뒤에 죽음이 따라오는 것은 당연한 순리입니다.,6
8,질문을 하기 전에 스스로 해답을 구하기 위해 노력했나요?,7
9,이곳은 위험한 곳이니 웬만하면 돌아가게.,8
10,쉴 곳을 찾으신다면 제 집이 작지만 민박을 하고 있답니다. 여기서 묵으시죠.,9
11,외부 손님이 오는 건 언제나 반가운 일입니다. 어서 오시지요.,10
12,그 시절이 그립구나.,11
13,세월은 사람을 기다리지 않아.,12
14,수제 단검을 만들려는겐가? 훗~ 무기를 만드는건 그리 쉬운 일이 아니라네. 자네 혼자서 하기는 어려울듯 하니 대장 기술을 배운 사람을 한명 더 데리고 오게. 뭐 자네에게 메이드가 있다면 대장 기술을 가르쳐도 좋을 듯 한데.,13
15,혹시 알고 있어? 대장장이는 99퍼센트의 노력과 1퍼센트의 영감이 더해져야 성공한다는 거 말이야.,14
16,가장 유용한 동물이 뭔지 아시오? 그건 바로 말이라오.,15
17,"자, 질좋고 값싼 가죽 구경하고 가세요.",16
18,뭘 찾으세요? 없는 거 빼고는 다 팔아요. ,17
19,음식은 역시 손 맛이지. 그 맛을 지키기 위해 난 손을 잘 안 씻어. ,18
20,공사가 빨리 끝나지 않아야 이 일자리를 계속 유지할텐데...,19
21,움직이지 마라!,20
22,무슨 용무라도?,21
23,귀찮게 하지 말고 비켜 주시오.,22
24,인부로 지원하러 왔다면 나무의 길로 가시오.,23
25,공사와 관련된 사람이 아니라면 나가주셔야 합니다.,24
26,아빠는 우리하고 놀아주지 않아.,25
27,오늘은 뭘 하고 놀까.,26
28,일하지 않는 자는 먹지도 말라. 무노동 무임금 원칙은 지켜야해.,27
29,"후, 오늘도 끝이군.",28
30,일좀 도와주시구려.,29
31,무노동 무임금이 무슨 뜻입니까? 공사 감독이 매일 외치는 말인데...,30
32,이 길은 왜 나무의 길이라 불리는 거지? 나무를 까는 것도 아닌데... 혹시 알면 가르쳐줘.,31
33,돌이 모자란데..,32
34,무슨 일이오?,33
35,지난 번에 다리를 부순 놈들을 잡아야 해.,34
36,조엘 로이스터 경을 귀찮게 하지 마시오.,35
37,수상한 자들을 보면 즉시 신고하시오.,36
38,빨리 일을 끝내고 밥 먹으러 가자고!,37
39,검은색 수염이 없는 걸 보니 나쁜 사람은 아닌 것 같군.,38
40,"이런 돌밖에 없는 데 배치받아서 죽을 맛입니다. 놀 데도 없죠, 갈 데도 없죠. 죽겠어요.",39
41,세상에서 가장 의심스러운 자가 누군지 아시오? 남을 의심하는 자! 그 자가 바로 가장 의심스러운 자요!,40
42,이 사람은 뭐지? 정말 기강이 엉망진창이군. 누가 당신을 불렀소?,41
43,돌을 팔러 왔나?,42
44,"아이고, 머리가 아파 죽겠네. 머리 아프니 날 내버려두쇼.",43
45,"어휴, 속이 메슥거리네..",44
46,뭐에요?,45
47,산을 옮기는 방법을 아는가? 모른다면 가르쳐주지. 하루에 하나씩 돌을 옮기면 결국엔 산을 옮길수 있지.,46
48,여기서 멈춰 주시지요. 이 이상은 광산 조합이 관리하는 땅입니다.,47
49,더 이상 올라갈 수 없습니다.,48
50,난 맛이 없어요.,49
51,살려주세요. 제발.,50
52,"난 산책하다가 엄마인지 알고 오크 따라왔고, 엄마 보고 싶을 뿐이고... 엄마.",51
53,내가 여기서 나가기만 하면 저 놈들을 가만 두지 않을테다!,52
54,"으음..안돼, 안돼...",53
55,혹시 제 대신 돌 좀 주워다 주시면 안될까요? 이거야 원 동네가 이리 험악하니 힘들기 짝이 없네요.,54
56,아이고! 난 또 댁을 보고 해안 생물이 변신이라도 한 줄 알았네. 어디서 갑자기 나타나셨소?,55
57,설마 물에 들어갈 생각은 아니겠죠? 물에 그냥 들어갔다간 죽을 수도 있어요.,56
58,산 자의 숨결을 맡으니 새 살이 돋아나는 기분이야. 공포에 질린 모습을 보여랏!,57
59,먼 길 오느라 고생하셨습니다.,58
60,언덕을 내려가면 누이안의 야영지가 있다더군요.,59
61,"우리 마을이 지금은 이래도 예전에는 잘 나가던 마을이었다오. 나무의 길만 망하지 않았어도, 자식들과 걱정없이 사는 건데. 어휴.",60
62,흰 까마귀가 다시 날아오면 우리 마을의 평화도 되찾을 수 있을 텐데...,61
63,이건 염소일까요? 양일까요?,62
64,어서오시오.,63
65,저는 외부인을 그리 믿지 않습니다. 마을에 머무르는 동안 행동거지를 조심해 주십시오.,64
66,환영합니다. 흰 날개 아래 편히 쉬다 가시기를.,65
67,이런 시골 마을엔 무슨 일로 오셨을까.,66
68,돈을 더 벌어서 마리아노플로 갈테다.,67
69,이 마을엔 희망이 없어.,68
70,마을이 참 작죠?,69
71,무궁화 꽃이 피었습니다.,70
72,같이 할래요?,71
73,움직이다 걸리면 술래!,72
74,잠깐만. 방해하지 말고 저리 가요.,73
75,바다 너머에는 죽은 자의 세상이 있다고 하더군요.,74
76,오크들을 보면 나에게 당장 알려주시오. 이 몸이 다 무찔러 주겠소.,75
77,싸움 기술이 쓸만하면 경비대에 자원하세요. 사람이 부족하답니다.,76
78,오크들이나 약탈단을 조심하세요.,77
79,aaa,78
80,안녕하세요. 오늘도 날씨가 좋죠? 이런 날에는 모든 걸 잊고 가만히 있는 게 최고 같아요.,79
81,요새 토끼가 많이 줄어서 잡기 쉽지 않네요. 평원 새끼 늑대들이 잡아먹어서 그런 것 같아요. 누가 새끼 늑대들을 사냥해줬으면 좋겠어요.,80
82,죽을 때까지 배우고 익히는 것이 우리의 인생이지요.,81
83,물건 골라보세요~,82
84,투숙객은 언제나 환영입니다.,83
85,"안녕하세요. 바다가 참 예쁘죠? 아, 어제 마신 술도 덜 깼는데 낚시 일을 하고 왔더니 어지럽네요.",84
86,바람 잔잔하니 물고기가 좀 잡히겠네.,85
87,왔는가.,86
88,안녕하세요. 나무를 한 그루라도 더 베려니 쉴 틈이 없군요. 이렇게 사람이나 만나야 겨우 숨을 돌립니다.,87
89,으음...나는 예의 바른 사람이니 초면이지만 반갑게 인사하겠소. 안녕하시오?,88
90,안녕하십니까? 솔즈리드 반도 최고의 마을인 하얀 강 마을에 오신 것을 환영합니다.,89
92,어서 오세요. 네손가락 도적단인가 뭔가하는 나쁜 놈들 때문에 들어온 물건이 많이 줄었지만 필요하신 건 다 있을 거예요.,90
93,필요한 무기가 있으면 말씀하세요.,91
94,우리 아버지를 도와주실 분 없나요?,92
95,여행자군요. 외지인은 보면 알 수 있죠.,93
96,우리 아들 못 보셨나요! 우리 아들 좀 찾아주세요!,94
97,안녕하시오? 양에 관련된 거라면 뭐든지 물어보시오.,95
98,묵으실 곳이 없으면 저희 여관으로 오세요.,96
99,안녕하세요. 마땅히 묵을 데가 정해지신 게 아니라면 저희 여관에 묵으세요. 그러면 제가 만든 맛있는 요리를 제공해드리죠. 헤헤.,97
100,하흠...하루 종일 말만 돌보고 있으려니 살짝 피곤하네요.,98
101,죽을 때까지 배우고 익히는 것이 우리의 인생이지요.,99
102,"놀래라, 오는 걸 못봤는데 누구세요?",100
103,"거기 서 계시는 분, 누구시죠?",101
104,피리 소리에 맞추어 춤을 추면 기분이 좋아져요. 한 곡 연주해줄까요?,102
105,진정한 모험가의 이야기를 원하면 언제든 찾아 오게.,103
106,필리 오빠의 피리 연주는 세상에서 최고일 거에요. 그 리듬에 몸을 맡기면 하늘을 날아가는 것 같아요.,104
107,여행 중이신가요? 혹시 치료소에서 자원봉사 하실 생각이 있다면 언제든지 찾아오세요.,105
108,여행자이신 것 같군요. 당신의 앞날에 누이 여신의 가호가 함께 하길 바랍니다.,106
109,아픈 곳 다친 곳 모두 돌보는 곳입니다.,107
110,으...으으...원혼이 다가오고 있어...살려줘...으윽...,108
111,처음 보는 얼굴인 걸 보니 이 마을 분이 아니군요. (쿨럭쿨럭) 무슨 일로 이 병든 늙은이를 찾아오셨습니까?,109
112,요즘 같이 험한 때에 돌아다니려면 치료약 한 두개쯤은 휴대하고 있어야죠.,110
113,아파요. 여긴 너무 더워요. 엄마...,111
114,죽을 때까지 배우고 익히는 것이 우리의 인생이지요.,112
115,안녕하세요. 파수 마을에서 묵으실 생각이라면 저에게 말씀하세요.,113
116,저기 우뚝 솟은 솔즈리언의 문이 보이나요? 해가 뜰 때에 솔즈리언의 문을 보지 못하면 솔즈리드 반도를 제대로 여행했다고 할 수 없어요.,114
117,무슨 일이오. 곡식을 얻으러 오신 거면 돌아가주시오. 다리를 다쳐서 농사일을 제대로 못하고 있다오.,115
118,"위대한 왕 솔즈리언의 이름이 붙은 저 솔즈리언의 문을 지키는 파수꾼이 바로 저, 베르티노 입니다.",116
119,힐끗 한번 바라볼 뿐 더 이상 신경쓰지 않습니다.,117
130,산 자의 숨소리가 내 몸을 전율하게 하는군.,118
134,날 누구라고 생각하는 거야!,119
135,"사과 주스에 독이 들었는지 소화가 안되고, 뱃살만 늘었어.",120
136,"화장은 하는 것보다 지우는 것이 중요한 건 아는데, 왜 하필 왕자님 앞에서 화장이 지워진 거야.",121
137,지금 내가 입은 옷이 보이는가? 그렇다면 넌 나의 충실한 신하가 될 자격을 갖추었도다.,122
138,"할머니의 병문안을 가는 길에 만난 늑대는 내가 혼내 주었어요. 그곳 오솔길에 빨간 두건을 조심하라는 말을 듣지 못했나봐요, 바보 늑대.",123
139,엄지 공주와는 몸매부터 우월한 난 S라인 중지 공주야.,124
142,꽤 오래 전에 죽은 사람들의 것으로 보이는 해골들이 아무렇게나 쌓여 있습니다.,125
143,꽤 낡아보이는 팻말입니다. 낡은 전단 한 장이 힘없이 붙어 있습니다.,126
144,양 방목장 앞에 다 쓰러져 가는 팻말이 세워져 있습니다. 낡은 종이가 붙어있는 것 같습니다.,127
146,푸른 빛이 나는 신기한 나무입니다.,128
148,제 노래를 들어보겠어요?,129
150,누군가 있었던 흔적이 남아있습니다.,130
151,흙에서 뭔가가 꿈틀댑니다.,131
156,중요한 일이라도 가지고 왔나?,132
168,뻐금뻐금,133
171,당신에게 관심이 없는 듯 보입니다,134
178,꺼져라!! 여긴 우리 차지다!,135
180,...으킬킬킬!!,136
