id,npc_id,mount_skill_id
15,7185,15
16,8245,47
17,504,5
18,504,1
19,504,3
20,504,4
21,504,6
22,504,2
23,504,8
24,7044,83
25,7044,83
26,7044,14
27,7044,14
29,7044,101
30,8180,53
31,7087,55
85,7043,83
86,7043,83
87,7043,14
88,7043,14
90,7043,101
161,10360,83
162,10360,84
164,10360,87
165,10360,88
166,10360,89
167,10360,1
168,10151,90
169,10151,91
170,10151,92
171,10151,93
172,10151,94
173,10151,95
178,5431,83
179,5431,83
180,5431,1
188,5433,83
189,5433,83
190,5433,1
198,5432,83
199,5432,83
200,5432,1
209,3599,83
301,10151,106
302,10151,106
303,10151,96
304,10151,97
315,3599,83
316,3599,1
324,5430,83
325,5430,83
334,5434,83
335,5435,83
336,5434,83
337,5435,83
340,5434,1
341,5435,1
406,7043,101
407,7043,102
408,7043,102
409,7043,108
410,7043,108
411,7044,101
412,7044,110
413,7044,110
414,7044,87
415,7044,87
426,10822,113
427,10822,113
428,10822,114
429,10822,114
430,10822,93
431,10822,93
433,10822,112
434,10822,112
436,10822,115
437,10821,113
438,10821,113
439,10821,114
440,10821,114
441,10821,93
442,10821,93
444,10821,112
445,10821,112
446,10821,115
447,10814,113
448,10814,113
449,10814,114
450,10814,114
451,10814,93
452,10814,93
453,10814,112
454,10814,112
455,10814,115
456,10814,115
457,10822,115
458,10821,115
459,9323,117
460,9323,117
463,3599,1
464,3599,13
465,3599,13
466,3599,6
467,3599,6
468,3599,3
469,3599,3
470,5431,1
471,5431,13
472,5431,13
473,5431,6
474,5431,6
475,5431,3
476,5432,1
477,5432,13
478,5432,13
479,5432,6
480,5432,6
481,5432,3
482,5432,3
483,5433,1
484,5433,13
485,5433,13
486,5433,6
487,5433,6
488,5433,3
489,5433,3
490,5430,1
491,5430,1
492,5430,13
493,5430,13
495,5430,85
496,5430,85
497,5430,3
498,5430,3
499,5434,1
500,5434,13
501,5434,13
502,5434,85
503,5434,85
504,5434,3
505,5434,3
506,5435,1
507,5435,13
508,5435,13
509,5435,85
510,5435,85
512,5435,3
513,5435,3
514,4944,83
515,4944,83
516,4944,2
517,4944,2
518,4944,101
519,4944,101
520,4944,102
521,4944,102
522,4944,87
523,4944,87
524,7110,83
525,7110,83
526,7110,2
527,7110,2
528,7110,101
529,7110,101
531,7110,102
532,7110,102
533,7110,87
534,7110,87
535,7111,83
536,7111,83
537,7111,2
538,7111,2
539,7111,101
540,7111,101
541,7111,102
542,7111,102
544,7111,87
545,7111,87
546,10027,83
547,10027,83
548,10027,2
549,10027,2
550,10027,101
551,10027,101
552,10027,102
553,10027,102
554,10027,87
555,10027,87
556,10028,83
557,10028,83
558,10028,2
559,10028,2
560,10028,101
561,10028,101
562,10028,102
563,10028,102
564,10028,87
565,10028,87
566,10029,83
567,10029,83
568,10029,2
569,10029,2
570,10029,101
571,10029,101
572,10029,102
573,10029,102
574,10029,87
575,10029,87
576,8961,83
