id,name
0,none
1,무기 상인
2,방어구 상인
3,잡화 상인
4,소더비 경매장 초승달 지점
5,제작법 판매 상인(제거 예정)
6,인챈트 상인(제거 예정)
7,음식 상인
8,약품 상인
9,신기루 섬
10,가구 재료 상인
11,묘목 상인
12,재료 상인
13,"잡화 상인(nickname 3번으로 바꿔주세요, 제거예정)"
14,의상 상인
15,길잡이 도구 상인
16,선박 상인
17,마구간지기
18,능력 관리인
19,전투 기술 교관(제거 예정)
20,공성 무기 상인
21,G-Star 선박상인(제거 예정)
22,순환 마차 관리인
23,도시 순환선 관리인
24,부활의 인도자
25,비행선 관리인
26,부적 상인
27,창고 관리인
28,원정대 관리인
29,누이아 연합
30,하리하라 연합
31,가축 상인
32,수목 상인(사용하지 않음)
33,전장 모병관
34,경매장 관리인
35,해적 원정대 관리인
36,영지 관리인
37,씨앗 상인
38,어둠의 상인
39,금화 교역상
40,중립 연합
41,누이의 눈물 상인
42,델피나드의 별 교역상
43,폭죽 상인
44,대장장이
45,떠돌이 상인
46,푸른 소금 상회
47,하얀 소금 상회
48,환전 상인
49,공용 시설물 관리인
50,살피마리 영지 관리인
51,누이마리 영지 관리인
52,서녘마리 영지 관리인
53,안식의 땅 영지 관리인
54,제국의 선인
55,살피마리 수성 지원병
56,누이마리  수성 지원병
57,서녘마리 수성 지원병
58,안식의 땅 수성 지원병
59,살피마리 공성 지원병
60,누이마리 공성 지원병
61,서녘마리 공성 지원병
62,안식의 땅 공성 지원병
63,동대륙 가정교사
64,서대륙 가정교사
65,밤의 이야기꾼
66,교사
68,심연의 입구 영지 관리인
69,심연의 입구 수성 지원병
70,심연의 입구 공성 지원병
71,태양의 들녘 영지 관리인
72,태양의 들녘 수성 지원병
73,태양의 들녘 공성 지원병
74,홍군
75,청군
76,신기루 사육사
77,델피나드의 유산
78,딱지 수집가
79,미용실 도우미
80,의상 판매 도우미
81,낚시 애호가
