id,name,char_race_id,npc_grade_id,npc_kind_id,level,npc_template_id,equip_bodies_id,equip_cloths_id,equip_weapons_id,model_id,faction_id,skill_trainer,ai_file_id,merchant,npc_nickname_id,auctioneer,show_name_tag,visible_to_creator_only,no_exp,pet_item_id,base_skill_id,track_friendship,priest,comment1,npc_tendency_id,blacksmith,teleporter,opacity,ability_changer,scale,comment2,comment3,sight_range_scale,sight_fov_scale,milestone_id,attack_start_range_scale,aggression,exp_multiplier,exp_adder,stabler,accept_aggro_link,recruiting_battle_field_id,return_distance,npc_ai_param_id,non_pushable_by_actor,banker,aggro_link_special_rule_id,aggro_link_help_dist,aggro_link_sight_check,expedition,honor_point,trader,aggro_link_special_guard,aggro_link_special_ignore_npc_attacker,comment_wear,absolute_return_distance,repairman,activate_ai_always,so_state,specialty,sound_pack_id,specialty_coin_id,use_range_mod,npc_posture_set_id,mate_equip_slot_pack_id,mate_kind_id,engage_combat_give_quest_id,total_custom_id,no_apply_total_custom,base_skill_strafe,base_skill_delay,npc_interaction_set_id,use_abuser_list,return_when_enter_housing_area,look_converter,use_ddcms_mount_skill,crowd_effect
1,Test Warrior1,1,1,1,20,9,,1,,11,1,t,15,t,18,t,f,f,t,,2,t,f,,1,t,f,1.0,t,1.0,test1,,0.0,0.0,2,0.0,f,1.0,0,t,t,1,50.0,0,f,t,0,6.0,f,f,0,t,f,f,,200.0,f,f,,f,,,t,0,,,,,f,t,0.0,,t,f,f,f,t
2,Castle Guard,1,1,1,50,9,,,,14,102,f,18,f,0,f,t,f,t,,2,f,f,,1,f,f,1.0,f,1.0,test,,1.0,1.0,,1.0,f,1.0,0,f,t,6,50.0,1,t,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,110,,,,,f,t,0.0,10,t,f,f,f,t
3,Siege Mercenary,1,1,1,50,9,,1,,11,103,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,test,,1.0,1.0,,1.0,t,1.0,0,f,t,1,50.0,0,t,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,25,,,,,f,t,0.0,,t,f,f,f,t
4,Lord Gigas,1,1,1,50,9,,1,6,10,104,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,test,,1.0,1.0,,1.0,f,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
5,Coward Villager,3,1,1,50,9,,7,,15,105,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,test,,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
6,Brave Villager,1,1,1,50,9,,10,,10,106,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,test,,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
7,Brave Villager,1,1,1,50,9,,1,,10,107,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,test,,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
8,Coward Villager,3,1,1,50,9,,7,,15,108,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,test,,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
9,Coward Villager,3,1,1,50,9,,7,,15,109,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,test,,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,f,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
10,Coward Villager,3,1,1,50,9,,7,,15,110,f,15,f,0,f,t,f,f,,2,f,f,,,f,f,1.0,f,1.0,test,,1.0,1.0,,1.0,t,1.0,0,f,t,0,50.0,0,f,f,0,6.0,f,f,0,f,f,f,,200.0,f,f,,t,,,t,0,,,0,,f,t,0.0,,t,f,f,f,t
