id,radius,hole_size,pressure
1,5.0,5.0,2000.0
2,3.0,3.0,10000000000000.0
7,4.0,4.0,500.0
8,6.0,1.0,1000.0
9,4.0,1.0,1000.0
12,4.0,1.0,500.0
14,7.0,7.0,5000.0
15,4.0,1.0,1000.0
16,6.0,1.0,1000.0
21,15.0,15.0,100000.0
22,7.0,7.0,100000.0
23,7.0,7.0,100000.0
24,4.0,4.0,400.0
25,5.0,3.0,300.0
26,5.0,2.0,1.0
30,10.0,10.0,10000000000000.0
32,2.0,1.0,6.0
33,1.0,1.0,5.0
34,2.0,1.0,5.0
37,7.0,1.0,100.0
38,7.0,1.0,100.0
39,10.0,10.0,1000000.0
40,10.0,10.0,1000000.0
41,10.0,10.0,100000.0
42,10.0,10.0,1000000.0
45,25.0,1.0,200.0
58,5.0,1.0,100.0
60,2.0,1.0,6.0
61,5.0,3.0,300.0
62,30.0,10.0,1500.0
67,2.0,1.0,6.0
68,5.0,1.0,100.0
72,4.0,3.0,100.0
74,1.0,0.5,0.1
78,4.0,1.0,1000.0
83,1.0,0.5,0.1
84,1.0,0.5,0.1
86,5.0,1.0,50.0
87,5.0,1.0,100.0
90,5.0,1.0,200.0
91,30.0,15.0,200.0
92,15.0,1.0,1000.0
94,15.0,1.0,500.0
95,50.0,1.0,100.0
96,5.0,0.5,5.0
97,5.0,0.5,5.0
99,5.0,0.5,5.0
100,5.0,1.0,50.0
101,5.0,1.0,50.0
102,5.0,1.0,100.0
103,5.0,1.0,100.0
104,15.0,1.0,500.0
105,15.0,1.0,500.0
109,5.0,1.0,100.0
110,5.0,2.0,100.0
111,20.0,1.0,1000.0
112,5.0,1.0,100.0
113,5.0,1.0,100.0
