id,event_id,condition_id,position
1,5408,727,1
2,5420,728,1
3,5430,729,1
4,4459,796,1
5,5408,799,2
6,5751,834,1
7,5852,835,1
8,5941,841,1
9,5945,842,1
10,6549,949,1
13,6656,959,1
14,6657,960,1
16,6737,968,1
18,5073,979,1
19,5073,984,2
20,5073,985,3
21,5073,986,4
22,5073,987,5
23,5073,988,6
24,5073,989,7
25,6770,991,1
26,6797,1002,1
27,6797,1003,2
28,6886,1034,1
30,5677,1095,1
31,7016,1142,1
32,7017,1143,1
33,7018,1144,1
34,7020,1145,1
35,7021,1146,1
36,7022,1147,1
38,7160,1255,1
39,7180,1258,1
40,7182,1259,1
41,7189,1264,1
44,7284,1326,1
45,7289,1328,1
46,7138,1329,1
49,7633,1441,1
50,7639,1442,1
51,7646,1443,1
52,7653,1444,1
53,7660,1445,1
54,7667,1446,1
63,7957,1512,1
64,8088,1563,1
66,8263,1628,1
67,8171,1630,1
68,8422,1649,1
70,8427,1651,1
71,8430,1652,1
72,8511,1667,1
75,4109,1689,1
79,8605,1697,1
80,8607,1699,1
82,8717,1713,1
85,8900,1759,1
90,8945,1785,1
91,8952,1786,1
92,9005,1789,1
93,9041,1797,1
94,9042,1798,1
95,8882,1799,1
96,8886,1800,1
97,9043,1802,1
98,8662,1803,1
99,9044,1806,1
100,8410,1807,1
101,9045,1808,1
102,8657,1809,1
103,8704,1811,1
104,9046,1812,1
105,8736,1814,1
106,9047,1815,1
107,9034,1819,1
108,9050,1820,1
109,9038,1821,1
110,9039,1822,1
111,9049,1823,1
112,9048,1824,1
113,9093,1826,1
114,9094,1827,1
115,9095,1828,1
116,9096,1829,1
117,9097,1830,1
118,9098,1831,1
119,9084,1843,1
120,9326,1846,1
121,9328,1847,1
122,9334,1848,1
123,9303,1851,1
124,9473,1854,1
128,9713,1875,1
130,9822,1889,1
131,9834,1897,1
132,9941,1915,1
133,9945,1916,1
134,9949,1917,1
135,9952,1918,1
136,9956,1919,1
137,9960,1920,1
138,10027,1925,1
139,10075,1927,1
140,10075,1928,2
142,9896,1975,1
143,10291,1976,1
144,10410,2003,1
