id,not_condition,kind_id,param1,param2,param3
5,t,6,2,0,0
6,f,6,2,0,0
7,t,5,229,0,0
8,t,5,27,0,0
9,f,5,229,0,0
10,f,5,27,0,0
11,f,5,229,0,0
12,t,5,27,0,0
13,t,5,229,0,0
14,f,5,27,0,0
17,t,5,229,0,0
18,t,5,6,0,0
19,f,5,229,0,0
20,f,5,6,0,0
21,t,5,229,0,0
22,f,5,6,0,0
23,f,5,229,0,0
24,t,5,6,0,0
26,t,5,216,0,0
28,t,6,2,0,0
29,t,5,480,0,0
31,t,5,485,0,0
32,t,5,451,0,0
39,f,5,451,0,0
52,f,6,2,0,0
53,t,5,119,0,0
54,t,5,97,0,0
55,f,5,119,0,0
56,t,5,97,0,0
57,f,5,119,0,0
58,f,5,97,0,0
59,t,5,119,0,0
60,f,5,97,0,0
68,t,5,121,0,0
69,t,5,13,0,0
70,f,5,121,0,0
71,f,5,13,0,0
72,f,5,121,0,0
73,t,5,13,0,0
74,t,5,121,0,0
75,f,5,13,0,0
76,t,5,120,0,0
77,t,5,373,0,0
78,f,5,120,0,0
79,f,5,373,0,0
80,f,5,120,0,0
81,t,5,373,0,0
82,t,5,120,0,0
83,f,5,373,0,0
90,t,5,6,0,0
91,t,5,14,0,0
92,f,5,6,0,0
93,f,5,14,0,0
94,f,5,6,0,0
95,t,5,14,0,0
96,t,5,6,0,0
97,f,5,14,0,0
98,t,5,258,0,0
99,f,5,258,0,0
102,f,2,1,0,0
103,t,5,108,0,0
104,t,5,381,0,0
107,t,5,108,0,0
108,f,5,381,0,0
111,f,5,495,0,0
112,f,2,4,0,0
113,t,5,108,0,0
114,t,5,155,0,0
117,t,5,108,0,0
118,f,5,155,0,0
121,f,5,223,0,0
122,t,6,2,0,0
123,f,6,2,0,0
124,f,5,161,0,0
125,t,8,0,0,0
130,t,8,0,0,0
132,f,2,1,0,0
135,t,5,529,0,0
137,f,5,483,0,0
139,t,8,0,0,0
140,t,8,0,0,0
144,t,8,0,0,0
145,t,8,0,0,0
147,f,1,1,20,0
148,f,1,21,35,0
149,f,1,36,99,0
151,f,1,1,20,0
152,f,1,21,35,0
153,f,1,36,99,0
154,f,1,1,20,0
155,f,1,36,99,0
156,f,1,21,35,0
157,t,5,483,0,0
160,t,5,6,0,0
161,t,5,483,0,0
162,f,5,6,0,0
163,t,5,483,0,0
165,t,5,6,0,0
166,f,5,483,0,0
167,f,5,6,0,0
168,f,5,483,0,0
170,t,5,107,0,0
171,f,5,107,0,0
176,f,1,21,30,0
177,f,1,31,40,0
178,f,1,41,99,0
179,f,5,292,0,0
180,f,5,305,0,0
181,f,5,578,0,0
182,f,10,21,0,0
183,f,10,23,0,0
184,f,10,22,0,0
185,t,9,252,0,0
189,t,9,252,0,0
192,t,9,252,0,0
193,t,9,252,0,0
194,t,9,252,0,0
195,t,9,252,0,0
196,t,9,252,0,0
197,t,9,252,0,0
198,t,5,120,0,0
199,t,9,252,0,0
200,f,5,120,0,0
201,t,9,252,0,0
202,t,9,252,0,0
203,t,9,252,0,0
205,t,5,485,0,0
206,t,9,252,0,0
207,t,9,252,0,0
208,t,9,252,0,0
209,t,9,252,0,0
210,t,9,252,0,0
211,t,5,361,0,0
212,t,5,632,0,0
213,t,5,633,0,0
214,f,5,632,0,0
215,f,5,633,0,0
216,t,5,361,0,0
217,t,5,633,0,0
219,f,5,119,0,0
220,t,5,119,0,0
221,t,5,632,0,0
222,f,5,529,0,0
223,t,8,0,0,0
224,t,8,0,0,0
225,t,8,0,0,0
226,t,8,0,0,0
238,t,8,0,0,0
239,t,8,0,0,0
241,t,8,0,0,0
242,t,8,0,0,0
243,t,8,0,0,0
244,t,8,0,0,0
245,t,8,0,0,0
246,t,8,0,0,0
247,t,8,0,0,0
248,t,8,0,0,0
250,t,5,312,0,0
253,t,5,312,0,0
254,t,5,312,0,0
255,t,5,312,0,0
256,t,5,312,0,0
