id,event_id,position,source_id,target_id,actual_id,actual_type
1,1,2,3,3,692,SpecialEffect
2,1,1,3,3,693,SpecialEffect
3,1,3,3,3,694,SpecialEffect
4,2,3,3,3,695,SpecialEffect
12,5,1,3,4,702,SpecialEffect
13,5,2,3,4,703,SpecialEffect
14,5,3,3,4,704,SpecialEffect
15,6,1,3,4,705,SpecialEffect
16,6,2,3,4,706,SpecialEffect
17,6,3,3,4,707,SpecialEffect
18,6,4,3,4,708,SpecialEffect
19,6,5,3,4,709,SpecialEffect
20,7,1,3,4,525,DamageEffect
21,7,2,3,4,710,SpecialEffect
22,8,1,3,4,711,SpecialEffect
23,8,2,3,4,712,SpecialEffect
24,8,3,3,4,713,SpecialEffect
25,9,1,3,4,526,DamageEffect
26,9,2,3,4,714,SpecialEffect
27,10,1,3,4,715,SpecialEffect
28,10,2,3,4,716,SpecialEffect
29,10,3,3,4,717,SpecialEffect
30,11,1,3,4,527,DamageEffect
31,11,2,3,4,718,SpecialEffect
32,12,1,3,4,719,SpecialEffect
33,12,2,3,4,720,SpecialEffect
34,12,3,3,4,721,SpecialEffect
35,13,1,3,5,722,SpecialEffect
36,13,2,3,5,723,SpecialEffect
37,13,3,3,4,724,SpecialEffect
38,13,4,3,5,725,SpecialEffect
39,13,5,3,5,726,SpecialEffect
40,14,1,3,4,528,DamageEffect
41,14,2,4,4,727,SpecialEffect
45,16,2,3,3,733,SpecialEffect
46,16,3,3,4,734,SpecialEffect
48,16,5,3,3,736,SpecialEffect
49,16,6,3,3,737,SpecialEffect
50,17,2,1,4,529,DamageEffect
51,18,1,3,4,738,SpecialEffect
52,17,1,4,3,744,SpecialEffect
66,23,2,1,3,856,SpecialEffect
68,23,3,3,4,858,SpecialEffect
77,2,4,3,3,1101,SpecialEffect
80,2,5,3,3,1104,SpecialEffect
86,2,1,3,3,1203,SpecialEffect
95,27,1,3,5,1451,SpecialEffect
96,27,2,3,4,873,DamageEffect
97,28,1,3,5,1452,SpecialEffect
98,28,2,3,4,874,DamageEffect
99,29,1,3,5,1453,SpecialEffect
100,29,2,3,4,875,DamageEffect
101,30,1,3,5,1454,SpecialEffect
102,30,2,3,4,876,DamageEffect
106,34,2,1,4,881,DamageEffect
113,38,2,1,4,885,DamageEffect
114,38,1,3,5,1467,SpecialEffect
122,33,1,3,5,1475,SpecialEffect
128,34,1,3,5,1481,SpecialEffect
131,33,2,1,4,887,DamageEffect
132,39,1,3,5,1487,SpecialEffect
133,39,2,1,4,888,DamageEffect
134,40,1,3,5,1488,SpecialEffect
135,40,2,1,4,889,DamageEffect
136,40,3,1,4,2312,BuffEffect
138,33,3,1,4,2314,BuffEffect
139,34,3,1,4,2315,BuffEffect
140,38,3,1,4,2316,BuffEffect
141,39,3,1,4,2317,BuffEffect
143,3,1,1,5,1491,SpecialEffect
150,44,1,3,5,1496,SpecialEffect
151,44,2,1,4,892,DamageEffect
152,44,3,1,4,2319,BuffEffect
165,55,1,1,4,894,DamageEffect
166,55,2,1,4,2322,BuffEffect
167,56,1,1,4,895,DamageEffect
168,56,2,1,4,2323,BuffEffect
169,57,1,1,4,896,DamageEffect
170,57,2,1,4,2324,BuffEffect
171,58,1,1,4,897,DamageEffect
172,58,2,1,4,2325,BuffEffect
173,59,1,1,4,898,DamageEffect
174,59,2,1,4,2326,BuffEffect
175,60,1,1,4,899,DamageEffect
176,60,2,1,4,2327,BuffEffect
177,61,1,1,4,900,DamageEffect
178,61,2,1,4,2328,BuffEffect
179,62,1,1,4,901,DamageEffect
180,62,2,1,4,2329,BuffEffect
181,63,1,1,4,902,DamageEffect
182,63,2,1,4,2330,BuffEffect
183,64,1,1,4,903,DamageEffect
184,64,2,1,4,2331,BuffEffect
212,73,1,3,3,1536,SpecialEffect
214,71,1,3,3,1538,SpecialEffect
215,71,2,3,3,1539,SpecialEffect
216,71,4,3,3,1540,SpecialEffect
218,73,2,3,3,1542,SpecialEffect
219,73,3,3,3,1543,SpecialEffect
233,74,3,1,4,2334,BuffEffect
234,74,2,1,4,1557,SpecialEffect
235,75,3,1,4,2335,BuffEffect
236,75,2,1,4,1558,SpecialEffect
237,76,3,1,4,2336,BuffEffect
238,76,2,1,4,1559,SpecialEffect
239,77,3,1,4,2337,BuffEffect
240,77,2,1,4,1560,SpecialEffect
241,78,3,1,4,2338,BuffEffect
242,78,2,1,4,1561,SpecialEffect
243,79,3,1,4,2339,BuffEffect
244,79,2,1,4,1562,SpecialEffect
245,80,3,1,4,2340,BuffEffect
246,80,2,1,4,1563,SpecialEffect
247,81,3,1,4,2341,BuffEffect
248,81,2,1,4,1564,SpecialEffect
249,82,3,1,4,2342,BuffEffect
250,82,2,1,4,1565,SpecialEffect
251,83,3,1,4,2343,BuffEffect
252,83,2,1,4,1566,SpecialEffect
253,84,3,1,4,2344,BuffEffect
254,84,2,1,4,1567,SpecialEffect
255,85,3,1,4,2345,BuffEffect
256,85,2,1,4,1568,SpecialEffect
257,74,1,1,4,908,DamageEffect
258,75,1,1,4,909,DamageEffect
259,76,1,1,4,910,DamageEffect
260,77,1,1,4,911,DamageEffect
261,78,1,1,4,912,DamageEffect
262,79,1,1,4,913,DamageEffect
263,80,1,1,4,914,DamageEffect
264,81,1,1,4,915,DamageEffect
265,82,1,1,4,916,DamageEffect
266,83,1,1,4,917,DamageEffect
267,84,1,1,4,918,DamageEffect
268,85,1,1,4,919,DamageEffect
269,86,2,1,3,1570,SpecialEffect
270,86,1,1,3,1571,SpecialEffect
271,87,1,1,3,1572,SpecialEffect
272,86,3,1,3,1573,SpecialEffect
273,87,2,1,3,1574,SpecialEffect
276,88,1,1,5,1577,SpecialEffect
291,97,1,3,5,1590,SpecialEffect
298,73,4,3,3,1607,SpecialEffect
299,87,4,1,3,1608,SpecialEffect
302,110,1,3,5,1611,SpecialEffect
303,111,1,3,5,1612,SpecialEffect
308,71,3,3,3,1616,SpecialEffect
328,118,1,3,4,1634,SpecialEffect
329,118,2,3,4,2278,SkillController
332,119,1,3,4,1636,SpecialEffect
333,119,2,3,4,2279,SkillController
338,121,2,1,4,945,DamageEffect
372,138,1,3,4,1664,SpecialEffect
373,138,2,3,4,1665,SpecialEffect
374,138,3,3,4,1666,SpecialEffect
375,139,1,3,4,1667,SpecialEffect
376,139,2,3,4,1668,SpecialEffect
377,139,3,3,4,1669,SpecialEffect
378,139,4,3,4,1670,SpecialEffect
379,139,5,3,4,1671,SpecialEffect
380,140,1,3,4,957,DamageEffect
381,140,2,3,4,1672,SpecialEffect
382,142,1,3,5,1673,SpecialEffect
383,143,1,3,4,1674,SpecialEffect
384,144,1,3,4,958,DamageEffect
385,144,2,3,4,1675,SpecialEffect
386,145,2,1,4,959,DamageEffect
388,145,1,4,3,1677,SpecialEffect
389,146,2,1,4,960,DamageEffect
391,146,1,4,3,1679,SpecialEffect
412,158,2,1,4,967,DamageEffect
414,158,1,4,3,1695,SpecialEffect
415,159,2,1,4,968,DamageEffect
417,159,1,4,3,1697,SpecialEffect
419,160,1,3,4,1699,SpecialEffect
422,161,1,3,4,1702,SpecialEffect
424,162,1,3,4,1704,SpecialEffect
447,23,1,1,3,1726,SpecialEffect
448,24,1,1,3,1727,SpecialEffect
450,24,3,1,3,1729,SpecialEffect
451,177,1,1,4,972,DamageEffect
455,179,1,1,3,1732,SpecialEffect
468,24,2,1,3,1740,SpecialEffect
470,87,3,1,3,1742,SpecialEffect
471,189,1,3,4,983,DamageEffect
476,198,1,3,5,1756,SpecialEffect
478,199,1,3,5,1758,SpecialEffect
480,200,1,3,5,1760,SpecialEffect
481,201,1,3,5,1761,SpecialEffect
484,209,2,3,3,1762,SpecialEffect
485,209,1,3,3,1763,SpecialEffect
486,209,3,3,3,1764,SpecialEffect
490,210,2,3,3,1768,SpecialEffect
491,212,2,1,3,1769,SpecialEffect
492,212,3,1,5,1770,SpecialEffect
493,199,2,3,4,993,DamageEffect
494,200,2,3,4,994,DamageEffect
495,201,2,3,4,995,DamageEffect
496,198,2,3,4,996,DamageEffect
498,215,1,3,5,1771,SpecialEffect
499,215,2,3,4,998,DamageEffect
500,219,1,3,5,1772,SpecialEffect
501,219,2,3,4,999,DamageEffect
502,220,1,3,5,1773,SpecialEffect
503,220,2,3,4,1000,DamageEffect
504,215,3,3,4,1775,SpecialEffect
505,219,3,3,4,1776,SpecialEffect
507,224,1,3,5,1777,SpecialEffect
508,224,2,3,4,1002,DamageEffect
509,223,1,3,5,1778,SpecialEffect
510,223,2,3,4,1003,DamageEffect
511,227,1,3,5,1779,SpecialEffect
512,227,2,3,4,1004,DamageEffect
513,226,1,3,5,1780,SpecialEffect
514,226,2,3,4,1005,DamageEffect
515,210,1,3,3,1784,SpecialEffect
517,231,2,1,5,1786,SpecialEffect
520,237,2,1,5,1788,SpecialEffect
521,239,1,1,4,1007,DamageEffect
522,25,1,1,5,1789,SpecialEffect
528,32,2,3,3,1797,SpecialEffect
529,32,3,3,3,1798,SpecialEffect
537,248,1,1,3,1806,SpecialEffect
568,219,4,3,4,1827,SpecialEffect
569,215,4,3,4,1828,SpecialEffect
573,258,3,1,5,2415,SkillController
574,258,1,1,3,1831,SpecialEffect
575,258,2,1,3,1832,SpecialEffect
577,259,1,1,3,1833,SpecialEffect
578,259,2,1,3,1834,SpecialEffect
579,259,3,1,5,2416,SkillController
581,260,1,1,3,1835,SpecialEffect
582,260,2,1,3,1836,SpecialEffect
583,260,3,1,5,2417,SkillController
585,268,1,1,3,1837,SpecialEffect
586,268,2,1,3,1838,SpecialEffect
587,268,3,1,5,2418,SkillController
589,269,1,1,3,1839,SpecialEffect
590,269,2,1,3,1840,SpecialEffect
591,269,3,1,5,2419,SkillController
593,270,1,1,3,1841,SpecialEffect
594,270,2,1,3,1842,SpecialEffect
595,270,3,1,5,2420,SkillController
596,270,4,1,3,107,BubbleEffect
597,272,1,3,5,1843,SpecialEffect
598,258,4,3,5,1844,SpecialEffect
599,259,4,3,5,1845,SpecialEffect
600,260,4,3,5,1846,SpecialEffect
601,270,5,3,5,1847,SpecialEffect
602,268,4,3,5,1848,SpecialEffect
603,269,4,3,5,1849,SpecialEffect
610,280,1,3,4,1013,DamageEffect
611,281,1,3,4,1014,DamageEffect
616,285,1,1,3,108,BubbleEffect
620,278,1,3,4,1016,DamageEffect
627,293,1,3,4,1017,DamageEffect
629,290,1,3,4,1018,DamageEffect
630,290,2,3,4,1863,SpecialEffect
632,291,1,3,4,1019,DamageEffect
633,291,2,3,4,1865,SpecialEffect
635,292,1,3,4,1020,DamageEffect
636,292,2,3,4,1867,SpecialEffect
637,285,2,3,4,1872,SpecialEffect
638,285,3,3,4,1873,SpecialEffect
639,285,4,3,4,1023,DamageEffect
640,285,5,3,3,1874,SpecialEffect
641,286,1,3,3,2461,BuffEffect
