id,plot_id,position,name,source_update_method_id,target_update_method_id,target_update_method_param1,target_update_method_param2,target_update_method_param3,tickets,target_update_method_param4,target_update_method_param5,target_update_method_param6,target_update_method_param7,aoe_diminishing,target_update_method_param8,target_update_method_param9
1,1,2,시전,3,4,0,0,0,1,0,0,0,0,f,0,0
2,1,3,채널링 런치,3,4,1000,10,10000,1,5000,0,0,0,f,0,0
3,1,7,투사체,3,5,2891,10,0,1,0,0,3000,0,f,4,127
5,2,1,cast,3,4,0,0,0,1,0,0,0,0,f,0,0
6,2,2,first fire,3,4,0,0,0,1,0,0,0,0,f,0,0
7,2,3,first hit,3,4,0,0,0,1,0,0,0,0,f,0,0
8,2,4,second fire,3,6,1091,0,4,1,127,0,0,0,f,0,0
9,2,5,second hit,3,4,0,0,0,1,0,0,0,0,f,0,0
10,2,6,third fire,3,6,1092,0,4,1,127,0,0,0,f,0,0
11,2,7,third hit,3,4,0,0,0,1,0,0,0,0,f,0,0
12,3,1,cast,3,7,1093,0,0,1,0,0,0,4,f,127,0
13,3,2,fire,3,5,1094,20,0,1,0,0,0,0,f,4,127
14,3,3,hit,3,4,0,0,0,1,0,0,0,0,f,0,0
16,4,2,발사,3,4,0,0,0,1,0,0,0,0,f,0,0
17,4,3,피격1,3,4,0,0,0,1,0,0,0,0,f,0,0
18,4,4,다음 대상1,4,6,1095,0,4,1,127,0,0,0,f,0,0
23,7,1,시전,3,4,0,0,0,1,0,0,0,0,f,0,0
24,7,2,발사,3,4,0,0,0,1,0,0,0,0,f,0,0
25,7,5,높이추가,4,5,1096,0,0,5,0,1000,0,0,f,4,127
26,8,1,split,3,4,0,0,0,1,0,0,0,0,f,0,0
27,8,2,center,3,5,1097,10,1500,10,0,0,2000,0,f,4,127
28,8,3,left,3,5,1098,10,1500,10,10,0,2000,0,f,4,127
29,8,4,right,3,5,1099,10,1500,10,-10,0,2000,0,f,4,127
30,9,1,hit,3,7,1100,10,5000,10,2000,0,0,4,f,127,0
32,11,2,Start,3,5,1101,10,0,1,0,0,0,0,f,4,127
33,11,3,C_Hit01,3,5,1102,10,1250,1,0,0,5000,1,f,4,127
34,11,4,C_Hit02,3,5,1103,10,1500,1,0,0,5000,1,f,4,127
38,11,5,C_Hit03,3,5,1104,0,1500,1,0,0,5000,1,f,4,127
39,11,6,C_Hit04,3,5,1105,10,1500,1,0,0,5000,1,f,4,127
40,11,7,C_Hit05,3,5,1106,10,1500,1,0,0,5000,1,f,4,127
44,11,8,C_Hit06,3,5,1107,10,1500,1,0,0,5000,1,f,4,127
55,11,9,L_Hit01,3,5,1108,10,2384,1,33,0,5000,1,f,4,127
56,11,10,L_Hit02,3,5,1109,10,1500,1,-33,0,5000,1,f,4,127
57,11,11,L_Hit03,3,5,1110,10,1500,1,0,0,5000,1,f,4,127
58,11,12,L_Hit04,3,5,1111,10,1500,1,0,0,5000,1,f,4,127
59,11,13,L_Hit05,3,5,1112,10,1500,1,0,0,5000,1,f,4,127
60,11,14,R_Hit01,3,5,1113,10,2384,1,-33,0,5000,1,f,4,127
61,11,15,R_Hit02,3,5,1114,10,1500,1,33,0,5000,1,f,4,127
62,11,16,R_Hit03,3,5,1115,10,1500,1,0,0,5000,1,f,4,127
63,11,17,R_Hit04,3,5,1116,10,1500,1,0,0,5000,1,f,4,127
64,11,18,R_Hit05,3,5,1117,10,1500,1,0,0,5000,1,f,4,127
71,14,1,시전,1,2,0,0,0,1,0,0,0,0,f,0,0
73,14,2,발사,3,4,0,0,0,1,0,0,0,0,f,0,0
74,14,3,히트1,3,5,1118,10,1800,1,0,0,2000,1,f,4,127
75,14,4,히트2,1,5,1119,10,1800,1,30,0,0,1,f,4,127
76,14,5,히트3,1,5,1120,10,1800,1,60,0,2000,1,f,4,127
77,14,6,히트4,1,5,1121,10,1800,1,90,0,2000,1,f,4,127
78,14,7,히트5,1,5,1122,10,1800,1,120,0,2000,1,f,4,127
79,14,8,히트6,1,5,1123,10,1800,1,150,0,2000,1,f,4,127
80,14,9,히트7,1,5,1124,10,1800,1,180,0,2000,1,f,4,127
81,14,10,히트8,1,5,1125,10,1800,1,210,0,2000,1,f,4,127
82,14,11,히트9,1,5,1126,10,1800,1,240,0,2000,1,f,4,127
83,14,12,히트10,1,5,1127,10,1800,1,270,0,2000,1,f,4,127
84,14,13,히트11,1,5,1128,10,1800,1,300,0,2000,1,f,4,127
85,14,14,히트12,1,5,1129,10,1800,1,330,0,2000,1,f,4,127
86,15,2,캐스팅,3,4,0,0,0,1,0,0,0,0,f,0,0
87,15,3,발사,3,4,0,0,0,1,0,0,0,0,f,0,0
88,15,5,투사체1,4,5,1130,0,2500,1,0,0,5000,0,f,4,127
95,16,1,Start,3,4,3000,20,1000,1,0,0,3000,0,f,0,0
96,16,2,boom1,3,5,1131,20,3000,1,0,0,3000,0,f,4,127
97,16,7,boom6,3,5,1132,10,22000,1,0,0,3000,0,f,4,127
108,16,3,boom2,3,5,1133,10,22000,1,70,0,3000,0,f,4,127
109,16,4,boom3,3,5,1134,10,22000,1,160,0,3000,0,f,4,127
110,16,5,boom4,3,5,1135,10,22000,1,200,0,3000,0,f,4,127
111,16,6,boom5,3,5,1136,10,22000,1,290,0,3000,0,f,4,127
118,17,2,발동 첫방,3,4,5000,1,2000,1,0,0,2000,0,f,0,0
119,17,4,두방째부터,3,6,1137,1,4,4,39,0,2000,0,f,0,0
121,17,5,데미지,3,4,0,0,0,5,0,0,0,0,f,0,0
127,15,4,소스 대상 지정,1,2,0,0,0,1,0,0,0,0,f,0,0
138,19,1,casting,3,4,0,0,0,1,0,0,0,0,f,0,0
139,19,2,channeling,3,4,0,0,0,1,0,0,0,0,f,0,0
140,19,3,damage,3,4,0,0,0,5,0,0,0,0,f,0,0
141,19,4,change target,3,1,0,0,0,5,0,0,0,0,f,0,0
142,19,5,fx,3,7,1138,10,1000,5,2000,0,0,4,f,127,0
143,19,6,channeling end,3,4,0,0,0,1,0,0,0,0,f,0,0
144,19,7,bomb,3,4,0,0,0,1,0,0,0,0,f,0,0
145,4,5,피격2,3,4,0,0,0,1,0,0,0,0,f,0,0
146,4,7,피격3,3,4,0,0,0,1,0,0,0,0,f,0,0
158,4,9,피격4,3,4,0,0,0,1,0,0,0,0,f,0,0
159,4,11,피격5,3,4,0,0,0,1,0,0,0,0,f,0,0
160,4,6,다음 대상2,4,6,1139,0,4,1,127,0,0,0,f,0,0
161,4,8,다음 대상3,4,6,1140,0,4,1,127,0,0,0,f,0,0
162,4,10,다음 대상4,4,6,1141,0,4,1,127,0,0,0,f,0,0
176,7,4,실 대상 적용,3,7,1142,5,1000,5,3000,0,0,4,f,127,0
177,7,6,데미지,4,5,1143,1,0,5,0,0,0,0,f,4,127
178,7,3,소스 대상 지정,1,2,0,0,0,5,0,0,0,0,f,0,0
179,7,8,애니메이션 정지,3,4,0,0,0,1,0,0,0,0,f,0,0
189,15,7,데미지,3,5,1144,20,0,1,0,0,3000,0,t,4,127
197,5,1,start,3,4,0,0,0,1,0,0,0,0,f,0,0
198,5,2,front_left,3,5,1145,10,35000,1,-15,0,3000,0,f,4,127
199,5,3,front_right,3,5,1146,10,35000,1,15,0,3000,0,f,4,127
200,5,4,back_left,3,5,1147,10,35000,1,135,0,3000,0,f,4,127
201,5,5,back_rignt,3,5,1148,10,35000,1,225,0,3000,0,f,4,127
209,6,2,시전,3,4,0,0,0,1,0,0,0,0,f,0,0
210,6,3,발사,3,4,0,0,0,1,0,0,0,0,f,0,0
211,6,4,첫째 - 소스 대상 지정,1,2,0,0,0,10,0,0,0,0,f,0,0
212,6,5,첫째 - 피격 지역 (5M),3,7,1149,1,5000,1,5000,0,0,4,f,127,0
215,21,2,1st,3,5,1150,5,10000,1,0,0,3000,1,f,4,127
219,21,3,2nd,3,5,1151,5,20000,1,0,0,3000,1,f,4,127
220,21,4,3rd,3,5,1152,5,30000,1,0,0,3000,1,f,4,127
221,21,1,start,3,4,0,0,0,1,0,0,0,0,f,0,0
222,22,1,start,3,4,0,0,0,1,0,0,0,0,f,0,0
223,22,3,hit_14m,3,5,1153,10,42000,1,5,0,0,0,f,4,127
224,22,2,hit_8m,3,5,1154,10,30000,1,5,0,3000,0,f,4,127
225,23,1,start,3,4,0,0,0,1,0,0,0,0,f,0,0
226,23,3,hit_14m,3,5,1155,10,42000,1,355,0,0,0,f,4,127
227,23,2,hit_8m,3,5,1156,10,30000,1,355,0,3000,0,f,4,127
229,6,6,둘째 - 소스 대상 지정,1,2,0,0,0,10,0,0,0,0,f,0,0
231,6,7,둘째 - 피격 지역 (6M),3,7,1157,1,6000,1,5000,0,0,4,f,127,0
235,6,8,셋째 - 소스 대상 지정,1,2,0,0,0,10,0,0,0,0,f,0,0
237,6,9,셋째 - 피격 지역 (7M),3,7,1158,1,7000,1,5000,0,0,4,f,127,0
239,6,10,데미지 (5M),3,5,1159,1,0,10,0,500,0,0,t,4,127
246,1,5,소스 대상 설정,1,2,0,0,0,15,0,0,0,0,f,0,0
247,1,4,채널링 모션 지정,3,4,0,0,0,1,0,0,0,0,f,0,0
248,1,11,채널링 종료,3,4,0,0,0,1,0,0,0,0,f,0,0
257,13,1,11,1,2,0,0,0,1,0,0,0,0,f,0,0
258,13,2,1,3,5,1160,0,8507,1,-18,0,2000,0,f,4,127
259,13,4,2,3,5,1161,0,8507,1,144,0,2000,0,f,4,127
260,13,6,3,3,5,1162,0,8507,1,144,0,2000,0,f,4,127
263,13,7,44,1,2,0,0,0,1,0,0,0,0,f,0,0
264,13,9,55,1,2,0,0,0,1,0,0,0,0,f,0,0
265,13,3,22,1,2,0,0,0,1,0,0,0,0,f,0,0
266,13,5,33,1,2,0,0,0,1,0,0,0,0,f,0,0
268,13,8,4,3,5,1163,0,8507,1,144,0,2000,0,f,4,127
269,13,10,5,3,5,1164,0,8507,1,144,0,2000,0,f,4,127
270,13,12,마지막,3,5,1165,0,4480,1,162,0,2000,0,f,4,127
271,13,11,마지막 지정,1,2,0,0,0,1,0,0,0,0,f,0,0
272,13,13,효과,3,4,0,0,0,1,0,0,0,0,f,0,0
276,25,1,start,3,4,0,0,0,1,0,0,0,0,f,0,0
277,25,4,Left,3,5,1166,10,7000,1,-15,0,5000,0,f,4,127
278,25,5,Right,3,5,1167,10,7000,1,15,0,5000,0,f,4,127
279,26,1,start,3,4,0,0,0,1,0,0,0,0,f,0,0
280,26,2,1st,3,2,0,0,0,1,0,0,0,0,f,0,0
281,26,3,2nd,3,2,0,0,0,1,0,0,0,0,f,0,0
284,12,1,소스 지정,1,2,0,0,0,6,0,0,0,0,f,0,0
285,12,2,쏘기,3,5,1168,20,26000,6,0,4000,0,1,f,4,127
286,12,3,버프,3,4,0,0,0,1,0,0,0,0,f,0,0
289,27,1,start,3,4,5000,0,5000,1,90,0,0,1,f,0,0
290,27,2,back1,3,5,1169,10,7000,1,270,0,0,1,f,4,127
291,27,3,back2,3,5,1170,10,7000,1,180,0,0,1,f,4,127
292,27,4,back3,3,5,1171,10,7000,1,90,0,0,0,f,4,127
293,27,5,FrontSmash!,3,5,1172,10,10000,1,0,0,0,0,f,4,127
294,12,4,넘어짐,3,4,0,0,0,1,0,0,0,0,f,0,0
309,29,4,높이,3,5,1173,0,15000,3,0,15000,0,0,f,4,127
310,29,5,지역,4,7,1174,1,15000,3,0,0,0,4,f,127,0
313,29,6,copy of 높이,3,5,1175,0,15000,3,0,10000,0,0,f,4,127
314,29,7,Copy of 지역,4,7,1176,1,10000,3,0,0,0,4,f,127,0
315,29,8,Copy of Copy of 높이,3,5,1177,0,15000,1,0,15000,0,0,f,4,127
316,29,3,준비,1,2,0,0,0,3,0,0,0,0,f,0,0
318,30,3,준비,1,2,0,0,0,3,0,0,0,0,f,0,0
319,30,4,높이,3,5,1178,0,15000,3,0,15000,0,0,f,4,127
320,30,5,지역,4,7,1179,1,10000,3,0,0,0,4,f,127,0
321,30,6,Copy of 높이,3,5,1180,0,15000,3,0,10000,0,0,f,4,127
322,30,7,Copy of 지역,4,7,1181,1,10000,3,0,0,0,4,f,127,0
323,30,8,Copy of Copy of 높이,3,5,1182,0,15000,1,0,15000,0,0,f,4,127
