id,event_id,position,next_event_id,per_target,casting,delay,speed,channeling,casting_inc,add_anim_cs_time,casting_delayable,casting_cancelable,cancel_on_big_hit,use_exe_time,fail
1,1,1,2,f,t,2000,0,f,0,f,f,f,f,f,f
5,5,1,6,f,t,1500,0,f,0,f,f,f,f,f,f
6,6,1,7,f,f,200,50,f,0,f,f,f,f,f,f
7,6,2,8,f,f,400,0,f,0,f,f,f,f,f,f
8,8,1,9,f,f,200,50,f,0,f,f,f,f,f,f
9,8,2,10,f,f,400,0,f,0,f,f,f,f,f,f
10,10,1,11,f,f,200,50,f,0,f,f,f,f,f,f
11,12,1,13,f,t,1500,0,f,0,f,f,f,f,f,f
12,13,1,14,t,f,200,70,f,0,f,f,f,f,f,f
14,16,1,17,f,f,0,45,f,0,t,f,f,f,f,f
15,17,2,18,f,f,100,0,f,0,f,f,f,f,f,f
21,23,1,24,f,t,2000,0,f,11,f,f,f,f,f,f
22,24,1,178,f,f,200,0,f,0,t,f,f,f,f,f
23,26,1,27,f,f,0,0,f,0,f,f,f,f,f,f
24,26,2,28,f,f,0,0,f,0,f,f,f,f,f,f
25,26,3,29,f,f,0,0,f,0,f,f,f,f,f,f
26,27,1,27,f,f,200,0,f,0,f,f,f,f,f,f
27,28,1,28,f,f,200,0,f,0,f,f,f,f,f,f
28,29,1,29,f,f,200,0,f,0,f,f,f,f,f,f
29,30,1,30,f,f,500,0,f,0,f,f,f,f,f,f
30,32,1,33,f,f,500,0,f,0,f,f,f,f,f,f
31,33,1,34,f,f,50,0,f,0,f,f,f,f,f,f
35,34,1,38,f,f,100,0,f,0,f,f,f,f,f,f
36,38,1,39,f,f,150,0,f,0,f,f,f,f,f,f
37,39,1,40,f,f,200,0,f,0,f,f,f,f,f,f
43,40,1,44,f,f,250,0,f,0,f,f,f,f,f,f
44,32,2,55,f,f,600,0,f,0,f,f,f,f,f,f
45,55,1,56,f,f,50,0,f,0,f,f,f,f,f,f
46,56,1,57,f,f,100,0,f,0,f,f,f,f,f,f
47,57,1,58,f,f,150,0,f,0,f,f,f,f,f,f
48,58,1,59,f,f,200,0,f,0,f,f,f,f,f,f
50,60,1,61,f,f,50,0,f,0,f,f,f,f,f,f
51,61,1,62,f,f,100,0,f,0,f,f,f,f,f,f
52,62,1,63,f,f,150,0,f,0,f,f,f,f,f,f
53,63,1,64,f,f,200,0,f,0,f,f,f,f,f,f
54,32,3,60,f,f,600,0,f,0,f,f,f,f,f,f
63,71,1,73,f,t,500,0,f,0,f,f,f,f,f,f
64,73,1,74,f,f,0,0,f,0,f,f,f,f,f,f
65,73,2,75,f,f,50,0,f,0,f,f,f,f,f,f
66,73,3,76,f,f,100,0,f,0,f,f,f,f,f,f
67,73,4,77,f,f,150,0,f,0,f,f,f,f,f,f
68,73,5,78,f,f,200,0,f,0,f,f,f,f,f,f
69,73,6,79,f,f,250,0,f,0,f,f,f,f,f,f
70,73,7,80,f,f,300,0,f,0,f,f,f,f,f,f
71,73,8,81,f,f,350,0,f,0,f,f,f,f,f,f
72,73,9,82,f,f,400,0,f,0,f,f,f,f,f,f
73,73,10,83,f,f,450,0,f,0,f,f,f,f,f,f
74,73,11,84,f,f,500,0,f,0,f,f,f,f,f,f
75,73,12,85,f,f,550,0,f,0,f,f,f,f,f,f
76,86,1,87,f,t,2000,0,f,14,f,t,f,f,f,f
95,95,1,96,f,t,2300,0,f,0,f,f,f,f,f,f
123,118,1,1675,f,f,400,0,f,0,f,f,f,f,f,f
129,118,2,121,f,f,400,0,f,0,f,f,f,f,f,f
130,119,1,121,f,f,200,0,f,0,f,f,f,f,f,f
158,138,1,139,f,t,2000,0,f,0,f,f,f,f,f,f
159,139,1,140,f,f,1000,0,f,0,f,f,f,f,f,f
160,139,2,141,f,f,1000,0,f,0,f,f,f,f,f,f
161,139,3,143,f,f,5000,0,t,0,f,f,f,f,f,f
162,140,1,140,f,f,1000,0,f,0,f,f,f,f,f,f
163,141,1,142,f,f,0,0,f,0,f,f,f,f,f,f
164,142,1,141,f,f,1000,0,f,0,f,f,f,f,f,f
165,143,1,144,f,f,3000,0,f,0,f,f,f,f,f,f
166,145,2,160,f,f,100,0,f,0,f,f,f,f,f,f
178,158,2,162,f,f,100,0,f,0,f,f,f,f,f,f
180,18,1,145,f,f,0,60,f,0,f,f,f,f,f,f
183,160,1,146,f,f,0,60,f,0,f,f,f,f,f,f
184,161,1,158,f,f,0,60,f,0,f,f,f,f,f,f
185,162,1,159,f,f,0,60,f,0,f,f,f,f,f,f
186,146,2,161,f,f,100,0,f,0,f,f,f,f,f,f
210,25,1,178,f,f,100,0,f,0,f,f,f,f,f,f
