id,name,target_type_id
1,불의 비,0
2,사용 안되고 있음 : 칼의 화음,4
3,area fireball,0
4,연쇄번개,4
5,사방치기,0
6,화살 소나기,6
7,활력 가시,4
8,wave,0
9,step,6
11,대지 가르기,0
12,배 박치기,0
13,오방진,0
14,구)회오리 베기,0
15,심판의 창,6
16,마법진 폭발,0
17,폭풍 가르기,4
18,삭제 - 무중력 이펙트 테스트,0
19,channeling,4
20,정호꺼~~~~~~~~~~~~,6
21,먹물뿜기,0
22,오른 촉수,0
23,왼쪽 촉수,0
24,찌르기,0
25,내려치기,0
26,몬스터 스킬 - 2연타,4
27,휘둘러치기,0
28,테스트 - 무중력 공간,0
29,용무늬폭죽,0
30,하트무늬폭죽,0
31,광부 날틀,5
32,물수제비,6
33,로켓장화,0
34,테스트 - 물수제비,6
35,난사,0
36,날틀 난사,0
38,날틀 추진,0
39,마구치기,0
40,내려치기,0
41,포자 흩뿌리기,0
42,충격파,0
43,대지가르기,0
44,바위굴리기,0
46,끌어당긴 후 날려버리기,0
47,조은영NPC연출,0
48,날틀 불꽃,0
49,요가 프레임2,0
50,불꽃 바람(cbt4),0
51,집요한 추격과 먹물의 장막,0
52,테스트 - 이동 도약,0
53,배 점프,0
54,테스트 - 이동속도 증가2,0
55,회전공격,0
56,2연타 전진,0
58,내려치기,0
59,전장 날틀 추진,0
60,전장 날틀 난사,0
61,전장 날틀 난사,0
62,동부 테스트,0
65,바다 신의 손아귀,0
66,바다 신의 진격,0
68,크라켄 다리 휘두르기,0
70,쓰나미,0
73,활력탄환,4
74,바다 신의 유희,0
75,바다 신의 퇴각,0
76,용열매,0
77,두대드 소환 테스트,0
78,안개소환,0
79,도약 찍기,4
80,작살 테스트,13
81,촉수 내려치기,6
82,촉수 벌려치기,0
83,바다 신의 분노,0
84,4연발 단검,4
85,대지 가르기,0
86,꼬리치기,0
87,난동,0
88,분노의 돌진,0
89,석화 브레스,0
90,무지개 상승,0
91,죽음의 창 - 사용 안함,0
93,녹색 폭죽,0
94,붉은색 폭죽,0
