id,prefab_model_id,state_id,file_path
1,1,1,cga_loop://objects/item/weapon/trap_a/trap_a_normal.cga
2,1,5,cga://objects/item/weapon/trap_a/trap_a_die.cga
3,1,6,cga_loop://objects/item/weapon/trap_a/trap_a_dead.cga
4,2,1,prefab://Prefabs/siegefield.xml/prop.sepulcher
5,3,1,cgf://objects/Env/architecture/siege/siegeweapon/weaponhold/weaponhold.cgf
6,4,1,vegetation://objects/Env/natural/trees/tree_broadleaves/tree_oak_c_breakable_1.cgf
7,5,1,vegetation://objects/Env/natural/trees/tree_broadleaves/tree_oak_c_breakable_2.cgf
8,6,1,vegetation://objects/Env/natural/trees/tree_broadleaves/tree_oak_c_breakable.cgf
9,8,1,prefab://Prefabs/farmfield.xml/farmfield_1
10,9,1,prefab://Prefabs/farmfield.xml/farmfield_2
11,10,1,vegetation://objects/Env/natural/trees/tree_broadleaves/tree_broadleaves_test1.cgf
12,11,1,vegetation://objects/Env/natural/trees/tree_broadleaves/tree_broadleaves_test1.cgf
13,12,1,vegetation://objects/Env/natural/trees/spruce_a/spruce_a01.cgf
14,13,1,vegetation://objects/Env/natural/trees/pinetree/pinetree_a02_1.cgf
15,14,1,vegetation://objects/Env/natural/trees/pinetree/pinetree_a02_2.cgf
16,15,1,vegetation://objects/Env/natural/trees/pinetree/pinetree_a02.cgf
17,16,1,prefab://Prefabs/housing_house.xml/housing.housing_farmhouse
18,17,1,prefab://Prefabs/housing_house.xml/housing.housing_step1_farmhouse
19,18,1,prefab://Prefabs/housing_house.xml/housing.housing_step2_farmhouse
20,19,1,prefab://Prefabs/housing_house.xml/housing.housing_forge
21,20,1,prefab://Prefabs/housing_house.xml/housing.housing_step1_forge
22,21,1,prefab://Prefabs/housing_house.xml/housing.housing_step2_forge
23,22,1,prefab://Prefabs/siegefield.xml/castle.tower_1
24,23,1,cgf://objects/Env/architecture/siege/castle/hs_tower_a_door.cgf
25,24,1,prefab://Prefabs/siegefield.xml/castle.tower_2
26,25,1,cgf://objects/Env/architecture/siege/castle/hs_tower_a_door.cgf
27,26,1,prefab://Prefabs/siegefield.xml/castle.tower_3
28,27,1,cgf://objects/Env/architecture/siege/castle/hs_tower_a_door.cgf
29,28,1,prefab://Prefabs/siegefield.xml/castle.tower_4
30,29,1,cgf://objects/Env/architecture/siege/castle/hs_tower_a_door.cgf
31,30,1,prefab://Prefabs/siegefield.xml/castle.tower_5
32,30,5,prefab://Prefabs/siegefield.xml/castle.tower_5_falling
33,30,6,prefab://Prefabs/siegefield.xml/castle.tower_5_broken
34,31,1,cgf://objects/Env/architecture/siege/castle/hs_tower_brick.cgf
35,32,1,prefab://Prefabs/siegefield.xml/castle.wall
36,32,5,prefab://Prefabs/siegefield.xml/castle.wall_broken_01
37,32,6,prefab://Prefabs/siegefield.xml/castle.wall_broken_02
38,33,1,prefab://Prefabs/siegefield.xml/castle.wall_slope_2
39,33,5,prefab://Prefabs/siegefield.xml/castle.wall_slope_2_01
40,33,6,prefab://Prefabs/siegefield.xml/castle.wall_slope_2_02
41,34,1,prefab://Prefabs/siegefield.xml/castle.wall_slope_2_m
42,34,5,prefab://Prefabs/siegefield.xml/castle.wall_slope_2_m_01
43,34,6,prefab://Prefabs/siegefield.xml/castle.wall_slope_2_m_02
44,35,1,prefab://Prefabs/siegefield.xml/castle.wall_slope_4
45,35,5,prefab://Prefabs/siegefield.xml/castle.wall_slope_4_01
46,35,6,prefab://Prefabs/siegefield.xml/castle.wall_slope_4_02
47,36,1,prefab://Prefabs/siegefield.xml/castle.wall_slope_4_m
48,36,5,prefab://Prefabs/siegefield.xml/castle.wall_slope_4_m_01
49,36,6,prefab://Prefabs/siegefield.xml/castle.wall_slope_4_m_02
50,37,1,prefab://Prefabs/siegefield.xml/castle.wall_slope_6
