id,name,proj_physic_id,fx_group_id,dest_bone_id,src_bone_id,is_permanent,ignore_z_rotation
1,화염구 발사체,0,4,1,0,f,f
2,불꽃송이_발사체_1단계,0,5,19,0,f,f
3,얼음화살,0,222,19,0,f,f
4,제압,2,21,1,0,f,f
5,곤의 파편,0,18,0,0,f,f
6,빔,2,63,1,0,f,f
7,공성무기,1,68,0,0,f,f
8,스타더스트,3,70,0,0,f,f
9,화살,0,115,19,0,f,f
10,거미줄_proj,3,56,0,0,f,f
11,투명구,3,117,0,0,f,f
12,투명구유지,3,269,0,0,f,f
13,함선무기_proj,1,127,0,0,f,f
14,선박 갈고리_proj,1,131,0,0,f,f
15,신속한 시위,0,135,19,0,f,f
16,독 화살,0,138,19,0,f,f
17,빛의 화살,0,140,19,0,f,f
18,화살 소나기,1,141,0,0,f,f
19,추적,0,143,1,0,f,f
20,연속 쏘기,0,145,1,0,f,f
21,화살소나기낙하,3,277,0,0,f,f
22,가시올가미_proj,0,147,0,0,f,f
23,차원의 화살,0,163,1,0,f,f
24,나무정령투척,0,178,1,0,f,f
25,펫 치료_빔,2,191,1,0,f,f
26,올가미_proj,0,192,1,0,f,f
27,화염구2,0,194,1,0,f,f
28,화염구3,0,195,1,0,f,f
29,충격화살_발사체_1단계,0,244,19,0,f,f
30,포획_proj,0,378,19,0,f,f
31,무중력공간,3,227,0,0,f,f
32,원혼소환,3,238,0,0,f,f
33,마나장벽,3,275,0,0,f,f
34,투명구,3,269,0,0,f,f
36,메테오_proj,0,287,0,0,f,f
37,치유지역,3,302,0,0,f,f
38,염동력beam,2,305,19,8,f,f
39,mon_생기흡수_beam,2,315,19,9,f,f
40,mon_물총_발사체,0,321,1,0,f,f
41,mon_원소공격_발사체,0,325,19,0,f,f
42,mon_작살투척_발사체,0,328,19,0,f,f
43,mon_죽음의기운_발사체,0,331,1,0,f,f
44,mon_단검던지기_발사체,0,344,19,0,f,f
45,Doodad용 - 모닥불꽃(대형),3,345,0,0,f,f
46,Doodad용 - 모닥불꽃(소형),3,346,0,0,f,f
47,mon_도끼던지기_발사체,0,356,19,0,f,f
48,독가스살포,3,359,0,0,f,f
49,회오리바람,3,362,0,0,f,f
50,호수소용돌이,3,361,0,0,f,f
51,마법보호,3,275,0,0,f,f
