id,complete_component
2,86
7,143
8,147
9,117
11,173
14,216
18,280
19,327
20,503
21,510
22,519
23,611
24,612
25,641
28,729
32,904
33,905
34,904
35,907
36,938
37,939
38,967
39,968
40,991
41,1001
42,1010
45,266
46,275
47,275
48,277
49,1055
50,1078
51,1083
52,1100
53,1130
54,988
55,988
58,174
59,714
60,149
63,1286
64,1287
66,602
67,262
69,270
70,296
71,560
72,561
73,216
74,1316
82,658
87,692
99,1405
105,745
109,750
119,786
123,795
128,799
142,1000
149,1031
154,1037
155,1041
156,1053
158,1064
159,1066
178,1142
179,1143
187,1159
190,1325
193,1163
194,1167
195,1168
199,1173
204,1327
205,1181
208,1357
212,687
213,1187
222,1333
223,1334
224,1201
225,1202
230,315
234,326
239,352
240,360
242,362
244,391
250,408
251,409
252,410
256,438
257,438
258,444
259,448
261,1669
262,467
266,489
270,579
271,585
276,536
278,546
279,547
283,554
290,573
291,574
293,757
297,718
298,1354
302,1118
303,1118
307,1388
311,1398
312,1399
314,745
316,1411
317,1404
318,1406
319,11613
320,1428
321,1429
324,718
326,1558
328,1492
329,1503
330,1504
331,1457
332,1508
335,511
337,270
338,1318
339,1172
341,1173
342,1552
345,621
346,1019
349,1562
350,1541
351,1542
352,1543
354,532
356,352
357,343
358,394
360,586
361,1227
362,1233
363,1235
364,1240
365,1245
366,489
369,1619
370,1647
371,1652
375,487
376,1368
377,1369
378,1676
380,1681
382,192
383,24
384,25
386,1998
387,1689
388,2000
389,2007
390,2008
393,2387
395,2042
396,2057
397,2066
398,2112
399,2414
400,2411
401,2140
402,2153
403,2162
404,2253
405,2281
406,2013
407,2333
408,2341
409,2342
410,2348
411,2132
414,2036
415,2014
416,2404
418,2097
419,2102
420,2395
421,2108
422,1690
423,1711
424,1711
425,1738
426,1739
428,0
430,1787
431,1788
432,1761
435,2172
436,2320
438,2325
440,2480
443,2521
444,2569
445,2576
446,2592
447,2645
452,2765
453,2824
454,2830
456,2873
457,2895
463,3011
465,3040
468,3107
470,3142
473,3186
474,3265
477,1991
478,2795
480,2552
481,2552
498,3333
502,3349
504,3349
505,398
508,410
509,3355
510,3249
513,3918
514,3918
517,3620
518,2576
519,3630
525,2411
526,3974
527,2173
528,3992
530,4018
531,3644
532,3645
533,3644
534,3977
535,3989
536,4029
537,4028
540,4048
542,4050
543,3647
544,4051
545,3648
547,3651
548,4057
549,4058
550,470
551,3652
553,3664
555,460
558,3665
560,3679
562,3678
563,481
564,4088
565,3686
567,3684
570,2218
572,1767
573,1768
574,1769
575,1770
576,1721
577,1722
578,1723
579,1724
582,4159
583,2562
584,2795
585,4216
587,2964
589,3920
592,2951
593,2953
594,4322
595,4323
596,4325
597,4329
602,2326
603,3575
604,3431
606,3771
609,262
611,2094
613,2094
614,3345
615,4382
616,4383
617,3735
618,3735
619,4393
620,4394
622,3514
623,4423
624,3553
626,2979
627,2980
628,2981
629,2982
631,3006
633,3801
637,2206
638,4518
639,3240
641,3279
642,1728
643,1729
644,1730
645,1731
646,4532
647,4523
651,4319
654,3828
655,3829
656,2414
658,4559
659,3790
663,1761
664,2204
665,4595
666,4495
667,3388
668,3389
669,3390
670,3309
671,3450
672,4111
675,2497
676,4100
677,4676
678,4677
679,4678
680,4679
682,613
683,1379
684,4462
685,4724
686,4725
687,4779
688,4780
689,4780
690,4752
691,4806
692,4806
693,4828
695,4822
696,4791
697,4791
698,4803
699,4796
700,4795
701,4856
702,4932
706,4971
707,4985
711,5028
713,5068
714,5098
715,5103
717,5109
719,5122
720,4912
721,5200
722,5201
723,5202
724,5169
725,5175
729,5218
730,5224
731,5241
733,5243
736,5258
737,5260
738,5272
740,5370
742,5473
744,5538
745,5563
746,5404
747,5438
748,5273
750,5599
751,5600
752,5601
754,5611
755,5612
757,5619
759,5633
760,5634
761,5635
766,5691
767,5692
768,5693
770,5759
772,5817
774,5927
775,5937
776,6000
778,6031
781,6147
782,6156
783,6154
785,6181
786,6213
787,6214
789,6219
790,6210
791,6211
792,6249
793,6255
794,6260
795,6277
797,6282
798,6283
799,6284
800,6285
802,6343
803,5594
804,6340
807,5275
808,6367
810,6373
815,5666
816,6431
817,6445
818,6459
823,6525
830,6580
834,7466
846,142
848,6754
850,6858
852,6152
853,6952
854,6953
855,6972
856,6973
857,6974
858,6947
860,2840
864,7087
866,7089
868,7100
871,7110
875,3346
879,7179
883,7222
884,7244
887,7253
888,7252
889,7260
892,7278
893,7291
896,1215
899,7358
906,6942
908,7173
913,5601
914,6863
915,6907
916,7445
917,7447
919,5135
922,3543
933,4313
934,5614
935,141
938,8019
939,8020
940,470
941,8101
942,8199
949,8232
950,8366
954,1430
956,3509
957,7538
958,5670
960,8440
963,5093
965,6454
968,5361
969,14342
970,9833
972,10007
973,7371
975,11247
978,7173
982,11720
983,7123
987,15037
988,15268
990,15214
991,15215
996,9231
998,19291
999,19361
1001,19291
1006,21816
1007,17417
1008,23649
1009,23586
1011,25349
