id,npc_id
1,4829
2,4831
3,4830
4,4858
5,4827
6,4887
7,4832
8,4833
9,4834
10,4835
11,4836
12,4884
13,4837
15,4843
18,4838
19,4847
20,4840
21,4841
22,4842
23,4849
24,4850
25,4851
26,4853
27,4852
28,4856
29,4855
30,4888
32,4848
33,4574
34,4575
35,4684
36,4759
37,4726
38,4728
39,4729
41,4626
42,4628
43,4625
44,4621
45,4730
46,4596
47,4731
48,4598
51,4631
52,4632
53,4633
54,4727
55,4615
56,4732
57,5016
62,5112
63,5113
64,5014
65,5015
66,5023
67,5009
68,5020
69,5021
70,5022
71,5012
72,5031
73,5005
74,7214
75,5000
76,5001
77,5078
78,5080
79,5013
80,5006
81,5007
82,5008
83,7271
84,5088
85,5037
87,5018
88,5019
89,3150
90,3110
91,3330
92,3331
93,3328
94,7487
95,7488
96,3103
97,3307
99,7550
100,7551
101,7495
102,7496
103,7497
104,7498
105,3111
106,3179
107,3106
108,3140
109,3105
110,3136
111,3134
112,7420
113,7421
115,3349
116,3350
117,3354
119,3351
120,3356
121,3357
122,3358
123,3359
124,3360
125,3361
126,5777
130,3369
131,3370
132,3371
133,3366
134,3367
135,3368
136,506
137,503
138,3362
139,3365
140,3364
142,3489
143,3490
145,3469
146,7648
147,7674
148,3484
149,3497
150,7675
151,3451
152,3463
158,3676
159,7646
160,512
161,513
162,7625
163,522
164,523
165,524
166,627
167,3675
168,7813
169,7814
170,7815
171,556
173,526
174,507
177,527
178,528
179,529
180,530
181,4941
182,4942
184,533
185,534
186,535
188,537
191,542
192,543
193,544
194,545
195,636
200,454
201,453
202,538
203,539
204,540
205,541
206,546
207,547
208,549
209,550
210,551
211,552
214,2032
215,2033
216,2027
217,2052
218,2040
219,2041
220,2028
221,2016
222,2203
223,2080
224,2015
225,2043
226,2044
227,2202
228,2204
229,2205
230,2207
231,2013
232,2014
233,2036
234,2037
235,5719
236,2211
237,2038
239,3470
240,2233
242,2216
243,2217
244,2218
245,2213
246,2219
247,2231
248,3473
249,2122
250,7907
251,2230
252,2223
253,2224
254,2225
255,2226
256,2227
257,2229
258,2483
259,5661
260,2019
261,2050
262,2049
263,2051
264,2018
265,2047
266,2048
267,2017
268,2020
269,2021
270,2022
271,2024
272,2025
274,7673
276,3466
277,3467
278,3468
279,3465
280,3462
281,3464
282,5566
283,5567
284,3476
285,3477
286,3478
287,3479
288,7691
289,7692
290,7693
291,7694
292,7695
293,7696
294,7697
295,7698
296,7699
297,7700
298,7701
299,7702
304,3495
305,3453
306,3454
307,3455
308,3456
309,3457
310,3458
311,3459
312,8152
313,8153
314,3452
316,1857
317,1853
318,1854
319,1856
320,1850
321,1851
322,7052
323,6994
324,1861
325,1862
326,1915
327,6563
328,1855
329,1917
330,1872
331,1905
332,1871
333,1869
334,1858
335,1866
336,1867
337,1868
338,1916
339,8103
340,1873
341,1875
343,1878
344,1865
345,1863
346,1877
347,1903
348,1881
349,2496
350,2573
351,2514
353,2669
354,5199
355,2487
356,2490
357,2638
358,5258
359,2499
360,2518
361,2523
363,2510
364,2528
365,2495
366,2491
367,2506
368,2501
369,2502
370,2503
371,2497
372,2498
373,2493
374,2494
375,2517
376,2504
377,2505
378,7774
379,7781
385,8006
386,8005
387,1693
388,1695
389,1772
390,1782
391,1579
392,1611
393,1612
394,1763
395,1764
396,1631
397,1632
398,1633
399,1620
400,1621
401,1622
403,1597
404,1598
405,1599
411,1765
412,1766
413,1767
415,7955
416,7956
417,8200
418,8201
420,8083
421,8084
422,8085
423,4609
424,2904
425,671
426,672
428,698
429,703
430,704
431,731
432,732
433,789
434,779
435,811
436,835
437,836
438,837
439,838
440,839
441,678
442,692
443,693
444,5846
445,791
446,792
447,793
448,794
449,795
450,796
451,1845
452,8129
