id,npc_id
1,2467
4,81
5,1
6,444
7,673
8,629
9,444
11,901
12,902
13,903
14,484
15,7708
16,679
21,441
25,501
26,901
27,902
28,903
31,439
34,901
35,902
36,903
41,458
42,501
43,901
44,902
45,903
47,501
48,901
49,902
50,903
56,500
58,757
60,465
62,465
64,467
66,766
67,470
68,766
69,498
70,482
71,809
72,479
74,809
77,3512
78,479
79,479
80,495
81,501
82,901
83,902
84,903
85,463
87,624
88,3682
90,639
92,639
93,5848
94,5849
95,501
96,901
97,902
98,903
100,501
101,901
102,902
103,903
105,445
106,445
107,489
110,7653
112,489
114,3680
117,485
118,3515
119,570
121,699
124,730
125,3516
129,565
130,7651
133,3517
134,3593
136,567
149,3737
151,3822
156,3518
162,3526
164,576
165,589
169,7821
171,626
175,593
178,600
186,600
190,1
191,3527
195,618
199,600
202,6487
207,6488
217,3534
218,3535
219,3538
222,3542
223,564
224,3543
226,3542
228,437
230,3542
233,2071
234,5840
237,2072
238,2107
240,3515
241,7657
242,3520
243,3520
244,3542
248,440
249,440
250,439
251,753
256,3513
257,3596
258,2076
259,2074
260,673
261,2053
262,2124
265,2077
266,2086
267,2082
269,2082
270,2083
271,2082
272,2097
273,2106
274,2102
276,10765
277,2087
278,2086
281,2099
282,2100
284,2095
286,2105
288,730
290,639
292,3540
294,643
295,638
296,638
297,636
298,474
300,5157
301,3530
307,3523
308,3540
311,637
314,1
317,1
318,4984
320,2432
321,4948
322,2392
323,7528
324,2391
325,2422
327,2421
328,2421
329,2422
330,2423
332,4956
333,2425
334,2425
335,2425
336,2393
337,2393
338,2393
339,4973
340,2387
341,440
342,2429
343,2427
344,2430
345,2431
346,2432
347,2432
348,2399
349,2435
351,2420
353,7521
354,7520
357,2420
358,2419
359,2436
364,4971
365,2437
366,2413
367,2400
370,2433
371,2439
372,2439
373,4986
374,4952
376,2428
377,10504
378,2440
379,2440
380,2433
383,4958
384,4984
385,41
386,5121
387,903
389,41
390,2391
392,41
393,458
394,2427
395,41
396,41
399,2436
402,2438
404,2417
406,2438
422,640
424,1719
426,1717
427,41
429,1715
431,1713
432,41
434,1720
435,1720
437,641
439,1725
440,877
441,7769
442,41
443,41
444,1778
445,1779
446,4763
453,7779
456,1662
459,7924
463,7918
465,5193
468,643
470,7930
471,647
472,646
473,647
474,643
476,7899
484,2091
