id,sphere_id
3,3
4,5
9,27
20,49
25,5
35,101
48,120
65,228
73,228
82,33
100,149
103,27
106,336
109,344
110,355
112,375
120,417
132,470
133,486
136,478
138,481
140,496
142,228
144,506
147,507
162,5
166,857
168,204
180,211
185,1040
190,1092
196,1146
197,1147
198,1148
199,1150
201,1170
202,1172
204,1205
205,1212
206,1060
209,1148
210,1170
214,4
218,1274
219,1324
221,1377
222,1384
223,1424
225,1438
226,1439
227,1440
228,1453
229,1475
230,638
231,1482
232,1480
237,1525
239,1559
240,1560
241,1561
242,1563
243,1562
244,1565
245,1566
246,1567
247,1577
248,1568
249,1569
250,1570
251,1571
252,1572
253,1573
254,1574
255,1575
256,1576
257,1558
258,1557
259,1581
260,1582
261,1583
262,1584
263,1585
264,1586
265,1587
266,1588
267,1589
268,1590
269,1592
270,1593
271,1594
272,1595
273,1596
274,1597
275,1598
276,1599
277,1600
278,1601
279,1603
280,1604
281,1605
282,1606
283,1607
284,1608
285,1609
286,1610
287,1611
288,1612
289,1613
290,1614
291,1615
292,1616
293,1617
294,1618
295,1619
296,1620
297,1621
298,1622
299,1623
300,1624
301,1625
302,1626
303,1627
304,1628
305,1629
306,1630
307,1631
308,1632
310,1633
311,1634
312,1635
313,1636
314,1637
315,1638
316,1639
317,1640
318,1641
320,1642
322,1643
323,1644
324,1645
325,1646
326,1647
327,1648
328,1649
329,1650
330,1651
331,1652
332,1653
333,1654
334,1655
335,1656
336,1657
337,1658
338,1664
339,1665
340,1666
341,1667
342,1668
343,1669
344,1670
345,1671
346,1672
347,1674
348,1675
349,1676
350,1677
351,1678
352,1679
353,1680
354,1681
355,1682
356,1683
357,1684
358,1685
359,1686
360,1687
361,1688
362,1689
363,1690
364,1691
365,1692
366,1693
367,1694
368,1695
369,1699
370,1698
371,1700
372,1701
373,1702
374,1703
375,1704
376,1705
377,1706
378,1707
379,1719
380,1720
381,1721
382,1722
383,1723
384,1724
385,1725
386,1726
388,1727
389,1728
391,1729
392,1730
393,1731
394,1732
395,1733
396,1735
397,1736
398,1737
399,1738
400,1739
401,1740
402,1741
403,1742
404,1743
405,1744
406,1745
407,1746
408,1747
409,1748
410,1749
411,1673
412,1734
413,1751
414,1752
415,1753
416,1754
417,1755
418,1756
419,1757
420,1758
421,1759
422,1760
423,1761
424,1762
425,1763
426,1764
427,1765
428,1766
429,1767
430,1768
431,1769
432,1770
433,1771
434,1772
435,1773
436,1774
437,1775
438,1776
439,1777
440,1778
441,1779
442,1780
443,1781
444,1782
445,1783
446,1784
447,1785
448,1786
449,1787
450,1788
452,1789
453,1790
454,1791
455,1795
456,1796
457,1797
458,1797
459,1798
460,1800
461,1801
462,1802
463,1804
464,1805
465,1806
466,1807
467,1808
468,1809
469,1810
470,1811
471,1812
472,1813
473,1814
474,1815
475,1816
476,1817
477,1818
478,1819
479,1820
480,1821
481,1822
482,1823
483,1824
484,1825
485,1827
486,1849
487,1850
488,1851
489,1852
490,1853
491,1854
492,1855
494,1856
495,1857
496,1858
497,1859
498,1860
499,1861
500,1862
501,1863
502,1864
503,1865
504,1866
505,1867
506,1868
507,1869
508,1870
509,1871
510,1872
511,1873
512,1874
513,1875
514,1876
515,1877
516,1982
517,1992
518,1999
519,2008
520,1983
521,1993
522,2000
523,2009
524,1984
525,1994
526,2001
527,2010
528,1988
529,1995
530,2002
531,2011
532,1989
533,1996
534,2003
535,2012
536,1985
537,1997
538,2004
539,2013
540,1986
541,1998
542,2005
543,2014
544,1990
545,2006
546,1987
547,1991
548,2007
549,2021
550,2022
551,2023
552,2024
553,2025
554,2026
555,2027
556,2029
557,2030
558,2031
559,2032
560,2033
561,2034
562,2035
563,2036
564,2037
565,2038
566,2039
567,2041
568,2042
569,2043
570,2044
571,2045
572,2046
573,2047
574,2048
575,2049
576,2050
577,2051
578,2052
579,2053
580,2054
581,2055
582,2056
583,2057
584,2058
585,2059
586,2065
587,2066
588,2067
589,2068
590,2069
591,2070
592,2071
593,2072
594,2073
595,2074
596,2075
597,2076
598,2077
599,2078
600,2079
601,2080
602,2081
603,2082
604,2083
605,2084
606,2085
607,2086
608,2087
609,2088
610,2089
611,2090
612,2091
613,2092
614,2093
615,2094
616,2095
617,2096
618,2097
619,2098
620,2099
621,2100
622,2101
623,2102
624,2103
625,2104
626,2105
627,2106
628,2107
629,2108
630,2109
631,2110
632,2111
633,2112
634,2113
635,2114
636,2115
637,2116
638,2117
639,2118
640,2119
641,2121
642,2122
643,2123
644,2124
645,2125
646,2126
647,2127
648,2128
649,2129
650,2131
651,2134
652,1526
653,2174
654,2175
655,2177
656,2178
657,2180
658,2179
659,2181
660,2193
661,2194
662,2201
663,2202
664,2203
665,2206
667,2224
668,1150
669,2229
670,2230
671,2232
675,2236
676,2237
677,2238
