id,npc_id,use_alias,quest_act_obj_alias_id
1,1,f,0
3,81,f,0
4,673,f,0
5,1,f,0
8,444,f,0
10,901,f,0
11,902,f,0
12,903,f,0
13,484,f,0
17,680,f,0
22,440,f,0
24,629,f,0
25,441,f,0
26,487,f,0
27,699,f,0
28,730,f,0
29,5849,f,0
32,439,f,0
33,440,f,0
35,439,f,0
36,389,f,0
42,486,f,0
43,490,f,0
44,501,f,0
45,901,f,0
46,902,f,0
47,903,f,0
48,740,f,0
49,715,f,0
51,501,f,0
52,901,f,0
53,902,f,0
54,903,f,0
56,475,f,0
57,465,f,0
58,465,f,0
59,475,f,0
60,467,f,0
63,766,f,0
64,774,f,0
65,470,f,0
66,740,f,0
69,482,f,0
70,806,f,0
71,479,f,0
72,479,f,0
73,822,f,0
75,832,f,0
77,479,f,0
78,476,f,0
79,463,f,0
80,463,f,0
81,463,f,0
82,808,f,0
83,624,f,0
84,5931,f,0
86,639,f,0
87,639,f,0
88,824,f,0
90,809,f,0
91,400,f,0
93,5848,f,0
95,489,f,0
97,809,f,0
98,501,f,0
99,901,f,0
100,902,f,0
101,903,f,0
103,445,f,0
104,3512,f,0
105,445,f,0
106,445,f,0
108,445,f,0
111,569,f,0
112,489,f,0
113,3513,f,0
115,489,f,0
116,3514,f,0
117,5848,f,0
118,582,f,0
119,3680,f,0
120,485,f,0
122,485,f,0
125,570,f,0
126,700,f,0
127,3516,f,0
128,3516,f,0
129,730,f,0
131,570,f,0
132,400,f,0
133,586,f,0
137,3517,f,0
139,3673,f,0
141,3593,f,0
142,567,f,0
144,567,f,0
147,3728,f,0
150,3728,f,0
152,3746,f,0
154,3737,f,0
158,5329,f,0
160,3520,f,0
164,576,f,0
165,591,f,0
166,589,f,0
167,589,f,0
168,600,f,0
169,590,f,0
170,600,f,0
172,593,f,0
173,626,f,0
175,593,f,0
176,400,f,0
177,569,f,0
178,400,f,0
179,600,f,0
180,3670,f,0
181,570,f,0
185,740,f,0
188,437,f,0
189,3526,f,0
190,3526,f,0
191,604,f,0
192,1,f,0
196,475,f,0
197,593,f,0
198,593,f,0
199,618,f,0
201,600,f,0
202,3529,f,0
204,3530,f,0
205,622,f,0
206,6487,f,0
207,3530,f,0
209,617,f,0
210,3990,f,0
211,617,f,0
212,617,f,0
213,617,f,0
214,6489,f,0
216,617,f,0
217,6536,t,2707
218,673,f,0
219,3532,f,0
220,3532,f,0
221,437,f,0
222,3535,f,0
223,3535,f,0
224,3538,f,0
227,3537,f,0
228,3542,f,0
230,3543,f,0
231,3547,f,0
232,8141,f,0
235,3542,f,0
236,3679,f,0
237,3542,f,0
238,3679,f,0
239,6490,f,0
241,3738,f,0
242,766,f,0
243,3820,f,0
245,2072,f,0
247,570,f,0
248,2071,f,0
250,2107,f,0
251,2072,f,0
252,3515,f,0
254,740,f,0
256,809,f,0
258,5329,f,0
259,3518,f,0
260,3518,f,0
261,3520,f,0
264,3532,f,0
266,3539,f,0
267,569,f,0
268,680,f,0
270,3543,f,0
272,3837,f,0
273,3818,f,0
275,809,f,0
277,774,f,0
279,9993,f,0
280,753,f,0
283,11189,f,0
285,3817,f,0
286,3679,f,0
287,618,f,0
290,3515,f,0
293,2074,f,0
294,680,f,0
295,2074,f,0
297,2079,f,0
298,2093,f,0
299,2077,f,0
301,2107,f,0
303,2077,f,0
304,2112,f,0
305,2082,f,0
306,2082,f,0
307,2083,f,0
308,2082,f,0
309,2083,f,0
310,2082,f,0
311,2106,f,0
312,2102,f,0
313,2101,f,0
315,2087,f,0
316,2086,f,0
318,2099,f,0
319,2100,f,0
320,3515,f,0
321,2095,f,0
322,2095,f,0
323,2099,f,0
325,2102,f,0
326,2078,f,0
327,2097,f,0
328,2102,f,0
329,3512,f,0
330,5850,f,0
331,764,f,0
333,640,f,0
334,3540,f,0
335,3542,f,0
336,3527,f,0
337,3529,f,0
338,3529,f,0
341,641,f,0
342,564,f,0
343,582,f,0
345,640,f,0
346,619,f,0
348,444,f,0
349,458,f,0
350,3816,f,0
351,629,f,0
352,3530,f,0
353,7663,f,0
354,5157,f,0
355,3602,f,0
356,3593,f,0
358,3534,f,0
359,3605,f,0
361,3985,f,0
362,637,f,0
363,637,f,0
365,3520,f,0
367,3542,f,0
368,3596,f,0
369,637,f,0
370,637,f,0
371,3512,f,0
372,3516,f,0
373,1,f,0
374,3546,f,0
375,3515,f,0
377,629,f,0
378,1,f,0
379,440,f,0
381,4984,f,0
382,41,f,0
383,2387,f,0
384,4965,f,0
385,2392,f,0
386,7528,f,0
387,2391,f,0
388,441,f,0
389,2422,f,0
390,2421,f,0
391,2422,f,0
392,2422,f,0
393,2421,f,0
394,2423,f,0
395,2423,f,0
396,2423,f,0
398,2425,f,0
399,2425,f,0
400,2425,f,0
401,2393,f,0
402,2393,f,0
403,2387,f,0
404,2429,f,0
405,2427,f,0
407,2427,f,0
408,2429,f,0
409,2431,f,0
410,2430,f,0
411,2432,f,0
412,2432,f,0
413,2399,f,0
414,2435,f,0
415,2433,f,0
416,2420,f,0
417,10506,f,0
418,7521,f,0
419,7520,f,0
420,2420,f,0
421,2419,f,0
422,2436,f,0
423,2437,f,0
424,2437,f,0
427,2433,f,0
428,2413,f,0
429,2438,f,0
430,2801,t,2713
431,4971,f,0
432,2439,f,0
433,2439,f,0
434,2439,f,0
436,4952,f,0
437,4971,f,0
438,2428,f,0
439,10504,f,0
440,2440,f,0
441,2440,f,0
444,4958,f,0
446,4971,f,0
447,4984,f,0
448,4971,f,0
449,903,f,0
450,41,f,0
451,441,f,0
452,458,f,0
453,458,f,0
454,456,f,0
456,2391,f,0
458,639,f,0
459,62,f,0
461,2437,f,0
462,2437,f,0
463,41,f,0
464,41,f,0
465,4968,f,0
466,1830,f,0
467,1829,f,0
468,1836,f,0
469,641,f,0
470,2417,f,0
471,5328,f,0
472,2438,f,0
473,4963,f,0
474,2440,f,0
475,4964,f,0
476,2417,f,0
477,4965,f,0
478,3678,f,0
479,3086,f,0
480,3080,f,0
485,4752,f,0
486,2440,f,0
488,4958,f,0
489,4956,f,0
490,641,f,0
491,639,f,0
492,640,f,0
494,1714,f,0
495,1715,f,0
496,1719,f,0
497,1713,f,0
498,7944,f,0
499,41,f,0
500,7923,f,0
501,1715,f,0
502,41,f,0
503,4758,f,0
504,1720,f,0
506,4751,f,0
507,1713,f,0
508,1721,f,0
509,3995,f,0
510,641,f,0
511,1724,f,0
512,461,f,0
513,643,f,0
514,7769,f,0
515,41,f,0
516,41,f,0
517,1778,f,0
518,1713,f,0
520,4764,f,0
521,1727,f,0
523,7772,f,0
524,4765,f,0
525,1733,f,0
526,1728,f,0
527,1729,f,0
529,7779,f,0
530,1730,f,0
531,1732,f,0
532,1738,f,0
533,7924,f,0
534,1736,f,0
535,1736,f,0
536,1660,f,0
537,1651,f,0
538,1741,f,0
539,5193,f,0
540,1743,f,0
541,1743,f,0
542,643,f,0
544,1741,f,0
545,7931,f,0
546,1741,f,0
547,647,f,0
548,646,f,0
549,647,f,0
550,643,f,0
551,2802,f,0
552,1748,f,0
553,4765,f,0
554,7801,f,0
555,1750,f,0
556,1748,f,0
557,1751,f,0
559,444,f,0
560,1747,f,0
561,1751,f,0
564,1751,f,0
565,2091,f,0
566,4773,f,0
567,2092,f,0
568,2088,f,0
571,4764,f,0
573,2961,f,0
574,2961,f,0
575,2092,f,0
576,7143,f,0
577,5079,f,0
578,5081,f,0
579,5038,f,0
580,5063,f,0
581,5038,f,0
583,5061,f,0
584,5057,f,0
585,5056,f,0
586,5067,f,0
587,5059,f,0
588,5039,f,0
589,5034,f,0
590,5041,f,0
