id,item_id,count,highlight_doodad_id,cleanup
2,14528,1,2573,t
3,14527,1,2572,t
4,14317,1,1576,t
6,15773,1,2366,t
7,15774,1,2367,t
8,15775,1,2368,t
9,15776,1,2369,t
10,14136,8,1522,t
11,16172,5,2636,t
12,5189,1,1138,t
13,5251,1,1196,t
14,5252,1,1197,t
15,16249,1,,f
22,17611,1,,f
24,5197,4,1132,t
26,15284,1,,t
27,5140,3,,t
29,17861,1,,f
31,16416,1,,f
32,17996,1,,f
33,17997,1,,f
34,14864,5,,t
35,1843,1,1352,t
40,16296,1,,t
42,4000,1,713,t
44,15555,1,,t
45,18057,1,3261,f
46,14882,1,,t
48,14883,1,,t
50,18156,1,,f
51,18155,1,,f
52,18154,1,,f
53,18153,1,,f
54,3950,1,839,t
55,3950,1,839,t
56,3951,1,,t
57,16236,1,,f
59,4958,1,,f
62,18648,1,,t
64,18668,1,,t
66,17341,5,3437,t
67,18692,8,,t
68,18688,1,,t
69,19036,1,,t
70,19561,1,3806,t
73,19627,5,3899,t
74,19574,1,,t
75,19809,1,,t
78,19630,1,3801,t
90,19880,1,,t
91,19629,5,,t
93,19999,3,4087,t
95,20146,1,4279,t
96,19571,1,,t
97,4977,1,,t
98,4967,1,,t
99,21289,1,,t
100,21288,1,,t
102,17676,1,3043,t
103,17677,1,3045,t
104,17678,1,3044,t
110,15949,1,,t
113,23395,3,,t
117,23411,1,4557,t
119,24321,1,5004,t
127,25326,1,5529,t
129,25327,1,5531,t
130,25327,1,5531,t
131,25326,1,5529,t
135,23402,1,4548,t
138,15977,5,2547,t
139,18987,3,,t
140,26113,1,,t
141,18704,1,,t
144,23395,3,,t
145,25737,1,5707,t
146,25737,1,5707,t
147,26311,1,5970,t
149,26399,1,3851,t
150,26388,1,,t
153,4031,1,,t
154,26786,1,6161,t
156,27307,1,6407,t
157,27372,1,6411,t
158,28149,1,6732,t
159,28407,1,6775,t
167,29439,1,,t
168,29446,1,,t
171,29967,1,,t
