id,range,rank1,rank2,rank3,rank1_ratio,rank2_ratio,rank3_ratio,rank1_item,rank2_item,rank3_item,use_alias,quest_act_obj_alias_id
1,50,25,75,,100,0,,t,f,f,f,1950
4,30,10,20,30,100,50,30,f,f,f,t,1965
5,30,10,20,70,100,50,30,f,f,f,t,1969
6,50,10,20,70,100,50,30,f,f,f,t,1998
7,50,10,20,50,100,50,30,f,f,f,t,2001
8,50,10,20,70,100,50,30,f,f,f,t,2002
9,20,10,30,90,100,50,20,f,f,f,t,2033
10,50,55,70,90,100,50,10,f,f,f,t,2035
11,50,55,70,90,100,50,10,f,f,f,t,2036
12,30,50,0,0,100,0,0,f,f,f,f,0
13,50,50,70,90,100,60,40,f,f,f,t,2111
14,50,50,70,90,100,60,40,f,f,f,t,2123
15,50,10,20,50,100,50,0,t,f,f,t,2124
16,50,10,20,50,100,50,30,t,f,f,t,2125
17,50,10,20,50,100,50,30,t,f,f,t,2126
18,100,10,20,50,100,50,30,t,f,f,t,2127
20,50,10,20,50,100,50,0,t,f,f,t,2130
21,50,10,30,50,100,70,50,f,f,f,t,2135
22,30,10,20,70,100,70,30,t,t,f,t,2154
23,50,55,70,90,100,50,10,f,f,f,t,2159
24,50,30,60,90,100,50,10,t,t,t,t,2182
27,10,10,30,50,100,50,20,f,f,f,t,2235
28,50,10,0,0,100,0,0,f,f,f,f,0
29,50,10,20,50,100,50,0,t,f,f,t,2358
33,50,70,30,0,100,0,0,t,f,f,t,2615
34,50,70,30,0,100,0,0,t,f,f,t,2626
35,70,70,30,0,100,0,0,t,f,f,t,2627
36,500,70,30,0,100,0,0,t,f,f,t,2629
37,50,70,30,0,100,0,0,t,f,f,t,2634
38,50,70,30,0,100,0,0,t,f,f,t,2635
39,50,70,30,0,100,0,0,t,f,f,t,2636
40,50,10,50,40,100,50,20,t,t,f,t,2709
41,50,10,50,40,100,50,20,t,t,f,t,2711
42,50,10,50,40,100,50,20,t,t,f,t,2714
