id,quest_id,accept_with,use_alias,quest_act_obj_alias_id
1,10,t,f,0
2,15,t,f,0
3,4591,t,t,1900
4,4417,f,f,0
5,4419,f,f,0
6,4419,f,f,0
8,5053,t,f,0
9,5815,f,f,0
10,5816,f,f,0
11,5817,f,f,0
12,5818,f,f,0
13,5819,f,f,0
14,5822,f,t,2569
15,5823,f,t,2570
16,5824,f,t,2571
17,5825,f,t,2573
18,5826,f,t,2572
19,4445,f,f,0
20,4446,f,f,0
21,5827,f,t,2576
22,5828,f,t,2577
23,5829,f,t,2578
24,5830,f,t,2579
25,5831,f,t,2580
26,5832,f,t,2581
27,5833,f,t,2582
28,5834,f,t,2583
29,5835,f,t,2584
30,5836,f,t,2585
31,5837,f,t,2586
32,5838,f,t,2587
33,5839,f,t,2588
34,5840,f,t,2589
35,5841,f,t,2590
37,5842,f,t,2592
38,5843,f,t,2593
39,5844,f,t,2594
40,5845,f,t,2595
41,5846,f,t,2596
42,5847,f,t,2597
43,5848,f,t,2598
44,5849,f,t,2599
45,5850,f,t,2600
46,5851,f,t,2601
47,5852,f,t,2602
48,5853,f,t,2603
49,5854,f,t,2604
50,5855,f,t,2605
51,5856,f,t,2606
52,5822,f,t,2610
53,5823,f,t,2611
54,5826,f,t,2612
55,5857,f,t,2613
56,5858,f,t,2614
57,5826,f,t,2617
58,5863,f,t,2618
59,5864,f,t,2619
60,5865,f,t,2620
61,5866,f,t,2621
62,5918,f,t,2644
63,5919,f,t,2645
64,5920,f,t,2646
65,5921,f,t,2647
66,5922,f,t,2648
