id,wi_id,count,doodad_id,use_alias,team_share,highlight_doodad_id,quest_act_obj_alias_id,phase
1,0,1,724,f,f,0,,0
4,19,1,787,f,f,0,,0
6,19,1,838,f,f,0,,0
7,0,1,683,f,f,0,,0
12,19,1,687,t,f,687,1,0
13,19,3,687,f,f,0,,0
15,19,1,688,f,f,0,,0
16,19,3,690,f,f,0,,0
18,19,1,676,f,f,0,,0
23,19,1,818,f,f,0,,0
30,19,1,684,f,f,0,,0
32,0,1,692,f,f,0,,0
33,19,1,855,t,t,855,2,0
40,0,1,786,f,f,0,,0
41,0,1,792,f,f,0,,0
42,0,1,793,f,f,0,,0
45,19,1,682,f,f,0,,0
49,19,1,816,f,f,0,,0
51,19,1,790,f,f,0,,0
56,19,1,696,f,f,0,,0
58,19,1,729,f,f,0,,0
59,19,1,2880,t,f,2880,4,0
60,0,1,892,f,f,0,,0
63,19,1,893,f,f,0,,0
64,0,1,724,f,f,0,,0
67,19,1,920,t,f,0,6,0
68,19,1,937,t,f,0,7,0
69,0,1,923,t,f,0,8,0
70,0,1,924,t,t,924,9,0
72,19,1,940,t,t,0,10,0
74,0,1,988,f,f,0,,0
75,0,1,989,f,f,0,,0
78,19,1,1004,f,t,0,,0
79,19,1,925,t,t,0,11,0
80,19,1,1030,t,t,0,12,0
84,1,3,371,f,t,0,,0
88,19,1,1024,f,t,0,,0
89,0,1,,f,f,0,,0
94,19,5,705,t,t,705,14,0
97,19,1,1065,f,t,0,,0
99,19,1,1067,t,f,0,16,0
101,0,1,1087,f,t,0,,0
103,19,1,1099,t,f,0,18,0
104,19,1,1100,f,f,0,,0
105,19,1,1101,f,f,0,,0
106,19,1,1102,f,f,1102,,0
107,19,1,1051,f,t,1051,,0
109,19,1,1098,t,f,1098,19,0
111,19,1,1106,f,t,0,,0
113,19,1,1056,f,f,0,,0
115,19,1,1122,t,t,1122,694,0
116,19,1,1123,t,t,1123,693,0
121,19,1,1054,t,t,0,20,0
122,19,1,1205,t,f,1205,2048,0
123,19,1,1113,t,t,,475,0
124,19,1,1053,f,f,1053,,0
126,19,1,925,t,t,0,21,0
128,19,1,1140,t,t,0,22,0
130,19,1,1142,f,t,0,,0
131,19,1,1141,t,t,0,23,0
134,19,1,1299,t,t,1299,24,0
137,19,1,1155,t,t,1155,25,0
138,19,1,1156,t,t,1156,26,0
140,19,1,1099,t,f,0,27,0
141,19,1,1088,t,f,1088,28,0
143,0,1,1199,f,t,1199,,0
