id,item_id,count,highlight_doodad_id,use_alias,quest_act_obj_alias_id,cleanup,drop_when_destroy,destroy_when_drop
3,13739,8,914,t,444,t,f,t
4,1317,1,0,f,,t,f,t
6,1847,1,0,f,,t,f,t
12,14930,7,,f,,t,f,t
13,3,1,0,f,,t,f,f
17,1328,1,0,f,,t,f,t
18,1326,1,0,f,,t,f,t
19,2658,1,0,f,,t,f,t
21,2659,1,0,f,,t,f,t
24,1843,3,0,f,,t,f,t
27,1329,1,0,f,,t,f,t
29,1466,5,0,f,,t,f,t
30,2142,1,0,f,,t,f,t
31,1319,1,0,f,,t,f,t
32,1322,1,0,f,,t,f,t
33,2729,1,0,f,,t,f,t
36,2732,5,0,f,,t,f,t
44,2746,1,0,f,,t,f,t
46,2749,1,726,f,,t,f,t
47,2750,1,0,f,,t,f,t
52,1443,8,0,f,,t,f,t
53,14626,8,,f,,t,f,t
54,3742,3,0,f,,t,f,t
55,1432,12,0,f,,t,f,t
56,1433,5,0,f,,t,f,t
57,1434,1,0,f,,t,f,t
58,1434,5,2954,f,,t,f,t
60,1445,1,0,f,,t,f,t
63,3898,1,0,f,,t,f,t
64,2192,1,0,f,,t,f,f
66,3903,1,854,f,,t,f,t
68,1327,1,0,f,,t,f,t
70,1458,6,0,f,,t,f,t
71,1459,1,0,f,,t,f,t
72,3906,3,689,f,,t,f,t
73,1460,5,677,t,531,t,f,t
74,1461,1,0,f,,t,f,t
75,1462,1,0,f,,t,f,t
76,4705,1,0,f,,t,f,t
77,3908,1,0,f,,t,f,t
78,5160,1,0,f,,t,f,t
79,5161,1,0,f,,t,f,t
80,3583,5,0,f,,t,f,f
81,3576,5,0,f,,t,f,f
82,3914,1,0,f,,t,f,t
85,3917,8,,f,,t,f,t
86,3918,1,0,f,,t,f,t
90,3938,1,0,f,,t,f,t
92,1843,8,0,f,,t,f,t
93,3892,3,0,f,,t,f,t
94,17471,5,2961,f,539,t,f,t
95,3990,1,704,t,1750,t,f,t
96,3991,5,,t,1751,t,f,t
104,2765,1,0,f,,t,f,t
105,1324,1,0,f,,t,f,t
107,1425,1,0,f,,t,f,t
108,2737,1,0,f,,t,f,t
109,2738,1,0,f,,t,f,t
110,1323,1,0,f,,t,f,t
111,3918,1,0,f,,t,f,t
122,3915,1,0,f,,t,f,t
123,4012,1,0,f,,t,f,t
125,4013,1,0,f,,t,f,t
129,3997,5,874,t,610,t,f,t
130,4005,8,,t,1735,t,f,t
132,4008,5,712,t,1732,t,f,t
133,4007,5,710,t,538,t,f,t
134,4003,5,708,f,,t,f,t
136,4056,1,0,f,,t,f,f
139,4703,1,0,f,,t,f,t
140,4172,10,0,f,,t,f,t
141,4175,1,0,f,,t,f,t
142,4175,1,0,f,,t,f,t
143,3902,1,0,f,,t,f,t
144,2724,1,0,f,,t,f,t
145,2759,1,0,f,,t,f,t
146,5057,1,4364,f,,t,f,t
147,3811,1,,f,,t,f,t
148,3480,1,0,f,,t,f,f
149,2746,1,0,f,,t,f,t
150,8131,5,,f,,t,f,t
151,4839,1,0,f,,t,f,t
152,4878,1,908,t,536,t,f,t
153,1598,1,0,f,,t,f,t
154,4840,1,0,f,,t,f,t
155,4841,1,0,f,,t,f,t
156,4909,1,0,f,,t,f,t
158,4840,1,0,f,,t,f,t
159,4841,1,0,f,,t,f,t
160,1328,1,0,f,,t,f,t
163,4946,5,,f,,t,f,t
164,4948,1,,f,,t,f,t
167,4955,5,0,f,,t,f,t
169,7742,1,0,f,,t,f,t
170,24550,1,,t,1843,t,f,t
171,4962,1,0,f,,t,f,t
172,4963,1,0,f,,t,f,t
173,4964,1,0,f,,t,f,t
176,4960,1,0,f,,t,f,t
177,4973,1,0,f,,t,f,t
178,4970,3,927,f,,t,f,t
179,5295,3,933,f,,t,f,t
180,4989,1,0,f,,t,f,t
181,4976,1,0,f,,t,f,t
182,4979,1,0,f,,t,f,t
183,4978,3,935,f,,t,f,t
186,24554,1,993,f,,t,f,t
192,5008,1,0,f,,t,f,t
193,888,1,0,f,,t,f,f
194,888,1,0,f,,t,f,f
195,5017,1,0,f,,t,f,t
198,5051,8,,t,492,t,f,t
199,5050,8,,f,,t,f,t
201,5023,8,,f,676,t,f,t
202,5027,1,0,f,,t,f,t
203,8065,3,0,f,,t,f,f
205,5028,8,0,f,,t,f,t
206,5035,5,2952,t,519,t,f,t
207,5227,12,0,f,,t,f,t
208,5032,30,0,f,,t,f,t
209,5033,1,1020,f,,t,f,t
210,5063,3,,f,,t,f,t
211,5038,1,0,f,,t,f,t
212,5062,5,,f,,t,f,t
213,5042,5,0,f,,t,f,t
214,4001,5,,t,1743,t,f,t
217,5078,1,0,f,,t,f,t
218,5119,5,1042,t,194,t,f,t
219,5118,5,0,f,,t,f,t
226,5131,8,,f,,t,f,t
227,5135,1,0,f,,t,f,t
228,5138,1,,f,,t,f,t
229,5079,1,0,f,,t,f,t
230,4002,1,,t,1738,t,f,t
235,17905,12,,f,,t,f,t
236,3604,1,,t,1740,t,f,t
237,3516,8,0,f,,t,f,t
238,5082,8,1047,f,,t,f,t
240,5156,1,0,f,,t,f,t
241,8148,1,0,f,,t,f,t
242,8149,1,0,f,,t,f,t
243,8150,1,0,f,,t,f,t
245,5091,1,1050,t,687,t,f,t
247,3557,3,421,f,,t,f,f
248,5094,1,0,f,,t,f,t
249,5095,3,0,f,,t,f,t
251,5112,1,0,f,,t,f,t
252,5111,1,0,f,,t,f,t
253,4058,3,0,f,,t,f,t
254,17244,1,,f,,t,f,t
255,5160,1,0,f,,t,f,t
257,5161,1,0,f,,t,f,t
258,5181,8,1043,f,,t,f,t
259,5185,1,0,f,,t,f,t
260,4058,3,0,f,,t,f,t
261,5067,3,1040,f,,t,f,t
262,5067,1,1041,f,,t,f,t
264,5167,1,0,f,,t,f,t
265,2737,1,0,f,,t,f,t
266,5077,1,0,f,,t,f,t
267,3516,2,,t,1741,t,f,t
268,5096,1,1054,f,,t,f,t
269,5096,1,0,f,,t,f,t
271,5186,3,1108,f,,t,f,t
273,5224,1,0,f,,t,f,t
274,5226,8,,f,,t,f,t
275,5225,8,0,f,,t,f,t
276,24386,1,1111,t,1811,t,f,t
277,5188,1,1120,f,,t,f,t
278,5190,1,,t,1756,t,f,t
279,24387,1,1198,t,1763,t,f,t
280,4951,1,0,f,,t,f,t
284,8034,3,374,f,,t,f,f
285,5195,10,0,f,,t,f,t
286,5247,1,1192,f,,t,f,t
287,5248,1,1193,f,,t,f,t
288,5249,1,1194,f,,t,f,t
289,5250,1,1232,f,,t,f,t
290,5315,1,0,f,,t,f,t
292,5177,1,0,f,,t,f,t
293,13810,5,1346,f,,t,f,t
295,5261,1,0,f,,t,f,t
296,1509,1,0,f,,t,f,t
297,5264,5,,f,,t,f,t
299,21599,1,,f,,t,f,t
300,5194,12,1115,f,,t,f,t
301,8025,10,1114,f,,t,f,t
302,21555,1,,f,,t,f,t
304,5267,5,1119,t,523,t,f,t
305,5204,1,0,f,,t,f,t
306,5160,1,0,f,,t,f,t
307,5161,1,0,f,,t,f,t
308,5267,1,0,f,,t,f,t
309,5198,1,1132,t,522,t,f,t
310,5199,10,0,f,,t,f,t
311,5269,10,,f,,t,f,t
312,5270,10,,f,,t,f,t
313,5271,10,,f,,t,f,t
314,14749,1,,f,,t,f,t
315,5206,1,0,f,,t,f,t
316,5161,1,0,f,,t,f,t
317,5291,1,0,f,,t,f,t
318,5161,1,0,f,,t,f,t
321,5092,1,1049,f,,t,f,t
323,4992,1,0,f,,t,f,t
327,8087,8,,t,524,t,f,t
328,8088,12,0,f,,t,f,t
329,5048,1,926,f,,t,f,t
330,5095,3,1052,f,,t,f,t
331,8089,1,0,f,,t,f,t
332,5179,1,0,f,,t,f,t
333,14973,5,,f,,t,f,t
335,5112,1,1207,f,,t,f,t
337,5113,1,0,f,,t,f,t
338,14843,5,700,f,,t,f,t
339,24384,1,1101,t,1802,t,f,t
340,5281,1,0,f,,t,f,t
341,5182,1,0,f,,t,f,t
342,8098,4,,f,,t,f,t
345,24786,1,682,t,1874,t,f,t
346,8128,3,,f,,t,f,t
347,8130,5,1221,f,,t,f,t
348,8132,1,0,f,,t,f,t
349,8133,1,0,f,,t,f,t
350,8134,1,0,f,,t,f,t
351,16247,3,2751,t,388,t,f,t
352,5156,1,0,f,,t,f,t
353,8166,1,0,f,,t,f,t
354,24552,1,,t,1841,t,f,t
355,24551,1,,t,1842,t,f,t
356,24553,1,,t,1840,t,f,t
357,8170,12,,f,,t,f,t
358,3918,1,858,f,,t,f,t
359,5039,4,0,f,,t,f,t
361,8176,5,0,f,,t,f,t
363,8243,8,,t,457,t,f,t
366,8166,1,0,f,,t,f,t
367,5055,1,0,f,,t,f,t
368,5036,1,0,f,,t,f,t
369,5045,1,0,f,,t,f,t
370,5041,1,0,f,,t,f,t
371,5177,1,0,f,,t,f,t
372,5222,1,0,f,,t,f,t
373,13713,1,678,t,1864,t,f,t
374,8474,1,0,f,,t,f,t
375,13737,5,1321,f,,t,f,t
376,13738,5,,t,1742,t,f,t
377,21542,1,,f,,t,f,t
378,5043,1,0,f,,t,f,t
379,8017,1,0,f,,t,f,f
380,5223,1,0,f,,t,f,f
381,13854,1,0,f,,t,f,t
382,13765,1,0,f,,t,f,t
383,13709,1,0,f,,t,f,f
384,13848,1,0,f,,t,f,t
385,13836,1,0,f,,t,f,f
386,13898,1,0,f,,t,f,t
388,13902,1,0,f,,t,f,t
389,16217,5,2619,t,330,t,f,t
390,16216,1,1358,f,,t,f,t
391,13906,1,0,f,,t,f,t
392,13905,1,0,f,,t,f,t
393,16195,3,2650,f,,t,f,t
394,13907,1,,f,,t,f,t
395,13899,5,0,f,,t,f,t
396,13908,1,0,f,,t,f,t
397,13909,5,1366,f,,t,f,t
398,13910,1,0,f,,t,f,t
399,13911,5,1368,t,714,t,f,t
400,13912,5,1367,f,,t,f,t
401,13913,1,0,f,,t,f,t
403,13915,1,0,f,,t,f,t
404,16196,5,2660,f,,t,f,t
405,13916,1,0,f,,t,f,t
406,13917,10,0,f,,t,f,t
407,13918,3,1377,t,325,t,f,t
410,14525,3,,f,,t,f,t
412,14637,5,1723,f,,t,f,t
413,8504,1,0,f,,t,f,f
414,15545,1,,f,,t,f,t
415,14031,1,0,f,,t,f,t
417,14048,1,1457,f,,t,f,t
418,14050,1,0,f,,t,f,t
419,14053,5,1466,f,,t,f,t
420,14054,1,0,f,,t,f,t
421,14055,1,0,f,,t,f,t
424,13928,5,,f,,t,f,t
425,14058,1,0,f,,t,f,t
426,14059,1,1468,f,,t,f,t
433,14067,1,1407,f,,t,f,t
434,13930,3,,f,,t,f,t
435,13934,3,1556,f,,t,f,t
436,14069,5,1413,f,,t,f,t
438,13939,1,1414,f,,t,f,t
439,13944,3,1417,t,666,t,f,t
440,13944,3,1417,f,,t,f,t
441,13945,1,1417,f,,t,f,t
443,13949,1,1419,f,,t,f,t
444,13950,8,,f,,t,f,t
445,13951,5,,f,,t,f,t
447,13960,3,1420,f,,t,f,t
449,13966,1,,f,,t,f,t
451,13968,1,1424,f,,t,f,t
452,13970,5,,f,,t,f,t
453,14072,5,,f,,t,f,t
454,25226,1,1418,f,,t,f,t
458,14080,1,1476,f,,t,f,t
459,14082,1,,f,,t,f,t
461,14067,1,1458,f,,t,f,t
463,14087,1,,f,,t,f,t
465,14092,1,,f,,t,f,t
466,14194,1,1486,f,,t,f,t
467,15554,5,2188,f,,t,f,t
469,13974,1,1426,f,,t,f,t
473,13983,5,,f,,t,f,t
474,14028,3,1445,t,415,t,f,t
477,14106,3,,f,,t,f,t
478,14107,1,,f,,t,f,t
482,13997,5,,f,,t,f,t
483,13987,1,1442,f,,t,f,t
488,14007,1,1443,f,,t,f,t
489,14008,1,1443,f,,t,f,t
491,14120,10,,f,,t,f,t
492,14125,8,1498,f,,t,f,t
498,14139,1,1499,f,,t,f,t
500,14146,1,1501,f,,t,f,t
501,14076,3,,f,,t,f,t
502,14146,1,,f,,t,f,t
504,14148,8,,f,,t,f,t
507,14151,1,,f,,t,f,t
508,14152,1,,f,,t,f,t
509,13939,1,1414,t,2005,t,f,t
511,24527,1,,f,,t,f,t
512,24528,1,,f,,t,f,t
513,14166,1,,f,,t,f,f
515,14100,1,,f,,t,f,t
517,14118,1,1526,f,,t,f,t
519,15790,3,1574,t,279,t,f,t
521,14114,1,,f,,t,f,t
522,14127,1,1525,t,272,t,f,t
523,24529,1,,f,,t,f,t
524,14128,10,,t,2073,t,f,t
525,14129,5,,f,,t,f,t
526,14130,3,1517,f,,t,f,t
527,14133,5,,f,,t,f,t
529,14134,1,,f,,t,f,t
530,15866,5,,f,,t,f,t
532,14136,12,1522,f,,t,f,t
533,14172,1,,t,1837,t,f,t
534,14137,1,,f,,t,f,t
536,14175,5,,f,,t,f,t
538,14178,1,,f,,t,f,t
539,14179,3,1557,f,,t,f,t
540,14181,1,2936,t,636,t,f,t
543,14188,8,,f,692,t,f,t
544,18493,1,,f,,t,f,t
546,14192,1,1560,f,,t,f,t
549,14205,1,,f,,t,f,t
550,14206,1,,f,,t,f,t
551,2726,3,,f,,t,t,t
552,14208,1,,f,,t,f,t
553,14210,1,1493,f,,t,f,t
554,14209,1,1565,f,,t,f,t
555,4043,1,,f,,t,f,t
557,14328,1,,f,,t,f,t
558,14317,3,1576,f,,t,f,t
559,14318,1,,t,1836,t,f,t
560,14320,1,1710,f,,t,f,t
561,14330,5,,f,,t,f,t
562,13962,3,1423,f,,t,f,t
563,14377,1,,f,,t,f,t
564,14385,1,1593,f,,t,f,t
565,14386,1,665,f,,t,f,t
567,14388,1,,f,,t,f,t
569,14378,1,1594,t,323,t,f,t
570,5225,12,,f,,t,f,t
571,14379,5,1595,f,,t,f,t
572,14382,8,,f,,t,f,t
573,14381,10,,f,,t,f,t
