id,item_id,count,cinema,highlight_doodad_id,use_alias,quest_act_obj_alias_id,drop_when_destroy
1,3,1,,0,f,,f
2,1324,1,,0,f,,f
3,1330,1,,0,f,,f
4,2609,1,,0,f,,f
5,2610,1,,0,f,,f
7,2728,1,,0,f,,f
8,1423,1,,0,f,,f
9,4174,1,,0,f,,f
10,2733,1,,0,f,,f
11,2731,1,,0,f,,f
12,2735,1,,0,f,,f
19,2752,1,,0,f,,f
22,2756,1,,0,f,,f
23,2757,1,,0,f,,f
25,2764,1,,0,f,,f
27,3883,1,,0,f,,f
28,2730,1,,0,f,,f
30,2740,1,,0,f,,f
34,1465,1,,0,f,,f
35,1460,1,,0,f,,f
37,2739,1,,0,f,,f
39,3938,1,,0,f,,f
40,3901,1,,0,f,,f
42,2763,1,,813,f,,f
43,7738,1,,,t,1814,f
46,3915,1,,0,f,,f
49,3998,1,,,t,1746,t
51,3914,1,,0,f,,f
54,2739,1,,0,f,,f
56,3938,1,,0,f,,f
57,4171,1,,0,f,,f
61,14182,1,,922,f,,t
62,4956,1,,0,f,,f
63,15964,1,,,t,186,f
64,4959,1,,0,f,,f
65,4966,1,,0,f,,f
66,4985,1,,0,f,,f
67,4968,1,,0,f,,f
69,4973,1,,0,f,,f
71,4965,1,,0,f,,f
72,4980,1,,0,f,,f
73,4944,1,,0,f,,f
75,4947,1,,0,f,,f
77,4997,3,,,t,471,f
78,5009,1,,0,f,,f
79,4972,1,,0,f,,f
80,5019,1,,0,f,,f
81,5024,3,,0,f,,f
82,4947,1,,0,f,,f
83,5031,1,,0,f,,f
84,5061,1,,0,f,,f
85,5061,1,,0,f,,f
90,5117,1,,0,f,,f
95,5130,3,,,t,243,f
97,5132,1,,0,f,,f
98,5135,1,,0,f,,f
99,5142,1,,0,f,,f
101,5073,1,,0,f,,f
102,5145,1,,0,f,,f
103,5088,1,,0,f,,f
104,5089,1,,0,f,,f
105,5090,1,,0,f,,f
108,5112,1,,0,f,,f
111,2732,1,,0,f,,f
115,5076,1,,0,f,,f
117,2752,1,,909,f,,f
119,5228,1,,0,f,,f
120,4942,1,,0,f,,f
121,5078,1,,0,f,,f
122,5077,1,,0,f,,f
126,2747,1,,0,f,,f
128,8092,1,,,t,508,f
130,5297,5,,,f,,f
131,5154,3,,0,f,,f
133,7737,1,,0,f,,f
134,4959,1,,0,f,,f
136,5180,1,,0,f,,f
139,5110,1,,0,f,,f
140,7737,1,,0,f,,f
141,5116,1,,0,f,,f
142,8117,1,,0,f,,f
144,8127,10,,0,f,,f
145,8129,1,,,t,381,t
146,5016,1,,0,f,,f
147,5220,2,,0,f,,f
148,8166,1,,,t,2101,f
149,3912,1,,0,f,,f
150,8244,3,,,t,458,f
152,4972,1,,0,f,,f
153,2661,1,,0,f,,f
154,2661,1,,0,f,,f
156,5116,1,,0,f,,f
157,5116,1,,0,f,,f
158,5116,1,,0,f,,f
162,5223,1,,0,f,,f
164,13709,1,,0,f,,f
165,13849,1,,0,f,,f
166,13845,1,,0,f,,f
167,13852,1,,0,f,,f
168,13919,8,,0,f,,f
169,13927,3,,0,f,,f
170,13921,8,,,f,,f
171,13922,8,,0,f,,f
172,13923,8,,0,f,,f
173,13927,3,,0,f,,f
174,13920,8,,0,f,,f
175,13924,5,,0,f,,f
177,14518,1,,,f,,f
178,14523,1,,,f,,f
179,14043,1,,0,f,,f
180,14049,1,,0,f,,f
181,8120,1,,0,f,,f
184,14509,3,,,f,,f
188,13947,1,,1418,f,,f
189,13956,1,,,f,,f
191,13961,1,,,f,,f
192,14070,3,,1422,f,,f
200,14081,1,,,f,,f
202,14610,1,,,f,,f
206,13976,1,,,f,,f
212,14005,1,,,f,,f
223,14102,3,,,t,274,f
224,14112,1,,,t,275,f
226,14113,1,,,t,280,f
227,14115,1,,,t,282,f
228,14116,5,,,t,291,f
230,2730,1,,,f,,f
231,14177,3,,,f,,f
233,14091,1,,,f,,f
234,14179,3,,,f,,f
235,14184,1,,,f,,f
236,14185,1,,,f,,f
237,14186,1,,,f,,f
238,14187,1,,,f,,f
239,14190,1,,,f,,f
240,14195,1,,,f,,f
241,14195,1,,,f,,f
242,14195,1,,,f,,f
243,14202,1,,,f,,f
244,14203,3,,,f,,f
245,14314,1,,,f,,f
246,14315,1,,,f,,f
248,14317,1,,,f,,f
250,14321,1,,,f,,f
251,14322,1,,,t,294,f
252,14323,1,,,t,295,f
253,14324,1,,,t,296,f
254,14326,12,,,f,,f
256,13965,1,,,f,,f
257,26388,1,,,t,490,f
