id,npc_id,count,use_alias,quest_act_obj_alias_id
1,1,1,f,
4,747,1,f,
5,1,1,f,
8,527,5,f,
11,488,1,f,
12,707,1,f,
14,1,1,f,
16,459,1,f,
17,789,5,f,
19,478,1,f,
20,810,1,f,
21,814,1,f,
26,840,1,f,
28,453,1,f,
30,3451,3,f,
31,3483,1,f,
32,3484,1,f,
33,3594,1,f,
39,611,1,f,
40,611,1,f,
45,609,1,f,
46,610,2,f,
48,3491,1,f,
50,525,8,f,
52,3675,12,f,
53,3490,1,f,
54,556,8,f,
55,521,1,f,
56,614,1,f,
61,3541,1,f,
63,3486,1,t,455
65,3487,1,f,
66,599,1,f,
69,506,1,f,
70,837,3,f,
71,836,3,f,
72,838,3,f,
73,835,3,f,
76,2080,1,f,
77,2098,1,f,
78,2023,1,t,1731
79,2016,5,t,1737
80,2031,8,f,
81,814,1,f,
82,2042,1,t,1748
84,3489,1,f,
87,459,1,f,
88,4941,12,f,
89,4945,3,f,
90,4942,1,t,445
92,4941,8,t,443
95,4951,1,f,
96,2441,1,f,
97,2442,1,f,
98,2311,5,f,
100,2312,5,f,
103,4954,1,f,
104,4957,1,f,
105,4960,1,f,
106,4941,12,f,
107,532,12,t,441
113,4941,12,f,
114,4941,12,f,
117,4943,1,f,
119,1826,1,f,
121,4754,1,f,
123,509,1,f,
127,543,5,f,
129,545,5,f,
130,544,5,f,
132,1784,12,f,
134,4704,4,f,
135,1765,1,f,
136,508,5,f,
138,508,5,f,
141,4759,1,f,
142,4760,1,f,
143,4761,1,f,
149,508,1000,f,
153,1779,1,f,
154,1780,1,f,
155,8088,1,f,
156,1559,8,f,
157,1560,8,f,
158,1597,8,f,
160,1771,1,f,
161,453,1,f,
164,1768,8,f,
167,1763,8,f,
168,1764,8,f,
169,1761,1,f,
171,528,8,f,
172,1760,1,f,
174,1789,1,f,
175,2049,5,t,1720
176,2051,5,t,1721
177,5089,12,f,
178,5010,3,f,
179,5027,1,f,
180,5009,1,f,
186,2051,8,f,
188,5008,8,t,2027
191,4712,5,f,
193,2929,1,f,
197,2907,3,f,
198,2906,5,f,
199,3009,1,f,
200,2913,5,f,
201,3631,1,f,
202,2935,3,f,
203,2926,1,f,
204,2938,1,f,
205,2940,1,f,
206,2925,1,f,
208,1577,8,f,
209,1578,8,f,
210,5029,1,f,
212,1550,8,f,
213,1561,8,f,
214,1601,8,f,
215,1602,8,f,
216,1603,8,f,
217,1598,8,f,
218,1599,8,f,
222,2514,8,t,809
223,4720,1,f,
224,5235,1,f,
225,5234,1,f,
227,5236,1,t,474
230,5236,1,t,473
232,5273,1,f,
235,1,5,f,
236,5276,1,f,
238,2494,5,f,
239,2517,8,f,
240,2491,5,f,
242,696,7,f,
244,2513,3,f,
245,2336,5,f,
246,2330,5,f,
248,704,5,f,
249,698,5,f,
250,704,5,f,
251,714,1,f,
252,746,12,f,
253,745,1,f,
254,5247,1,f,
255,5236,1,f,
256,5234,1,f,
258,2952,1,f,
259,779,8,f,
260,782,8,f,
261,4981,1,f,
262,3053,1,f,
265,2907,8,f,
266,2906,8,f,
268,5011,3,f,
269,3451,8,f,
271,2340,3,f,
272,2341,3,f,
273,1826,1,f,
275,2906,8,f,
276,5205,1,t,810
277,1,8,f,
278,1,1,f,
279,4951,1,f,
280,2942,12,f,
281,3496,1,f,
282,1,2,f,
283,2953,8,f,
284,3497,5,f,
286,3495,8,t,459
287,4818,1,f,
288,4817,1,f,
289,1,1,f,
290,3675,8,f,
291,605,1,f,
295,4575,5,f,
296,4592,1,f,
297,4612,5,f,
298,4631,5,f,
299,4632,5,f,
300,4633,5,f,
301,4615,8,f,
302,4621,8,f,
303,4625,8,f,
308,1,1,f,
309,2,1,f,
310,4202,1,f,
311,6013,3,f,
313,1,3,f,
319,3354,12,f,
322,3358,5,f,
323,3375,1,f,
324,3376,1,f,
325,3365,9,f,
326,3372,1,f,
327,3370,7,f,
329,4209,8,f,
330,3355,8,f,
331,4210,5,f,
332,4227,1,f,
333,5741,1,f,
334,3123,1,f,
336,2202,5,f,
350,5016,12,f,
352,5748,1,f,
353,1,1,f,
354,5084,1,f,
355,3132,5,f,
360,2631,1,f,
361,3140,5,f,
363,3160,5,f,
365,3178,5,f,
366,3179,1,f,
367,3111,1,f,300
368,3309,2,f,
369,3282,1,f,
371,507,1,f,
372,3301,1,t,298
373,3302,1,t,299
374,5922,1,f,
375,6512,1,f,
376,3671,1,f,
378,506,1,f,
380,2510,12,f,
381,3451,1,f,
382,4574,1,f,
383,3491,1,f,
384,3475,5,f,
386,3368,5,f,
388,3475,3,f,
389,4684,3,f,
390,4759,1,f,
391,4760,1,f,
392,4761,1,f,
393,3077,1,f,
395,510,4,f,
396,605,10,f,
397,506,10,f,
399,507,10,f,
400,508,10,f,
403,4200,3,f,
404,3492,3,f,
406,6467,1,f,
407,3675,5,f,
410,525,8,f,
411,614,20,f,
414,1853,5,f,
416,1856,5,f,
418,1854,5,f,
419,1856,5,f,
420,1850,5,f,
421,5726,1,f,
423,6549,2,f,
425,1858,3,f,
426,6561,1,f,
430,1871,5,f,
432,1905,5,f,
433,1879,1,f,
434,6625,1,f,
435,6627,1,f,
436,6628,1,f,
437,3362,20,f,
438,1870,1,f,
440,1867,3,f,
441,1868,3,f,
442,3365,5,f,
443,6973,1,f,
444,1875,5,f,
445,1876,3,f,
446,1878,5,f,
448,12031,1,f,
450,5851,1,f,
451,7673,5,f,
453,1894,5,f,
454,1895,5,f,
456,5853,2,f,
460,814,1,f,
461,1845,3,f,
465,534,5,f,
466,535,5,f,
467,2927,8,f,
468,779,8,f,
469,1851,3,f,
470,721,1,f,
471,5127,5,f,
472,477,5,f,
473,5748,1,f,
475,732,3,f,
476,721,1,f,
477,2080,1,t,1744
478,6512,1,f,
479,5974,1,f,
481,2122,5,t,1739
482,605,1,f,
483,605,1,f,
485,3311,1,t,287
486,3313,1,f,
487,3315,1,t,739
488,4941,10,f,
491,5004,8,f,
495,5003,1,t,607
496,5005,8,f,
498,171,10,f,
500,4827,5,f,
501,4837,12,f,
503,5015,1,f,
507,5018,1,f,
509,2203,3,f,
514,5013,3,t,196
515,4574,4,f,
516,2220,1,f,
518,9384,8,t,185
519,7214,12,f,
523,2213,1,f,
524,4828,8,f,
525,7229,1,t,
528,2390,100,f,
529,4847,5,f,
530,4981,1,t,231
531,4839,1,f,
532,4926,3,t,
533,4855,8,f,
534,9399,8,t,1067
535,9385,1,t,1192
536,3150,12,f,
537,3110,12,f,
538,7495,12,f,
539,7496,12,f,
540,7497,12,f,
541,7498,12,f,
545,3111,3,f,
546,3179,3,f,
547,3134,5,t,265
548,4843,8,f,
549,3136,12,f,
550,3134,12,f,
551,3373,3,f,
553,503,3,f,
555,7723,1,t,396
557,3469,5,f,
559,7730,1,t,418
560,421,1,f,
562,331,1,f,
564,7773,1,f,
566,7669,1,t,440
568,7781,3,f,
569,2231,5,f,
571,8087,5,f,
574,7625,8,f,
582,1581,8,f,
583,526,3,f,
584,7650,2,f,
591,454,8,t,545
592,6512,1,t,643
593,533,5,f,
595,4198,5,f,
596,8116,5,f,
597,2028,8,t,560
598,2016,12,t,561
599,2203,2,f,
600,2080,5,t,562
601,2015,10,t,563
602,2219,5,t,568
604,2122,10,f,
605,3487,1,t,577
606,678,3,f,
607,2015,5,t,585
608,3495,8,f,
609,8145,1,t,590
610,1,1,t,595
611,3452,8,f,
613,2496,8,f,
614,2573,5,f,
615,2514,15,f,
617,2490,5,f,
618,8561,1,f,
619,2510,5,f,
620,2491,8,f,
622,4609,9,t,680
624,789,10,f,
625,779,16,f,
626,811,16,f,
627,678,10,f,
628,1845,6,f,
629,7774,8,f,
630,2927,15,f,
631,2942,24,f,
633,5012,8,t,752
634,2489,5,f,
635,2510,5,f,
637,8561,5,f,
641,8038,8,f,
643,8042,5,t,973
644,8024,5,f,828
645,1466,1,t,831
646,8796,12,t,835
647,1613,8,f,840
649,8781,10,f,
650,8014,5,t,859
651,8040,1,t,865
653,1478,1,t,868
654,8022,1,t,880
655,8031,8,t,883
658,8778,8,t,923
659,8020,8,t,924
