id,name,sphere_id,npc_id,cinema,highlight_doodad_id,use_alias,quest_act_obj_alias_id
3,피바람 절벽 근처의 핏자국,8,,,0,f,
8,hfj,5,0,,0,f,
9,감옥 탈출,100,463,,0,f,
11,호위 도착 영역,4,439,,0,f,
12,콩나무가 심겨져 있는 곳,14,0,,0,f,
20,영혼의 거리에 있는 엘로프윈 주변,23,0,,0,f,
22,기억의 터,25,0,,0,f,
23,수습생이 사라진 곳,28,,,855,f,
24,대학 건물에서 외부로 난 복도,29,0,,0,f,
25,사건 장소,30,3738,,0,f,
26,솔즈리언의 문,31,0,,0,f,
27,늑대를 끌고 올 장소,34,0,,0,f,
29,호숫가 마을,36,0,,0,f,
31,영매의 거처,44,0,,0,f,
32,장례 언덕,45,0,,0,f,
33,제식광장의 단상,19,0,,0,f,
38,네서틴의 거처,47,0,,0,f,
39,네서틴의 거처,47,0,,0,f,
40,도적이 도망친 곳,48,0,,0,f,
41,네서틴의 거처,47,0,,0,f,
42,칼소리가 들리는 곳,50,0,,0,f,
46,유리 구두를 신은 마리안 위어드윈드의 이동 경로를 쫓아라,21,489,,0,f,
47,르네가 구리 반지를 빠트린 호수,56,0,,0,f,
48,트램정거장,10,470,,0,f,
50,백월만 입구,60,0,,0,f,
51,안전한 장소,62,0,,0,f,
52,안전한 장소,63,0,,0,f,
53,프리아가 목격된 곳,64,0,,0,f,
54,해저 동굴,65,,,1085,f,
55,위페르를 안내할 곳,66,656,,0,f,
58,잊혀진 성 안뜰,67,,,0,f,
59,브릿짓 구출 지역,68,0,,0,f,
61,원혼을 끌고 갈 지역,69,0,,0,f,
65,요정과의 혼인 장소,71,0,,0,f,
66,요정의 혼인 장소,71,0,,0,f,
67,호숫가 마을 광장,35,0,,0,f,
70,나뭇잎 섬의 정자,73,,,813,f,
71,물을 밟아서 첩자가 나타나지 않았다,74,0,,0,f,
72,시체가 있는 곳에 남은 핏자국,8,0,,0,f,
73,나무 심을 곳,77,0,,0,f,
77,,52,582,,0,f,
79,후송지로 가는 첫 번째 길목,82,2129,,,t,623
80,후송지로 가는 두 번째 길목,83,2129,,,t,624
81,후송지 도착지점,84,2129,,,t,625
82,안개가 사라진 장소,81,0,,0,f,
83,선돌 연구자의 집,75,3595,,0,f,
84,재판소 2층,72,0,,0,f,
85,초소장 눈에 띄지 않는 곳,16,0,,0,f,
86,폐광 안,58,0,,0,f,
87,물을 밟아서 첩자가 나타나지 않았다,74,0,,0,f,
88,폐광 안,59,0,,0,f,
89,린 노르예트 호위,55,494,,0,f,
92,목격자의 길,85,824,,0,f,
93,작전상 후퇴!,18,0,,0,f,
94,모라가 있는 곳,86,,,,t,613
95,자작나무 마을,87,0,,0,f,
96,자작나무 마을,87,0,,0,f,
97,프랭크가 있는 곳,88,0,,0,f,
100,추억이 어린 장소,90,0,,0,f,
101,추억이 어린 장소,91,0,,0,f,
104,선돌 연구자의 집,75,0,,0,f,
105,붉은 이끼 동굴,95,,,,t,621
106,괴물의 첫 번째 흔적,96,,,,t,618
107,괴물의 두 번째 흔적,97,,,,t,619
108,괴물의 세 번째 흔적,98,,,,t,620
109,감옥탈출,12,463,,0,f,
111,수련의 탑 벽면에 붙은 넝쿨 꼭대기 부근,103,0,,0,f,
115,황금 실타래 마을로 가는 길,109,,,0,f,
116,황금 실타래 마을로 가는 길,110,,,0,f,
119,양 방목장,111,,,,t,442
120,,2,3599,,0,f,
121,사령관 막사 안,123,,,0,f,
123,악마사냥꾼의 폐가,135,2445,,0,f,
124,절벽 아래 바다,136,,,0,f,
126,비밀 서재의 방,137,,,0,f,
130,황금 실타래 마을 입구,156,,,0,f,
131,토리니 정원 남부,157,,,0,f,
132,하피 둥지,114,,,,t,487
133,야영지 입구,125,4961,,0,f,
134,양 방목장,162,,,0,f,
136,마리아노플 남문 경비대장 킬리안 근처 ,164,,,,f,
137,시실루스의 방,141,,,0,f,
138,,2,,,0,f,
140,대륙 고고학회 입구,142,,,0,f,
141,,144,,,0,f,
142,케르트너의 흔적,132,,,938,t,221
143,,145,,,0,f,
144,검투사 숙소의 빅터,147,,,0,f,
145,타오르는 용암 연구소 입구,151,,,0,f,
146,네 번째 별무덤,135,,,0,f,
147,요어랜드 극장 순간이동 마법진,158,,,0,f,
148,요어랜드 극장 주변,168,,,0,f,
151,아드리안의  농장,122,,,,t,494
153,용병대장의 부관과 만나기로 한 약속장소,172,,,0,f,
155,저수지의 섬,175,,,0,f,
156,오크 주둔지,176,,,0,f,
158,보름 마법사 사르디온의 실험실 입구,190,,,0,f,
161,이즈나 입구,182,,,0,f,
162,이즈나 밖,185,1759,,0,f,
163,숲의 인도자 주변,20,,,0,f,
165,안델프 카페테리아,194,4769,,0,f,
171,물 댄 논,201,,,0,f,
184,마엘와스가 있는 곳,229,,,,f,
188,세티가 기다리는 곳,253,,,0,f,
189,도서관 사서 올링가 부인 근처,217,,,0,f,
194,제식광장의 단상,19,,,0,f,
195,명상의 장소,255,3012,,0,f,
196,금지된 해안,254,,,0,f,
198,말라다스에게서 일정 거리 떨어진 지역,22,,,0,f,
199,부서진 보급품 마차 찾기,191,,,,t,622
201,아버지의 방,233,,,0,f,
202,제식 광장의 결투 장소에서 물러나기,46,,,0,f,
204,누이 여신의 신상 앞,234,,,0,f,
206,마리안의 목적지,225,2143,,,f,
