id,npc_id,team_share,item_id,use_alias,quest_act_obj_alias_id
1,1,f,0,f,
3,439,f,0,f,
4,494,f,0,f,
6,389,t,0,f,
8,491,f,0,f,
9,490,f,0,f,
10,756,f,0,f,
17,465,f,0,f,
18,467,f,0,f,
19,470,f,0,f,
21,774,f,0,f,
29,497,f,0,f,
30,482,f,0,f,
31,476,f,0,f,
32,495,f,0,f,
33,463,f,0,f,
34,812,f,0,f,
36,3682,f,0,f,
37,639,f,0,f,
38,824,f,0,f,
39,753,f,0,f,
41,489,f,0,f,
42,445,f,0,f,
43,582,f,0,f,
45,564,f,0,f,
46,485,f,0,f,
47,485,f,0,f,
51,570,f,0,f,
52,564,f,0,f,
55,569,f,0,f,
58,3517,f,0,f,
61,566,f,0,f,
63,3728,f,0,f,
65,3730,f,0,f,
66,3731,t,0,f,
69,3814,f,0,f,
72,3737,f,0,f,
77,583,t,0,f,
78,3519,f,0,f,
84,589,t,0,f,
87,600,f,0,f,
88,593,f,0,f,
89,593,f,0,f,
91,572,t,0,f,
94,604,f,0,f,
95,489,f,0,f,
99,470,f,0,f,
100,470,f,0,f,
101,475,f,0,f,
102,618,f,0,f,
103,618,f,0,f,
104,616,f,0,f,
105,656,t,0,f,
107,3537,f,0,f,
108,3539,f,0,f,
113,3544,f,0,f,
114,3544,f,0,f,
115,3547,f,0,f,
116,757,f,0,f,
117,758,f,0,f,
118,764,f,0,f,
119,765,f,0,f,
120,3542,f,0,f,
121,3545,f,0,f,
122,599,t,0,f,
123,590,f,0,f,
124,3679,f,0,f,
125,3679,f,0,f,
126,3546,f,0,f,
128,3738,t,0,f,
129,804,f,0,f,
130,805,f,0,f,
135,804,f,0,f,
136,805,f,0,f,
137,2129,t,0,f,
138,3728,t,0,f,
139,3728,t,0,f,
140,3728,t,0,f,
141,3678,t,0,f,
142,3521,f,0,f,
146,3536,f,0,f,
147,583,f,0,f,
150,3537,f,0,f,
151,439,f,0,f,
153,3544,f,0,f,
154,3822,f,0,f,
157,5271,f,0,f,
159,583,f,0,f,
160,470,f,0,f,
161,3738,f,0,f,
162,3673,f,0,f,
163,1,f,0,f,
167,3596,f,0,f,
169,1,f,0,f,
170,2075,f,0,f,
171,2076,f,0,t,1753
172,2079,f,0,f,
173,2079,f,0,f,
174,2077,f,0,f,
178,2077,f,0,f,
180,2074,f,0,f,
181,2081,f,0,t,1745
183,2084,f,0,f,
186,3595,f,0,f,
188,2102,f,0,f,
190,3595,f,0,f,
192,463,f,0,f,
195,3822,f,0,f,
196,3678,f,0,f,
197,489,f,0,f,
198,489,f,0,f,
201,570,t,0,f,
203,3515,f,0,f,
204,641,f,0,f,
205,640,f,0,f,
207,3682,f,0,f,
208,679,f,0,f,
209,583,f,0,f,
211,569,t,0,f,
212,580,t,0,f,
213,640,f,0,f,
214,3837,f,0,f,
216,583,t,0,f,
220,444,f,0,f,
221,458,f,0,f,
222,3604,f,0,f,
224,3986,f,0,f,
225,637,f,0,f,
233,1,f,0,f,
234,1,f,0,f,
239,2424,t,0,f,
242,2426,f,0,f,
245,2430,f,0,f,
246,2444,f,0,f,
247,2442,f,0,f,
248,2441,f,0,f,
249,2427,t,0,f,
250,4959,t,0,f,
251,4956,t,0,f,
252,903,t,0,f,
253,2424,t,0,f,
255,2426,f,0,f,
257,2443,t,0,f,
259,2426,t,0,f,
260,41,f,0,f,
262,1823,f,0,f,
263,1824,t,0,f,
265,1827,t,0,f,
266,1827,f,0,f,
267,1830,t,0,f,
268,1832,t,0,f,
269,1831,t,0,f,
270,1836,t,0,f,
271,1829,t,0,f,
272,4967,t,0,f,
273,4963,t,0,f,
274,4965,t,0,f,
275,4966,t,0,f,
276,2417,f,0,f,
279,3082,f,0,f,
281,3087,f,0,f,
282,3086,f,0,f,
287,4959,f,0,f,
288,4956,t,0,f,
289,4757,f,0,f,
290,1718,t,0,f,
291,1719,t,0,f,
299,1722,t,0,f,
300,1723,t,0,f,
