id,appellation_id
1,1
2,2
3,2
5,4
6,4
7,5
8,5
9,6
10,6
11,7
12,7
13,8
14,9
15,9
16,10
17,10
18,11
19,12
20,13
21,14
22,15
23,16
24,3
25,3
26,8
27,17
28,18
29,19
30,20
31,21
32,23
33,22
34,17
35,18
36,82
37,83
38,84
39,24
40,25
41,26
42,27
43,28
44,29
45,30
46,31
47,32
48,33
49,34
50,35
51,36
52,37
53,38
54,39
55,40
56,41
57,42
58,43
59,44
60,45
61,46
62,47
63,48
64,50
65,51
66,52
67,53
68,54
69,55
70,56
71,57
72,58
73,59
74,60
75,61
76,62
77,63
78,64
79,65
80,66
81,67
82,67
83,68
84,69
85,70
86,71
87,72
88,73
89,74
90,75
91,76
92,77
93,78
94,79
95,80
96,81
97,85
98,86
99,87
100,88
101,89
102,90
103,91
104,92
105,93
106,94
107,95
108,96
110,97
111,100
112,98
113,99
114,101
115,102
116,103
117,104
118,105
119,63
120,64
121,65
122,66
123,67
124,68
125,69
126,70
127,71
128,78
129,73
130,74
131,75
132,76
133,77
134,72
135,79
136,80
137,81
138,87
139,106
140,63
141,65
142,66
143,67
144,68
145,107
146,108
147,109
148,70
149,71
150,78
151,74
153,75
154,76
155,77
156,72
157,79
158,81
159,73
160,64
161,110
162,111
163,69
164,114
165,115
166,116
167,117
168,118
169,87
170,120
172,121
173,122
174,123
175,124
176,125
177,119
178,119
179,87
180,126
181,127
183,128
184,129
185,130
186,131
187,132
188,133
189,134
190,135
191,136
192,137
193,138
194,139
195,140
197,144
198,143
199,142
200,145
201,146
202,147
203,148
204,149
205,150
206,151
207,152
208,153
209,154
210,155
211,156
212,157
213,158
214,159
215,160
216,161
217,162
218,163
219,164
220,165
221,166
222,141
223,167
224,168
225,169
226,170
227,171
228,172
229,173
230,174
231,175
232,176
233,177
234,178
235,179
236,180
237,181
238,182
239,185
240,184
241,183
242,2
243,189
244,190
245,191
246,193
247,192
248,194
249,195
250,196
8000001,8000001
8000002,8000002
8000003,8000003
8000004,8000004
8000005,8000005
8000006,8000006
8000007,8000007
8000008,8000008
8000009,8000009
8000010,8000010
8000011,8000011
8000012,8000012
8000013,8000013
8000014,8000014
8000015,8000015
8000016,8000016
8000017,8000017
8000018,8000018
8000019,8000019
8000020,8000020
8000021,8000021
