id,point
1,10
2,30
3,50
4,100
5,300
6,500
7,10
8,30
9,50
10,100
11,300
12,500
13,10
14,30
15,50
16,100
17,300
18,500
19,10
20,30
21,50
22,100
23,300
24,500
25,10
26,30
27,50
28,100
29,300
30,500
31,10
32,30
33,50
34,100
35,300
36,500
38,30
39,50
40,50
41,30
42,10
43,30
44,50
45,100
46,300
47,500
48,30
49,50
50,100
51,30
52,50
53,100
54,10
55,30
56,50
57,100
58,300
59,500
60,50
61,100
62,300
63,1
64,50
65,100
66,300
67,500
69,50
70,100
71,10000
73,20
74,50
75,100
76,300
77,500
78,1
79,1000
80,30
82,500
83,1
84,200
85,420
86,660
87,200
88,420
89,660
90,200
91,420
92,660
93,200
95,420
96,660
97,50
98,20
99,25
100,40
101,60
102,100
103,250
104,500
105,750
106,1000
107,1500
108,30
109,30
110,30
111,100
