id,item_id,count,grade_id,show_action_bar,cleanup,drop_when_destroy,destroy_when_drop
1,3,1,0,t,t,t,t
2,650,1,0,t,t,t,t
3,7,1,0,t,t,t,t
4,1540,1,0,t,t,t,t
5,1540,1,0,t,t,t,t
6,14641,3,0,t,t,t,t
8,1601,1,0,t,t,t,t
9,1841,1,0,t,t,t,t
10,1324,1,0,t,t,t,t
11,4040,1,0,t,t,t,t
12,1326,1,0,t,t,t,t
13,1327,1,0,t,t,t,t
14,1327,1,0,t,t,t,t
16,1329,1,0,t,t,t,t
17,1330,1,0,t,t,t,t
18,2609,1,0,t,t,t,t
19,2610,1,0,t,t,t,t
20,1327,1,0,t,t,t,t
21,2726,3,0,t,t,t,t
22,2647,1,0,t,t,t,t
23,14404,1,0,f,t,t,t
24,2522,10,0,t,t,t,t
26,2730,1,0,t,t,t,t
27,1423,1,0,t,t,t,t
29,4174,1,0,t,t,t,t
32,1539,1,0,t,t,t,t
37,2735,1,0,t,t,t,t
39,4931,1,0,t,t,t,t
40,2661,1,0,t,t,t,t
41,1463,1,0,t,t,t,t
42,2739,1,0,t,t,t,t
43,2740,1,0,t,t,t,t
46,2744,1,0,f,t,t,t
47,2745,1,0,f,t,t,t
49,2747,1,0,t,t,t,t
50,2748,1,0,t,t,t,t
51,2751,1,0,t,t,t,t
52,15641,1,0,f,t,t,t
54,2755,1,0,t,t,t,t
55,2756,1,0,t,t,t,t
57,2758,1,0,t,t,t,t
58,2760,1,0,t,t,t,t
60,2762,1,0,t,t,t,t
61,2763,1,0,t,t,t,t
62,2764,1,0,t,t,t,t
63,1482,1,0,t,t,t,t
64,2733,1,0,t,t,t,t
66,1442,8,0,t,t,t,t
67,3883,1,0,t,t,t,t
68,3884,1,0,t,t,t,t
69,3884,1,0,t,t,t,t
70,1430,1,0,t,t,t,t
72,1431,1,0,t,t,t,t
75,2730,1,0,t,t,t,t
76,2730,1,0,t,t,t,t
77,4704,1,0,t,t,t,t
79,3891,3,0,t,t,t,t
81,3719,3,0,t,t,t,t
82,3899,1,0,f,t,t,t
83,3900,1,0,f,t,t,t
84,2733,1,0,t,t,t,t
85,1327,1,0,t,t,t,t
86,1841,1,0,t,t,t,t
87,1465,1,0,t,t,t,t
89,3907,3,0,t,t,t,t
91,3893,1,0,t,t,t,t
92,3910,1,0,t,t,t,t
94,3912,1,0,t,t,t,t
97,1287,1,0,t,t,t,t
98,3916,1,0,t,t,t,t
99,3919,10,0,t,t,t,t
