id,item_id,count
2,4982,1
3,4982,1
23,5043,1
51,8473,1
54,5260,1
58,5159,1
65,5160,1
67,5161,1
75,5160,1
77,5146,1
80,5173,1
82,5177,1
83,5172,1
84,4982,1
86,5177,1
87,14043,1
90,15348,1
91,14079,1
94,14105,1
95,14108,1
96,14076,1
97,14151,1
101,5159,1
102,5161,1
103,5166,1
106,14086,1
108,15354,1
110,15351,1
111,15352,1
112,15353,1
113,15355,1
117,14335,1
119,15349,1
123,14791,1
132,15350,1
134,5167,1
135,15356,1
136,5164,1
139,14514,1
141,5168,1
142,14845,1
143,14520,1
144,14087,1
146,14683,2
148,15546,1
157,15828,1
158,15840,1
173,17802,1
175,18646,1
176,18671,1
177,18673,1
181,19609,1
182,19836,1
186,19880,1
193,18704,1
194,14797,1
204,18688,1
205,19690,1
206,19689,1
207,19691,1
214,4988,1
217,26639,1
218,17695,1
219,17695,1
223,29480,1
