id,quest_component_id,act_detail_id,act_detail_type
1,1,1,QuestActConAcceptNpc
2,2,1,QuestActSupplyItem
3,3,1,QuestActObjMonsterHunt
4,4,1,QuestActObjTalk
5,5,1,QuestActConReportNpc
6,5,1,QuestActConAutoComplete
11,9,4,QuestActObjMonsterHunt
15,10,3,QuestActConReportNpc
16,8,4,QuestActConAcceptNpc
21,14,4,QuestActConReportNpc
23,16,1,QuestActConAcceptDoodad
25,17,1,QuestActConReportDoodad
27,17,2,QuestActSupplyItem
28,20,5,QuestActConAcceptNpc
29,21,5,QuestActObjMonsterHunt
30,22,5,QuestActConReportNpc
31,23,6,QuestActConAcceptNpc
36,27,7,QuestActConAcceptNpc
38,30,1,QuestActObjMonsterGroupHunt
39,29,8,QuestActConAcceptNpc
40,31,3,QuestActObjItemGather
42,34,4,QuestActObjItemGather
45,33,9,QuestActConAcceptNpc
46,35,8,QuestActConReportNpc
50,38,11,QuestActConAcceptNpc
51,39,12,QuestActConAcceptNpc
52,40,13,QuestActConAcceptNpc
55,44,10,QuestActConReportNpc
56,45,11,QuestActConReportNpc
57,46,12,QuestActConReportNpc
58,43,14,QuestActConAcceptNpc
59,48,8,QuestActObjMonsterHunt
60,48,1,QuestActCheckTimer
61,50,13,QuestActConReportNpc
62,52,3,QuestActSupplyItem
65,52,1,QuestActSupplySelectiveItem
68,54,15,QuestActConAcceptNpc
69,56,4,QuestActSupplyItem
70,58,16,QuestActConAcceptNpc
77,67,17,QuestActConReportNpc
79,70,5,QuestActSupplyItem
80,71,6,QuestActObjItemGather
82,75,6,QuestActSupplyItem
92,86,3,QuestActObjTalk
93,87,1,QuestActCheckGuard
94,88,22,QuestActConReportNpc
95,91,21,QuestActConAcceptNpc
99,32,24,QuestActConReportNpc
100,92,3,QuestActObjMonsterGroupHunt
101,99,25,QuestActConReportNpc
103,102,11,QuestActObjMonsterHunt
104,104,26,QuestActConReportNpc
105,103,12,QuestActObjMonsterHunt
106,106,27,QuestActConReportNpc
107,110,28,QuestActConReportNpc
108,113,25,QuestActConAcceptNpc
109,114,26,QuestActConAcceptNpc
110,115,27,QuestActConAcceptNpc
111,116,28,QuestActConAcceptNpc
113,117,4,QuestActObjTalk
115,119,12,QuestActObjItemGather
116,120,29,QuestActConReportNpc
117,118,2,QuestActCheckGuard
119,87,2,QuestActCheckCompleteComponent
125,128,32,QuestActConReportNpc
128,131,31,QuestActConAcceptNpc
129,132,5,QuestActCheckGuard
132,136,33,QuestActConReportNpc
135,140,3,QuestActConAcceptSphere
141,142,6,QuestActObjTalk
143,143,14,QuestActObjMonsterHunt
144,144,13,QuestActObjItemGather
145,144,7,QuestActCheckCompleteComponent
146,147,1,QuestActObjItemUse
147,144,8,QuestActCheckCompleteComponent
153,7,3,QuestActConAcceptDoodad
154,152,35,QuestActConReportNpc
155,113,34,QuestActConAcceptNpc
156,113,35,QuestActConAcceptNpc
157,113,36,QuestActConAcceptNpc
159,155,36,QuestActConReportNpc
169,37,41,QuestActConAcceptNpc
175,167,9,QuestActCheckCompleteComponent
176,168,42,QuestActConReportNpc
177,172,42,QuestActConAcceptNpc
178,172,43,QuestActConAcceptNpc
179,130,4,QuestActConAcceptSphere
180,172,44,QuestActConAcceptNpc
181,172,45,QuestActConAcceptNpc
183,174,3,QuestActObjSphere
184,173,8,QuestActObjTalk
186,175,43,QuestActConReportNpc
187,177,11,QuestActCheckCompleteComponent
188,177,9,QuestActObjTalk
189,178,44,QuestActConReportNpc
190,178,45,QuestActConReportNpc
192,178,46,QuestActConReportNpc
193,178,47,QuestActConReportNpc
195,182,47,QuestActConAcceptNpc
196,181,48,QuestActConReportNpc
197,182,48,QuestActConAcceptNpc
198,182,49,QuestActConAcceptNpc
199,182,50,QuestActConAcceptNpc
200,184,1,QuestActObjInteraction
202,186,8,QuestActSupplyItem
203,187,49,QuestActConReportNpc
204,189,16,QuestActObjMonsterHunt
209,192,17,QuestActObjItemGather
210,193,51,QuestActConReportNpc
211,193,52,QuestActConReportNpc
212,193,53,QuestActConReportNpc
213,193,54,QuestActConReportNpc
216,198,9,QuestActSupplyItem
219,199,10,QuestActObjTalk
225,202,56,QuestActConAcceptNpc
227,204,56,QuestActConReportNpc
228,203,2,QuestActObjItemUse
230,206,10,QuestActSupplyItem
232,208,58,QuestActConAcceptNpc
235,212,3,QuestActConAutoComplete
238,215,11,QuestActSupplyItem
239,215,12,QuestActSupplyItem
240,216,17,QuestActObjTalk
241,217,14,QuestActCheckCompleteComponent
242,217,18,QuestActObjItemGather
243,218,57,QuestActConReportNpc
244,221,58,QuestActConReportNpc
245,223,60,QuestActConAcceptNpc
247,224,19,QuestActObjItemGather
249,225,21,QuestActObjItemGather
251,226,59,QuestActConReportNpc
253,229,62,QuestActConAcceptNpc
255,230,18,QuestActObjTalk
256,231,60,QuestActConReportNpc
257,233,64,QuestActConAcceptNpc
258,234,13,QuestActSupplyItem
259,235,19,QuestActObjTalk
261,238,17,QuestActObjMonsterHunt
267,245,63,QuestActConReportNpc
268,249,21,QuestActObjTalk
269,251,64,QuestActConReportNpc
274,236,65,QuestActConReportNpc
275,258,66,QuestActConReportNpc
276,261,66,QuestActConAcceptNpc
278,263,67,QuestActConAcceptNpc
279,264,14,QuestActSupplyItem
284,269,68,QuestActConAcceptNpc
286,272,24,QuestActObjItemGather
295,278,69,QuestActConAcceptNpc
296,279,29,QuestActObjTalk
298,279,16,QuestActSupplyItem
299,280,30,QuestActObjTalk
300,281,18,QuestActCheckCompleteComponent
301,281,27,QuestActObjItemGather
302,282,69,QuestActConReportNpc
303,273,70,QuestActConReportNpc
306,287,70,QuestActConAcceptNpc
307,288,17,QuestActSupplyItem
308,289,3,QuestActObjItemUse
309,293,71,QuestActConAcceptNpc
310,299,71,QuestActConReportNpc
311,321,72,QuestActConAcceptNpc
312,322,18,QuestActSupplyItem
313,322,19,QuestActSupplyItem
314,327,4,QuestActObjItemUse
315,331,19,QuestActCheckCompleteComponent
316,331,5,QuestActObjItemUse
317,337,72,QuestActConReportNpc
319,346,8,QuestActObjSphere
320,354,20,QuestActSupplyItem
321,367,1,QuestActConAcceptItem
322,370,73,QuestActConReportNpc
323,373,74,QuestActConAcceptNpc
329,379,75,QuestActConReportNpc
333,383,77,QuestActConAcceptNpc
334,341,21,QuestActSupplyItem
335,418,78,QuestActConAcceptNpc
336,430,19,QuestActObjMonsterHunt
337,431,77,QuestActConReportNpc
338,433,79,QuestActConAcceptNpc
339,434,22,QuestActSupplyItem
340,445,31,QuestActObjTalk
341,446,78,QuestActConReportNpc
342,472,80,QuestActConAcceptNpc
343,473,81,QuestActConAcceptNpc
344,473,82,QuestActConAcceptNpc
345,473,83,QuestActConAcceptNpc
346,473,84,QuestActConAcceptNpc
347,503,32,QuestActObjTalk
348,504,79,QuestActConReportNpc
349,506,20,QuestActCheckCompleteComponent
350,506,33,QuestActObjTalk
351,507,80,QuestActConReportNpc
352,509,85,QuestActConAcceptNpc
353,510,4,QuestActObjInteraction
356,511,21,QuestActCheckCompleteComponent
357,511,9,QuestActObjSphere
358,512,81,QuestActConReportNpc
359,296,34,QuestActObjTalk
361,514,20,QuestActObjMonsterHunt
362,515,82,QuestActConReportNpc
363,517,2,QuestActConAcceptItem
364,518,29,QuestActObjItemGather
365,520,83,QuestActConReportNpc
367,522,87,QuestActConAcceptNpc
368,524,23,QuestActSupplyItem
370,526,36,QuestActObjTalk
371,527,84,QuestActConReportNpc
372,139,11,QuestActObjSphere
373,529,88,QuestActConAcceptNpc
374,530,24,QuestActSupplyItem
375,531,12,QuestActObjSphere
376,532,30,QuestActObjItemGather
380,519,37,QuestActObjTalk
381,560,7,QuestActObjItemUse
382,561,38,QuestActObjTalk
386,564,22,QuestActCheckCompleteComponent
387,564,31,QuestActObjItemGather
388,565,86,QuestActConReportNpc
389,563,90,QuestActConAcceptNpc
390,567,32,QuestActObjItemGather
391,568,87,QuestActConReportNpc
392,570,88,QuestActConReportNpc
396,591,5,QuestActConAcceptItem
397,592,21,QuestActObjMonsterHunt
398,592,33,QuestActObjItemGather
399,593,90,QuestActConReportNpc
405,600,26,QuestActObjMonsterHunt
408,602,39,QuestActObjTalk
409,603,5,QuestActConAutoComplete
411,237,26,QuestActSupplyItem
413,243,91,QuestActConReportNpc
414,584,27,QuestActSupplyItem
417,612,8,QuestActObjItemUse
418,612,23,QuestActCheckCompleteComponent
420,613,24,QuestActCheckCompleteComponent
421,584,29,QuestActSupplyItem
422,613,9,QuestActObjItemUse
425,617,93,QuestActConReportNpc
426,616,92,QuestActConAcceptNpc
427,619,93,QuestActConAcceptNpc
430,621,41,QuestActObjTalk
431,622,95,QuestActConReportNpc
432,624,94,QuestActConAcceptNpc
436,625,32,QuestActSupplyItem
438,627,97,QuestActConReportNpc
439,629,95,QuestActConAcceptNpc
440,629,96,QuestActConAcceptNpc
441,629,97,QuestActConAcceptNpc
442,629,98,QuestActConAcceptNpc
444,630,4,QuestActObjMonsterGroupHunt
445,631,98,QuestActConReportNpc
446,631,99,QuestActConReportNpc
447,631,100,QuestActConReportNpc
448,631,101,QuestActConReportNpc
450,634,100,QuestActConAcceptNpc
451,634,101,QuestActConAcceptNpc
452,634,102,QuestActConAcceptNpc
453,634,103,QuestActConAcceptNpc
455,635,42,QuestActObjTalk
456,636,103,QuestActConReportNpc
457,638,104,QuestActConReportNpc
458,640,105,QuestActConAcceptNpc
459,641,5,QuestActObjMonsterGroupHunt
462,642,105,QuestActConReportNpc
463,644,25,QuestActCheckCompleteComponent
465,645,106,QuestActConReportNpc
468,647,106,QuestActConAcceptNpc
469,648,28,QuestActObjMonsterHunt
470,649,108,QuestActConReportNpc
472,652,107,QuestActConAcceptNpc
478,651,110,QuestActConAcceptNpc
479,308,111,QuestActConReportNpc
483,660,112,QuestActConReportNpc
484,326,43,QuestActObjTalk
487,328,36,QuestActObjItemGather
489,662,10,QuestActObjItemUse
490,663,11,QuestActObjItemUse
491,664,113,QuestActConReportNpc
492,666,112,QuestActConAcceptNpc
497,667,115,QuestActConReportNpc
500,671,37,QuestActSupplyItem
501,672,12,QuestActObjItemUse
502,659,114,QuestActConAcceptNpc
503,674,116,QuestActConReportNpc
504,675,45,QuestActObjTalk
508,673,117,QuestActConReportNpc
509,312,118,QuestActConReportNpc
510,677,8,QuestActConAcceptItem
511,678,119,QuestActConReportNpc
515,682,46,QuestActObjTalk
516,683,120,QuestActConReportNpc
518,686,117,QuestActConAcceptNpc
519,687,47,QuestActObjTalk
520,688,122,QuestActConReportNpc
521,690,118,QuestActConAcceptNpc
528,318,119,QuestActConAcceptNpc
530,315,20,QuestActObjSphere
531,317,125,QuestActConReportNpc
534,95,126,QuestActConReportNpc
535,96,121,QuestActConAcceptNpc
536,696,39,QuestActSupplyItem
537,699,127,QuestActConReportNpc
539,108,9,QuestActConAcceptItem
540,701,128,QuestActConReportNpc
542,109,10,QuestActConAcceptItem
544,703,124,QuestActConAcceptNpc
546,705,125,QuestActConAcceptNpc
548,706,129,QuestActConReportNpc
550,713,40,QuestActSupplyItem
561,709,131,QuestActConReportNpc
565,403,51,QuestActObjTalk
567,724,12,QuestActConAcceptItem
568,725,52,QuestActObjTalk
569,726,132,QuestActConReportNpc
572,730,133,QuestActConReportNpc
573,731,22,QuestActObjSphere
574,731,28,QuestActCheckCompleteComponent
577,734,129,QuestActConAcceptNpc
578,735,41,QuestActSupplyItem
582,738,130,QuestActConAcceptNpc
584,740,137,QuestActConReportNpc
585,407,42,QuestActSupplyItem
586,408,55,QuestActObjTalk
588,355,43,QuestActSupplyItem
595,368,139,QuestActConReportNpc
598,739,30,QuestActObjMonsterHunt
599,742,58,QuestActObjTalk
600,743,133,QuestActConAcceptNpc
601,744,46,QuestActSupplyItem
602,744,47,QuestActSupplyItem
606,747,44,QuestActObjItemGather
607,749,9,QuestActConAcceptSphere
608,750,6,QuestActObjInteraction
609,751,31,QuestActObjMonsterHunt
611,753,141,QuestActConReportNpc
612,754,134,QuestActConAcceptNpc
614,757,32,QuestActObjMonsterHunt
615,756,142,QuestActConReportNpc
616,759,7,QuestActConAutoComplete
620,764,136,QuestActConAcceptNpc
622,766,61,QuestActObjTalk
625,767,23,QuestActObjSphere
626,768,144,QuestActConReportNpc
633,414,49,QuestActSupplyItem
634,415,63,QuestActObjTalk
638,427,65,QuestActObjTalk
640,437,50,QuestActSupplyItem
641,438,66,QuestActObjTalk
642,439,46,QuestActObjItemGather
643,440,47,QuestActObjItemGather
644,441,147,QuestActConReportNpc
648,454,51,QuestActSupplyItem
649,455,24,QuestActObjSphere
652,457,19,QuestActObjItemUse
653,458,150,QuestActConReportNpc
655,466,52,QuestActSupplyItem
656,467,25,QuestActObjSphere
658,469,69,QuestActObjTalk
663,475,54,QuestActSupplyItem
665,477,152,QuestActConReportNpc
668,486,55,QuestActSupplyItem
670,486,57,QuestActSupplyItem
672,778,26,QuestActObjSphere
673,540,149,QuestActConAcceptNpc
678,489,22,QuestActObjItemUse
679,490,23,QuestActObjItemUse
