id,quest_component_text_kind_id,quest_component_id,text
41,4,59,"소란스런 들판을 가로질러 나 있는 나무의 길 주변에서 검은 염 도적단의 폭력배, 칼잡이, 싸움꾼, 마법사를 소탕해야 합니다."
70,4,110,북부 칼바람 평원의 외로운 오아시스 주변에 있는 @NPC_NAME(730)에게 @ITEM_NAME(1536)을 보여줘야 합니다.
76,4,120,북부 칼바람 평원의 외로운 오아시스에 있는 @NPC_NAME(5849)를 찾아야 합니다.
264,4,704,@NPC_NAME(731)을 북부 칼바람 평원에서 몰아내야 합니다.
282,4,745,서쪽 선돌터로 이동하여 선돌의 탁본을 뜹니다.
300,4,24,황금 실타래 마을로 가는 길목에 있는 @NPC_NAME(532)들을 소탕하거나 @ITEM_NAME(14877)를 회수해야 합니다.
302,4,61,하르파 수련장 남쪽에 있는 @NPC_NAME(7709)에게 @NPC_GROUP_NAME(84)을 처치한 사실을 알립니다.
303,4,72,달리는 골짜기에서 @NPC_NAME(503)을 처치하고 @ITEM_NAME(14391)를 구합니다.
304,4,987,경작지의 토끼굴에 불을 지릅니다. 화가 난 토끼들이 뛰쳐나올 수 있으니 조심해야 합니다.
314,4,83,"고요한 언덕 주변의 @NPC_NAME(668)을 @ITEM_NAME(5265)|1으로;로; 기절시킨 뒤, @ITEM_NAME(5263)|1을;를; 사용하여 @ITEM_NAME(5264)|1을;를; 받아야 합니다."
317,4,1028,초승달 호수로 들어가 물 밑에서 @ITEM_NAME(3903)|1을;를; 찾아야 합니다.
340,4,66,북부 칼바람 평원에서 핏자국을 추적하여 피를 흘린 사람을 찾아야 합니다.
347,4,1054,"소란스러운 들판, @NPC_NAME(715) 주변에서 @NPC_NAME(702)를 처치하고 @ITEM_NAME(5296)을 수집해야 합니다."
394,4,617,다리를 건너 칼바람 평원의 외로운 오아시스에 있는 @NPC_NAME(5848)에게 @ITEM_NAME(5298)를 전달해야 합니다.
417,4,673,북부 칼바람 평원의 외로운 오아시스에 있는 @NPC_NAME(5848)에게 @ITEM_NAME(14734)를 전달해야 합니다.
420,4,627,"북부 칼바람 평원, 피바람 절벽 근처에 있는 제뮤니아의 천막으로 가서 @NPC_NAME(809)를 만나 @ITEM_NAME(24377)을 전해줘야 합니다."
427,4,1196,우윷빛 강 마을의 @NPC_NAME(3542)에게 돌아가야 합니다.
