id,quest_context_id,component_kind_id,next_component,npc_ai_id,npc_id,skill_id,skill_self,ai_path_name,ai_path_type_id,sound_id,npc_spawner_id,play_cinema_before_bubble,ai_command_set_id,or_unit_reqs,cinema_id,summary_voice_id
23,13,2,0,1,,,f,,0,,743,t,,f,,
24,13,4,0,1,,,t,,0,,0,t,,f,,
27,44,2,0,1,,,f,,0,,0,t,,f,,
28,44,3,0,1,,,f,,0,,0,t,,f,,
29,110,2,0,1,,,f,,0,,0,t,,f,,
31,110,4,0,1,,,f,,0,0,0,t,,f,,
32,110,6,0,1,,,f,,0,,0,t,,f,,
37,162,2,0,1,,,f,,0,0,0,t,,f,,
41,162,4,0,1,,,f,,0,0,0,t,,f,,
42,162,6,0,1,,,f,,0,0,0,t,,f,,
47,162,8,0,1,,,f,,0,0,0,t,,f,,
51,43,2,0,1,,,f,,0,0,0,t,,f,,
54,10,2,0,1,,,f,,0,0,0,t,,f,,
57,45,2,0,1,,,f,,0,0,0,t,,f,,
58,48,2,0,1,,,f,,0,,0,t,,f,,
59,48,4,0,1,,,f,,0,0,0,t,,f,,
60,10,4,0,1,,,f,,0,0,0,t,,f,,
61,10,6,0,1,,,f,,0,0,0,t,,f,,
64,49,2,0,1,,,f,,0,,0,t,,f,,
65,10,8,0,1,,,f,,0,0,0,t,,f,,
66,49,4,0,1,,,f,,0,,0,t,,f,,
68,49,6,0,1,,,f,,0,,0,t,,f,,
69,11,2,0,1,,,f,,0,0,0,t,,f,,
72,11,4,0,1,,,f,,0,,0,t,,f,,
73,11,6,0,1,,,f,,0,,0,t,,f,,
79,15,2,0,1,,,f,,0,,0,t,,f,,
81,15,4,0,1,,,f,,0,,0,t,,f,,
82,15,6,0,1,,,f,,0,,0,t,,f,,
83,44,4,0,1,,,f,,0,,0,t,,f,,
85,44,6,0,1,,,f,,0,,0,t,,f,,
91,166,2,0,1,441,,f,,0,0,0,t,,f,,
98,110,8,0,1,,,f,,0,,0,t,,f,,
99,166,6,0,1,,,f,,0,,,t,,f,,
100,166,8,0,1,,,f,,0,0,0,t,,f,,
108,54,2,0,1,,,f,,0,0,0,t,,f,,
110,54,6,0,1,,,f,,0,,0,t,,f,,
111,54,8,0,1,,,f,,0,0,0,t,,f,,
112,55,2,0,1,,,f,,0,,0,t,,f,,
120,55,6,0,1,,,f,,0,,0,t,,f,,
121,55,8,0,1,,,f,,0,0,0,t,,f,,
133,61,2,,1,,,f,,0,,0,t,,f,,
138,63,2,0,1,804,,f,,0,,0,t,,f,,
148,65,2,0,1,,,f,,0,,0,t,,f,,
154,67,2,0,1,,,f,,0,,0,t,,f,,
157,67,4,0,1,,,f,,0,0,0,t,,f,,
159,67,6,0,1,,,f,,0,,0,t,,f,,
164,71,2,0,1,,,f,,0,0,0,t,,f,,
165,71,4,0,1,,,f,,0,,0,t,,f,,
166,71,6,0,1,,,f,,0,,0,t,,f,,
185,76,2,0,1,,,f,,0,,0,t,,f,,
187,76,6,0,1,,,f,,0,,0,t,,f,,
188,76,8,0,1,,,f,,0,0,0,t,,f,,
190,77,2,0,1,,,f,,0,,0,t,,f,,
195,79,2,0,1,,,f,,0,,0,t,,f,,
201,79,3,0,1,,,f,,0,,0,t,,f,,
208,84,2,0,1,,,f,,0,,0,t,,f,,
209,84,4,0,1,,,f,,0,0,0,t,,f,,
211,84,6,0,1,,,f,,0,0,0,t,,f,,
213,84,8,0,1,,,f,,0,0,0,t,,f,,
214,175,2,0,1,,,f,,0,0,0,t,,f,,
227,86,2,0,1,,,f,,0,,0,t,,f,,
238,86,4,0,1,,,f,,0,0,0,t,,f,,
239,86,6,0,1,,,f,,0,0,0,t,,f,,
240,86,8,0,1,,,f,,0,0,0,t,,f,,
242,88,2,0,1,,,f,,0,0,0,t,,t,,
244,88,4,0,1,,,f,,0,0,0,t,,f,,
245,88,6,0,1,,,f,,0,,0,t,,f,,
246,88,8,0,1,,,f,,0,0,0,t,,f,,
248,91,2,0,1,,,f,,0,0,0,t,,f,,
261,94,2,0,1,,,f,,0,,0,t,,f,,
