id,quest_context_text_kind_id,quest_context_id,text
1479,1,598,문장들 - summary
1480,2,598,문장들 - body
1481,3,598,문장들 - accept
1482,4,598,문장들 - complete
1483,5,598,문장들 - media
4021,4,985,새로운 모험을 떠나려면 새로운 옷이 필요하겠지.
4022,2,985,"^아탈란시아는 세상에 다양성이 존재하기에 기억이 머릿속이나 책에 기록될 수 있고, 그 기억이 있으므로 새로운 것을 창조할 수 있고 창조할 수 있기에 우리가 생명이라고 했다."
4023,3,1044,<노루 사냥>
4025,2,1044,"테스트 워리어는 건강이 좋지 않은 노모 때문에 실의에 빠져있었다. 그는 자신의 노모가 노루고기를 좋아하지만, 최근 노루고기가 귀해져 어디서도 구할 수 없다고 했다."
4026,2,1044,그 까닭은 노루의 서식지인 동남쪽 숲에 무서운 늑대가 출몰하고 있기 때문이었다. 늑대를 피해 무사히 노루고기를 가져올 수 있다면 테스트 워리어에게 비싸게 팔 수 있을 것이다.
4290,2,1245,오나흐는 내가 성인식을 무사히 완수하고 바람자취 부족의 일원이 되는 것을 인정할 수 없다고 했다.
4333,2,1255,비쥬는 도니은이 주었다는 바람혼이 깃든 돌을 주면서 그것을 이용해서 분노한 기계혼의 정수를 진정시켜달라고 했다.
4478,2,1434,body
4768,3,1393,골렘을 이용해서 짐 옮기는 것을 도와줍니다.
4791,2,1414,비쥬는 도니은을 만난 적이 있는데 그때 이 상황을 예언처럼 들었다고 한다. 그래서 더욱 기쁘다면서 나에게 부탁했다.
4792,2,1414,자신의 집 안에서 장식으로 사용하던 기계가 갑자기 흥분해서 날뛰기 시작했다면서 그 폭주한 기계를 쓰러뜨리고 기계혼의 정수를 뽑아서 가져다 달라는 것이다.
5061,2,1245,순간적인 상황 변화를 받아들이지 못한 내가 혼란스러워하는 동안 오나흐는 욕설과 함께 격한 반응을 보였다. 마치 초원의 맹수처럼 난폭하게 변해버린 것이다.
5062,2,1245,나는 공격하려는 [오나흐]를 마지막으로 설득해보려 [말을 걸었다.]
5545,2,1255,주술사도 아닌 나에게 부탁하는 이유를 물으니 원대륙으로 사람들을 이끌 자질이 있는 사람만이 할 수 있는 기술이라는 답이 돌아왔다.
5546,2,1255,나에게 주어진 일종의 작은 시험이라는 생각이 들었다. 한번 해보기로 했다.
5609,2,1649,"분장한 요하른, 아니 르하욘은 나에게 먼저 루브크라프스의 연구소에 잠입해서 루브크라프스 박사를 만나라고 했다. "
