id,name,category_id,repeatable,level,selective,successive,restart_on_fail,chapter_idx,quest_idx,milestone_id,let_it_done,detail_id,zone_id,degree,use_quest_camera,score,use_accept_message,use_complete_message,grade_id
10,자격 증명,9,f,2,f,f,f,0,0,,f,1,1,3,t,0,t,t,1
11,쫄깃쫄깃한 선물,9,f,2,f,f,f,0,0,,f,1,1,3,t,0,t,t,1
13,요셉 상단의 부탁,10,f,24,f,f,f,0,0,,t,1,2,4,t,100,t,t,1
15,나무 위의 새알,9,f,3,f,f,f,0,0,,f,1,1,3,t,0,t,t,1
16,돌아온 하르파,9,f,1,f,f,f,0,0,1,f,1,1,3,t,0,t,t,1
17,사랑을 담은 요리,9,f,3,f,f,f,0,0,,f,1,1,3,t,0,t,t,1
18,인도자의 열매 따기,9,f,5,f,f,f,0,0,,f,1,1,4,t,0,t,t,1
19,"재는 재로, 흙은 흙으로",9,f,5,f,f,f,0,0,,f,1,1,3,t,0,t,t,1
20,사라세니아에 관한 문제,9,f,5,f,f,f,0,0,,t,1,1,3,t,0,t,t,1
23,마법의 흔적,9,f,5,f,f,f,0,0,,f,1,1,1,t,0,t,t,1
24,숲의 인도자를 위한 일,9,f,5,f,f,f,0,0,2,f,10,1,3,t,0,t,t,1
25,실종된 수습생,9,f,6,f,f,f,0,0,,f,1,1,3,t,0,t,t,1
26,아이오느의 죽음,9,f,7,f,f,f,0,0,1,f,1,128,5,t,0,t,t,1
27,바람의 정령 군주,9,f,35,f,f,f,0,0,1,f,1,128,5,t,0,t,t,1
28,잃어버린 짐과 좀도둑,10,f,24,f,f,f,0,0,,t,1,2,3,t,0,t,t,1
29,증거물,9,f,7,f,f,f,0,0,1,f,1,128,1,t,0,t,t,1
35,영매,9,f,8,f,f,f,0,0,,f,1,1,3,t,0,t,t,1
37,부리부리 새,9,f,6,f,f,f,0,0,,t,1,128,3,t,0,t,t,1
38,엘프의 셈법,9,f,4,f,f,f,0,0,1,f,1,1,3,t,0,t,t,1
39,해독 불가능한 암호문,9,f,35,f,f,f,0,0,1,t,1,128,3,t,0,t,t,1
41,정령이 지키고 있는 것?,9,f,35,f,f,f,0,0,,f,1,128,3,t,0,t,t,1
43,길을 향해 발만 동동,2,f,15,f,f,f,0,0,1,t,1,7,3,t,0,t,t,1
44,부상자 치료,2,f,15,f,f,f,0,0,,t,1,7,4,t,0,t,t,1
45,칼바람 평원을 향한 양심,2,f,16,f,f,f,0,0,,f,1,7,3,t,0,t,t,1
46,값나가는 물건,2,f,17,f,f,f,0,0,,f,1,7,3,t,0,t,t,1
47,도적단 조사 기록물,2,f,17,f,f,f,0,0,,f,1,7,2,t,0,t,t,1
48,도적떼 소탕,2,f,15,f,f,f,0,0,1,t,1,7,3,t,0,t,t,1
49,아직 마르지 않은 핏자국,2,f,16,f,f,f,0,0,,f,1,7,3,t,0,t,t,1
50,안식처 방비,9,f,8,f,f,f,0,0,,t,1,128,3,t,0,t,t,1
52,바위처럼,9,f,4,f,f,f,0,0,,f,1,1,3,t,0,t,t,1
54,제어 받은 흔적,2,f,16,f,f,f,0,0,,f,1,7,2,t,0,t,t,1
55,위기감,2,f,15,f,f,f,0,0,2,f,1,7,3,t,0,t,t,1
58,구원 요청,9,f,8,f,f,f,0,0,,f,1,128,3,t,0,t,t,1
59,골렘에 대한 공포,2,f,16,f,f,f,0,0,,t,1,7,3,t,0,t,t,1
60,아노가 꾼 꿈의 결말,9,f,9,f,f,f,0,0,,f,1,128,5,t,0,t,t,1
61,쿠퍼가 수상해,2,f,18,f,f,f,0,0,,f,1,131,3,t,0,t,t,1
